"","Glut-CACNA1H-4","Glut-DACH2-4","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-LMANco","Glut-DACH2-7","Glut-DACH2-HVCx","Glut-DACH2-HVCra","Glut-SATB2-1","Glut-CACNA1H-3","Glut-DACH2-2","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-8","Glut-CACNA1H-RA","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-LMANsh"
"Ex_BCL6",0.0244390239147747,0.00101407036961853,0.0652635451672888,0.0116874908837789,0.000407069311008349,0.00171073833629914,0.0942074217692636,0.135867547419449,0.00559868614546023,0.00227330337701645,0.00129820122235254,0.201587628811053,0.0730889408467606,0.00620392243637946,0.000786252404647819,0.00193611630893879,0,0,0
"Ex_CACNA1H_CPA6",0.00881754073157598,0,0.80286984481848,0,0,0,0,0,0,0,0,0,0,0,0.0126868504304024,0,0.00906113062327816,0,0
"Ex_CACNA1H_KIT",0.104481629555402,0,0.693390252555505,0.000972562794042907,0,0,0.0032698014139941,0,0,0,0.00312372938144675,0,0,0,0,0.00498688704258113,0.00984204608166254,0,0
"Ex_CACNA1H_LHX9",0.519639902562781,0,0.191125295602799,0.0036007148363754,0,0,0.00175003714764243,0,0,0,0.00264797103972719,0.00446589730342419,0,0,0.00293564952959337,0.00252311199379236,0.0747794287870399,0.000510319167265251,0
"Ex_CACNA1H_MCTP2",0.115298148345339,0.000939969873574396,0.260068433838661,0.0190199646250464,0.000631344088070909,0.000695856605262384,0.0152630589259291,0,0,0.0016087274853198,0.0476451879018911,0.0202862670033122,0,0.00858131441621209,0,0.00749677739953463,0.00282768169515991,0.0102288743852987,0.048588768489946
"Ex_CACNA1H_PROX1",0.0456584778477891,0,0.6138038436581,0.0100346799583809,0.0011879010135996,0,0,0,0,0,0.0188651685569998,0.00676162314929961,0.00124900303039815,0.000435518005352661,0,0.00275433174179455,0,0.0112637407299989,0.00751843644997038
"Ex_DACH2_ADAMTS5",0,0.00229136201514839,0,0.0171323249804896,0.00282599528342324,0.21803538292439,0,0.000821475299645797,0,0,0.0733254135908503,0.00311127633962922,0.0151380297458456,0.013254248692216,0,0,0.00108514782635565,0.258113749829931,0.00393009394199862
"Ex_DACH2_CEMIP",0,0.0108878689790521,0.00112603151757792,0.001605279814006,0.00301044579778731,0.00397525371858193,0.00773954589853775,0,0,0.000466533932069085,0.000948420557108013,0.109610037001429,0.625968343776928,0.0380756267532177,0.000493123051461966,0,0.000566946045984357,0,0
"Ex_DACH2_GRIK4",0.00966763455380684,0,0.00198153075024246,0.257883124919935,0,0.172504791019087,0.00199027150794584,0.00152967365850968,0.00300257029167989,0,0.124730635794472,0,0,0.000239119939823721,0,0.00832662422959648,0.00135378504468938,0.0252163419903708,0.00721152146221706
"Ex_DACH2_ITGA9",0,0.080696058067317,0.00284082070978497,0.0531937755869535,0.000596725707441459,0.0464342633065473,0.00872897915454893,0.000829744812976982,0.000529103733130917,0,0.0225336441245669,0.126092515502683,0.0407755069253316,0.181632464467805,0.000873937230841983,0.00396663062749894,0.00824117146384331,0.00130252047842788,0.027077235619111
"Ex_DACH2_LHX2",0.00131827699783746,0.0015481327815753,0.0181299891158128,0.158641186337143,0.000327925279472314,0.0110138869550038,0.00237611790553115,0.000799654369813641,0,0,0.320665288324865,0.00946514146504984,0.000595524565298639,0,0,0.00198536847853416,0.00118147807880998,0.0590272373965843,0.00459747588759839
"Ex_DACH2_LUZP2",0.034871239941047,0.00111469392139349,0.00694430331685305,0.220410405737728,0,0.00171118471928029,0.000295954502683701,0,0,0,0.27785828310125,0.0144970802971305,0,0,0,0.083449220155769,0,0.001402649328867,0
"Ex_DACH2_MGAT4C",0.0026094664718348,0.00414004391655049,0.000926134772204438,0.25329971499632,0,0.109143903608098,0.000859645390828632,0.00410599281918999,0,0,0.187316813500317,0.00233322759345628,0.000754618941783916,0,0,0.0265939400859901,0.00166454334131315,0.044655729633553,0
"Ex_DACH2_NR4A3",0.00162637620762286,0.00224988252904911,0.00347331626989895,0.323944641071445,0,0.158532134982217,0,0.00176771460412702,0,0.00287391114829438,0.0116856087327876,0.00196564372729884,0.00151336458454295,0.000452224782849153,0.000561255605879437,0.00122737661335653,0.0145736739581142,0.0402259553209543,0.00197412430950909
"Ex_DACH2_RORB",0.000829377190440675,0.00208377735168584,0.00337056279482482,0,0.0705372801115276,0.00173797160415516,0,0.000934704205541357,0.00659276728056293,0.000264930671782845,0.000721282600899983,0.317535564043118,0.000497050929946592,0.0688215413074773,0,0,0,0.00232048299896456,0.0282371422704829
"Ex_DACH2_SLIT2",0.0995889417384754,0.0395431209768334,0.000531553145824348,0.0739550449032763,0,0.000495642366429468,0.00180366233473749,0.000733698501636518,0,0,0.00833718599221081,0.587588925993911,0.00492336785453026,0.00268404697402294,0,0,0.00063431068720019,0.00779410939432006,0
"Ex_DACH2_TAC1",0,0.00116957275328732,0.0018133299807278,0.00136481693407926,0.00689927399041174,0.00903976210805971,0.000737314330226201,0.0023934373620537,0.00158975121974937,0.000464816017821442,0.000375084241993884,0.284537922164317,0.00516228137383787,0.389227046262597,0,0.000326222746948847,0.000687656416940293,0,0.000746051028431719
"Ex_DACH2_ZMAT4",0.000727756688259717,0.0258733210149949,0.000527103580535499,0.000780648663109365,0.00161208992910898,0.00974537776578532,0,0.000259312088310101,0,0,0.000465186651950166,0.269656239688511,0.082646146762299,0.337172618090977,0,0,0.000491635187879391,0,0.00532961411906148
"Ex_KIAA1217",0.0115419594836881,0.000543394033557752,0.000576137766942587,0,0.0762651724294303,0,0.0899390075565571,0.00385873570787375,0.0083280274628229,0.000785020212938372,0.135271604282801,0.00188276524239248,0,0.0259025200954531,0.164794255934676,0.0108477749268804,0.00112605315970105,0.000330701747305714,0
"Ex_KIAA1217_BCL6",0.0342062720807549,0.0345386863006659,0.0270793081531159,0.00349856057605667,0.00285262835546045,0,0.103037217845688,0.142138385326504,0.051399889931058,0,0,0,0.00287369932031141,0.0334046796551468,0.000826969801185495,0.00860333870600047,0.0423286737747331,0,0
"Ex_SATB2_FOXP2",0,0.00279588011820902,0.00379909053293663,0,0.000526126268501302,0.000319141747513712,0,0.0053591862337806,0.859899422968981,0.000616235615224523,0,0,0,0.00324050659096774,0.000211722669648563,0.00166074624087767,0,0,0
"Ex_SATB2_OVOA",0.000360007631738461,0.00978485648657698,0.0539510026688276,0.135206808322597,0.000417424553308296,0.114499239369808,0.00266376302296446,0.0385550586833149,0.152391777817565,0.00350853765324958,0.0116671458312039,0,0,0.000532759864658669,0,0.00203127484675607,0.000752579835893897,0.0235452986473336,0.00129595466948552
"Ex_SATB2_SOX6",0.000342587153067142,0.00546563620947937,0.00439179747615539,0.0014215957608766,0.00481649308895212,0,0.00147832597708709,0.0283963588342212,0.865554059632753,0.000335272839108103,0.00167313735275784,0.00122159283688189,0,0,0,0,0,0,0
"Ex_SATB2_ZNF385B",0,0.000534960654829489,0,0.000503958469100404,0.000999048312572134,0,0,0.0180023472203108,0.915657635716063,0,0,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0,0,0.142520291106816,0,0,0,0.00435450436942532,0,0.0108430788839441,0.00338584690552777,0.00447335851151491,0.00893312945295053,0,0,0.0082752724977171,0.00352065081837026,0.481448022909413,0,0.00276107680320832
