"","Ex_SATB2_OVOA","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_LUZP2","Ex_CACNA1H_MCTP2","Ex_KIAA1217_BCL6","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_CACNA1H_CPA6","Ex_KIAA1217","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_DACH2_ZMAT4","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_DACH2_TAC1","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_SATB2_SOX6","Ex_CACNA1H_PROX1","Ex_BCL6","Ex_SATB2_ZNF385B","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.00268072159676302,0.000910641640869719,0.771578502403223,0.0317314594473295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0055747070302866,0.00803836638053473,0.451349699129318,0.0470196931819711,0.000243098390582646,0.000458409880005718,0.000907317608989894,0.0303883280106319,0.00528471547374661,0.000496523940087298,0.00116785946543534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.0053814308616162,0.00873607116249602,0.623801822380346,0.0571328215698674,0,0,0,0.00190532429586037,0,0.00261783117732777,0,0.000784307682449942,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0.634454778418062,0.00142814797887334,0.00250777380416105,0,0,0,0.175142656119329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.00146057583792233,0,0.696933280438765,0.000476163178329423,0,0,0.000337083435095072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.00261836342941763,0,0,0.0887207057077419,0.00699199167054473,0.00114608990091661,0,0,0.00878645177759169,0.00269987292202037,0,0,0.0207506119533073,0.0836400501662411,0.000342172181358908,0.336511423866468,0.0257354639484822,0,0,0,0,0,0,0,0
"Glut-DACH2-2",0.000530740048232665,0,0,0.0137725012756243,0.0530579697769364,0,0,0,0,0,0,0,0.0551961152538364,0.103659661769591,0,0.126339606847287,0.10523154729155,0,0,0,0,0,0,0,0
"Glut-DACH2-3",0,0,0,0.0069836239380173,0.000583522470574867,0,0,0,0.541254589381228,0.00675684901471211,0,0,0.00149149703250502,0,0.0823039817658972,0.00498050887125297,0,0.000859720047397075,0.0315502596229109,0,0,0,0,0,0
"Glut-DACH2-4",0.00576350193731847,0,0,0.0553325865804027,0,0,0.00793443116995731,0,0.0110645139157832,0.323330162673435,0,0,0.0023810546329908,0.0065161835252186,0.0283352879623568,0.0179286516178739,0,0,0.0187167612942338,0.00280934916176919,0.00620308850504686,0,0,0,0
"Glut-DACH2-5",0.00045240631981871,0,0,0.0159783258343392,0,0,0,0,0,0,0,0.000818019810143839,0.250454520656931,0.0274849192936017,0,0.0269010669271014,0.225674594508038,0,0,0,0,0,0,0,0
"Glut-DACH2-6",0,0,0,0.0010094553036253,0,0,0.00114765324090698,0,0,0.0450768644274952,0,0,0.000307441196999392,0.000409494120510847,0.0663498376994797,0,0.000346497745584368,0,0.63147552062477,0,0.000304344284743012,0.000527927888060176,0,0,0
"Glut-DACH2-7",0.00670204778380684,0,0,0.0822076428581289,0,0,0,0,0.00112424547451186,0.00496688891686846,0,0,0.06346287498473,0.111666388346245,0.00581081378771278,0.144002551195933,0.0230167697213113,0,0.00222544892964455,0,0.00177762743517939,0,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0,0,0,0.000701557059493357,0.0107942795473992,0,0.0020071965755158,0.00112890612155049,0.0025093444669243,0.642684193710464,0,0,0,0.0347992589340974,0.00535675404447723,0,0.000357127893129415,0,0,0
"Glut-DACH2-HVCra",0.0232554591431967,0,0,0.00400409354686672,0.00150673784010482,0,0.00475031995332995,0,0,0.000412056016353539,0,0,0.000424359733653036,0.0341637255154237,0.000208340460096763,0.0470121957386306,0,0,0.00264673188895322,0.00270796738032991,0.141335629106256,0,0.0105314829859824,0.0868823064682489,0
"Glut-DACH2-HVCra-Pre",0.0036307202803417,0,0,0.0171349493289251,0.0615575321000181,0,0,0,0,0.00280318153173021,0,0.000556570427590806,0.00201034231632957,0.171683825955993,0,0.150736247889005,0.0104233217117448,0,0,0.00974606024230934,0.0031110084509245,0,0,0,0
"Glut-DACH2-HVCx",0.000897310519939681,0,0.00134063543419063,0,0,0,0.0456383329613268,0,0,0.0362457138460305,0,0,0,0,0.0029267185676493,0,0,0,0.260388501708063,0.00767872565920893,0.00794227438107547,0,0,0.000912469205873704,0
"Glut-DACH2-LMANco",0,0,0.00145204391385966,0,0,0,0.000279772346782292,0,0,0.00189171592052096,0,0.00431700699399138,0,0,0.261326278850579,0,0,0,0.218931850093835,0.00219874851889307,0.00302775976195221,0,0.000420715985874265,0.000756431320089934,0
"Glut-DACH2-LMANsh",0,0,0,0.0109876883258708,0,0,0,0,0,0.00677335022221147,0,0,0.0754253199713956,0.0415089021783899,0.020136411772598,0.0110502660001488,0.23325263173168,0,0.00107498203333737,0,0,0,0,0,0.0135915136319401
"Glut-SATB2-1",0.0180836609602124,0,0,0,0,0,0.0010882673682609,0,0,0,0,0,0,0.00134399708806009,0,0,0,0,0,0.223005433646016,0.425604999830265,0,0,0.114535106106978,0
