"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-DACH2-3","Glut-DACH2-8","Glut-DACH2-4","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-2","Glut-DACH2-5","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-CACNA1H-2","Glut-CACNA1H-3","Glut-DACH2-7","Glut-DACH2-LMANco","Glut-DACH2-LMANsh","Glut-CACNA1H-RA","Glut-DACH2-HVCra"
"Ex_DACH2_LHX2",0,0,0.0351974556261208,0,0,0,0.00075315708717803,0.10401579026643,0.0972698874741827,0.000346016627497494,0.255680995109678,0.00442437930120155,0,0.0048917617043054,0,0,0,0
"Ex_DACH2_LUZP2",0,0,0.0262514772814378,0,0,0,0.054705684883703,0.0982572599504508,0.00706120935278007,0.00791972720324832,0.304404869557014,0.0161391455666872,0,0.00125115056800233,0,0,0,0.000454934421125452
"Ex_DACH2_MGAT4C",0,0.000267355614352888,0.00450883283496714,0.00174815812918816,0.00536107221600939,0,0.00144067336988579,0.0979728792766299,0.0508329418237934,0.00958877911963642,0.326095603747406,0,0,0.0322420168252383,0,0.00024983129850482,0,0.000467251203297954
"Ex_DACH2_NR4A3",0,0.001432675253598,0.0125801854719913,0.000555374805696343,0.00958105541954448,0,0.00204104460164276,0.0393434752488163,0.0356452343909246,0.000711785562573522,0.437920186225048,0.00127903365087004,0,0.0253780402494322,0,0.00803764123101473,0,0
"Ex_DACH2_RORB",0,0,0.552139304722045,0.0294351293478655,0,0,0,0.00867832432353607,0.00255727233773919,0.00406682044225645,0.00138242695363697,0.000962625283438172,0.00192019825300832,0.00074334448109789,0.00401788186371978,0.00346776273206184,0,0
"Ex_DACH2_SLIT2",0,0.00239813213523635,0.615946971778369,0.00158940558177439,0.0101908114602716,0,0.0234856508730075,0.00220714133780051,0.00126795893830548,0.000415957089454412,0.0714473683036403,0.00765740802542365,0,0.00513176776040889,0,0,0,0
"Ex_DACH2_TAC1",0,0.0407208185944233,0.243410594953883,0.267427117271804,0.00587831475680532,0,0,0.00141844742603947,0.00111213542268873,0.000721944145713125,0.00108381861186173,0,0,0.00776462444358862,0,0,0.000404702239071302,0
"Ex_DACH2_ZMAT4",0,0.0288435651563914,0.315536847787756,0.29527697474029,0.0133668482087547,0,0,0.000465892318212699,0.00104897113511452,0.000384276397490885,0.00268386867918122,0,0,0.00349495567303716,0,0.00413504118323069,0,0
"Ex_KIAA1217",0.00943787509768389,0.0192280049642464,0.00283071030582058,0.0185043671358288,0.0294153456767354,0.268889044327275,0.00184994089490133,0.000574739871805855,0,0.0170574401786797,0.000736701700155031,0.0347153298914862,0.00137733671115553,0.00194330294326914,0,0,0,0.00236792862408777
"Ex_KIAA1217_BCL6",0.022355675057131,0.0122670679406954,0,0.00832529991359046,0.0860815924286844,0.191114269542965,0.0114134378418613,0.00224769703766105,0,0.00756216164837514,0.00134602137861393,0.118859600213756,0.00419389792359172,0.00303956195277992,0,0,0,0.00328013934485799
"Ex_Pre_KCNH7",0,0.00286393441262006,0.07113789287688,0.0027873246224839,0,0,0.00297118781859136,0.0697367819879966,0.0012906432649901,0.0118476379513176,0.0734216627825204,0.064415191449658,0.0133198768084357,0.00917250122649975,0.012236304911425,0.00855991028797969,0,0.0028606655079461
"Ex_Pre_SATB2",0,0.00554107598937873,0.0331099274061071,0.00931117704620476,0,0,0.0017486179511225,0.0551121918970543,0.00182306433278725,0.0175143071557265,0.0392815761216157,0.157297183400636,0.0128495268590333,0.0104999567123984,0.00567718913107114,0.00379015828211571,0.00210235009050507,0.00468160175480321
"Ex_SATB2_FOXP2",0.00391571251634229,0.0157736992522005,0.00107616784798898,0.0273025365251981,0.189483975577198,0.0355947083214738,0.000183771669992202,0.00606107814155727,0,0.0502015106440589,0.00377359444321157,0.0205652083578355,0.00345675893424825,0.0101259197892415,0.000620534670137393,0.00178831565019043,0.000843340642862029,0.01339474980666
"Ex_SATB2_OVOA",0.000245565463757451,0.00471502601113792,0.0208518265444619,0.00481671784880585,0.0181879823569002,0.00181379623009704,0.00146798450574579,0.0389610637686343,0.0398526664927302,0.0130394185734603,0.166699638877058,0.0317631762298138,0.00205381124199338,0.040416519303665,0,0.00561314386569895,0.000323010314698527,0.00339809903255978
"Ex_SATB2_SOX6",0,0.0332746945336759,0.00358510518314499,0.0204731722099628,0.132801883810719,0.0125646051402801,0.00166058256663905,0.00398093546568052,0.000248136274313144,0.102042646578912,0.0104620582947267,0.0223170937215691,0.00218124290960673,0.0076774826234999,0.00040549877037332,0.00175846272571156,0,0.0281564290932491
"Ex_SATB2_ZNF385B",0.00124359558765923,0.0187747436949429,0.00651162452013685,0.0305844178070921,0.0708254058938518,0.0214295044796435,0.000952667666315158,0.00340559388737579,0.000592962285090587,0.0604618068031085,0.00846694315358281,0.0369640550867428,0.000595075733632173,0.00451711091227715,0.00165539747804312,0.000468193256310349,0.000257980264305926,0.0481358191182418
"Ex_TSHZ2_NR4A2",0.369671920898609,0,0.00271574916131359,0,0,0,0.00548551228778666,0.0101866183380262,0,0.00504507070740122,0,0.165896871490414,0.0145914157472495,0.00782003245179029,0,0,0,0
