"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-DACH2-3","Glut-DACH2-8","Glut-DACH2-4","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-2","Glut-DACH2-5","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-CACNA1H-2","Glut-CACNA1H-3","Glut-DACH2-7","Glut-DACH2-LMANco","Glut-DACH2-LMANsh","Glut-CACNA1H-RA","Glut-DACH2-HVCra"
"Ex_BCL6",0.000562984755133468,0.0443517432055899,0.343272195608125,0.000623078995309413,0.0107059171306855,0.00678814793975041,0.00741210515209797,0.00791451107255741,0.00141413813386424,0.00481043806226344,0.0264922789748216,0.0837468430185994,0.00101634376896984,0.00717471735184,0,0,0,0
"Ex_CACNA1H_CPA6",0.00684123681492555,0,0,0,0,0,0,0,0,0,0,0.86391964518239,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00697243127964649,0,0,0,0.000705907159510288,0.00153226720908981,0.0555688111322865,0.000971393285761374,0,0.00152477723881952,0,0.710179048878909,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.101857278441762,0.000930241435903961,0.00264378983189186,0,0,0,0.354453975660717,0.000834981302366441,0,0,0.00608632187076174,0.250332119043126,0,0,0.00137042717855483,0,0,0
"Ex_CACNA1H_MCTP2",0.00977243013986604,0.000797508709877752,0.144062721396199,0.00396570351984031,0.0117535708371924,0,0.0297099890756099,0.00233440509444841,0.00161956637364058,0.000611530074496397,0.0394632202899832,0.288180110594508,0.0026075614361616,0.00663752135193784,0,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.0136996008197536,0,0,0.000616219787286389,0.0516018058751821,0.00880778636380261,0.0022047712779034,0.00096417192172248,0.0198202658189769,0.583495218504008,0,0,0.000491870231382895,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0110613799327688,0.0293089184449935,0.0162424297968847,0.00498935695401456,0,0,0.0717569879390785,0.168643880135641,0.0027531178364632,0.0626525487899875,0.00120644699773576,0.00141580324288757,0.0452771778128747,0,0.0178490817289035,0.00068591793527724,0
"Ex_DACH2_CEMIP",0,0.281141280813105,0.228306804844885,0.102829183774745,0.00716133049116777,0,0,0.00223297929334944,0,0,0.00347255550273685,0.00245085211131288,0,0.00160577541038564,0.00314807014491947,0,0,0
"Ex_DACH2_GRIK4",0,0,0.00369320294957998,0.000495652653237846,0.000323605821202735,0,0.00498771661408281,0.062551412467964,0.0385050387529044,0.0153194693376271,0.372785239225008,0.000360386919649635,0,0.0473418159315137,0.000467409887707915,0.00154733211241933,0,0.00601630550416269
"Ex_DACH2_ITGA9",0.00185547288027876,0.0354577127496429,0.141908655721849,0.0881196253297601,0.103912509980113,0.00230680385830544,0,0.00842455056165329,0.00380044357296745,0.00469673461507158,0.0746052806854158,0.0025685846972136,0.00103964304051381,0.0361180043422061,0,0.000343759152458327,0,0.000292060561279373
