"","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_ITGA9","Ex_CACNA1H_KIT","Ex_Pre_KCNH7","Ex_TSHZ2_NR4A2","Ex_BCL6","Ex_CACNA1H_PROX1","Ex_CACNA1H_MCTP2","Ex_Pre_SATB2","Ex_DACH2_LHX2","Ex_CACNA1H_CPA6","Ex_DACH2_SLIT2","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_TAC1","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_DACH2_CEMIP","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.0394624465304555,0.709998239668276,0.00104118166729358,0.0105698515729526,0.00479406940321544,0.024968140668056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0472014578647506,0.333489511633033,0.00523260960942752,0.0282693682310041,0.0223207333066973,0.0136787033795557,0.00736527527721383,0.0134945573624712,0.00832358234365885,0.0705670774751688,0.000370689148767295,0.00283414962954783,0.00280047537314719,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.0570928704390218,0.539954411761373,0.00340514074349943,0.000839976689675976,0.0664517088184568,0.0265553260469839,0.00139238511468522,0,0.00053784514034353,0.00650334547816819,0,0,0.00168353663399769,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00415792172441553,0.654257428311568,0,0.00304197264424786,0.00140441533414198,0,0,0.00641279837519597,0.00139510127611222,0,0,0,0.115625775046813,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.000575769979914349,0.262643690169467,0,0.287235472414908,0.00193727995528092,0.023129731923934,0.00150776042655266,0.000336687855849781,0,0.000319863961827771,0,0.0119136147135101,0,0.000382571367597206,0.000283471901836684,0.000433104627586255,0,0,0,0,0
"Glut-DACH2-1",0.112899868756707,0,0.00580067757491085,0,0.00276967914920005,0,0.000676967189165167,0,0.00412211806043337,0.00135127106219413,0.0379411443578806,0,0.0175216627194724,0.0259108124357476,0.111562905000432,0.0189754326284558,0.000987323144211559,0.266879162522425,0.000569577535041551,0,0
"Glut-DACH2-2",0.0297710500783248,0,0.00970883146977282,0,0.00171784680771067,0.000731465122492096,0,0,0.000690299291889253,0.000399780270561094,0.161873375871738,0,0.000408213592774727,0.0297233153178442,0.095242183831484,0.0477212027443215,0,0.166641328000168,0,0,0
"Glut-DACH2-3",0.014697261675121,0,0.0149555576665203,0,0,0,0.00286159556598199,0,0.00172083108297033,0,0.00177581638355115,0,0.566848156033946,0.000919787304733334,0.000791380538641537,0,0.00228740698565322,0.00110426754310635,0.0680769154253247,0.0461862321659343,0.00146512829657715
"Glut-DACH2-4",0.0635385940888508,0,0.298240015821349,0,0.00704951617327506,0,0.00499758994622082,0,0.00144142631345007,0.00323474144823481,0.00183823083149557,0,0.0430399847014812,0.00545815569026499,0.00166873103562733,0,0.00149672231314092,0.00321268592006614,0.0597432760490128,0.00347662058214639,0
"Glut-DACH2-5",0.0200139013140128,0,0.00553245739301867,0,0.0026191376043529,0.00180286454286597,0,0.000533028838629796,0.00161751099911398,0.000419272937674436,0.173604637809487,0,0.000382128779717963,0.25419258243506,0.0774753020569074,0.000337228187256863,0,0.0435292933044622,0,0,0
"Glut-DACH2-6",0.00192037500548211,0,0.0284808680033699,0,0.00781244652935037,0,0.000328816286428414,0,0,0.00366492334785985,0,0,0.000347317627403691,0.00607879536970184,0.00102311995658481,0,0.00155081091262538,0.000799404727155304,0.119144168656461,0.60087159059895,0.000489451355709873
"Glut-DACH2-7",0.089815068906707,0,0.011813062504512,0,0.00145194825223596,0,0.000974345416959048,0,0,0.00192469419960582,0.0153355306846887,0,0.00354499160839598,0.102023538711546,0.165626775282363,0.00115136930445392,0.000500993543100952,0.13895077408243,0.00326057620946584,0.00255328965127646,0
"Glut-DACH2-8",0.00056106152236816,0,0.0231003313570886,0.000573405002932182,0.00571405137767473,0,0,0.00464869004550474,0,0.00263641949028498,0,0,0.00941612526851829,0.00259747630238524,0.00357107269313789,0,0.00162734108352294,0,0.465746573156727,0.150194745320513,0.0056314644821401
"Glut-DACH2-HVCra",0.00468048151670126,0.00170518200310877,0,0.00137476926793981,0.0175486759296598,0,0.402552087085834,0.000384454869371203,0.0010939305113911,0.00126375402613035,0.00577711196682561,0,0.000385244643979505,0.0293734017017963,0.036016520678918,0.0142166992650933,0.0177388670775233,0.033099811225927,0.000852866682118471,0.00129180299133739,0
"Glut-DACH2-HVCra-Int",0.0225395493085961,0.00071659347749375,0.0162426379464663,0.00132464920493936,0.00217358939018153,0,0.0249381442428474,0,0,0.00251799017269615,0.0319718927856196,0,0.00228035896708902,0.00191052545802835,0.198079309733596,0.0690142834940436,0.00455483462289954,0.149266583154446,0,0,0
"Glut-DACH2-HVCx",0.0011497931129872,0,0.081980939156508,0.0018529174168931,0.231822771985591,0,0.158259338152247,0,0.028956267375699,0.00251453212274486,0,0,0,0.00319112220459242,0,0,0,0,0.0045166643165196,0.00988389534521468,0.00236378764396197
"Glut-DACH2-LMANco",0,0,0.0134936764814028,0,0.00641530245735738,0,0.133362432850298,0.000393443021205603,0.000523464728229444,0,0.000881628947416224,0,0,0,0,0,0.0145118799442485,0,0.0724200140411194,0.373462065721305,0.0467764211134575
"Glut-DACH2-LMANsh",0.012069685929974,0,0.0655977222162982,0,0.0283899608505068,0.00262237607202049,0.00109371426144215,0.00037407319622477,0.0129243459054463,0,0.0854776194246186,0,0,0.150591208639896,0.160235587965965,0,0,0.00267735403650707,0.00726605429080952,0.000529698116455157,0.0129300130925155
