"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_DACH2_GRIK4","Ex_DACH2_CEMIP","Ex_DACH2_ADAMTS5","Ex_DACH2_SLIT2","Ex_DACH2_LHX2","Ex_SATB2_SOX6","Ex_DACH2_ITGA9","Ex_Pre_KCNH7"
"Glut-CACNA1H-1",0.812858368648305,0.00927506087158411,0.000240006677093373,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.794492757667802,0.0182539114620072,0,0.000474159260054447,0.000301557796672339,0.000812112254759371,0,0,0,0,0,0
"Glut-CACNA1H-3",0.764667021639759,0.0226667549456292,0.00171940180156751,0,0,0.000642842861611833,0,0,0,0,0,0
"Glut-CACNA1H-4",0.737249219667245,0,0.0124194942736307,0.000911892882789861,0.00102892827584994,0,0.00753426819616344,0.00186866632949082,0,0,0,0
"Glut-CACNA1H-RA",0.839112744979284,0,0,0,0,0,0.000465470066667695,0,0,0,0,0
"Glut-DACH2-1",0,0.0452550539013673,0.150864924675989,0.00296856672702987,0.0196222916461773,0.00160678644903028,0.330820362489818,0,0.00342351537711328,0.00381967788947992,0,0
"Glut-DACH2-2",0,0.00967862647275459,0.154284102442663,0,0.118861091323224,0,0.164934578999277,0,0.00686018665071769,0.00492822025265748,0.000936761500973728,0
"Glut-DACH2-3",0,0.0128479570883307,0,0.291905600539012,0,0.036146061326956,0.0445851609206839,0.0964105097616361,0,0,0,0
"Glut-DACH2-4",0,0.0387296562283177,0.0137507772664779,0.203948012835338,0,0.130096006178744,0.106458623635558,0,0,0.00117234975843202,0,0
"Glut-DACH2-5",0,0.00568126738582378,0.0473351493751023,0,0.0910248216883534,0,0.325863215139253,0,0.024280023776399,0.000529402612811203,0.00219799247256665,0
"Glut-DACH2-6",0,0.00047126920127366,0,0.137818622440145,0,0.638365944832707,0.00224992589366867,0,0,0.00121273948634123,0,0
"Glut-DACH2-7",0,0.0312919430108094,0.110821845498543,0.00692696814438294,0.030896749140064,0.0161284364838663,0.298455497423592,0,0.00133612254350708,0.0102797636633585,0.00239006007001047,0
"Glut-DACH2-8",0,0.000461408167962364,0,0.522516619611913,0,0.138662141891629,0.000720532125064195,0,0.000427154409214634,0.00911669504779251,0,0
"Glut-DACH2-HVCra",0,0,0.0152160832529096,0.0175214716718351,0.00983079511800495,0.00619240446734153,0.0605366528083761,0,0.00175562182129777,0.403568211470638,0,0
"Glut-DACH2-HVCra-Int",0,0.00956888180536343,0.111097187494164,0.00124708224868752,0.133339422902819,0.000363403263783923,0.0692475162296818,0,0.0040748075505366,0.116379604621124,0,0.000335620275695118
"Glut-DACH2-HVCx",0.0155096577646594,0,0.000729948020402317,0.0842159982065615,0,0.436748904281148,0.00111504616805862,0,0,0.0252891394204762,0,0
"Glut-DACH2-LMANco",0.00169979661608488,0,0,0.0722226243168201,0,0.0522844375057275,0,0,0,0.512962421777208,0,0
"Glut-DACH2-LMANsh",0,0.00274994841210371,0.00181557738900402,0.0143864328127079,0.145003592893691,0.000621084451836176,0.0664011121909309,0,0.178165595812466,0.00691416189965097,0.00373224893564836,0
