"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_CACNA1H_MCTP2","Ex_DACH2_ITGA9","Ex_DACH2_SLIT2","Ex_DACH2_ADAMTS5","Ex_SATB2_FOXP2","Ex_DACH2_GRIK4","Ex_DACH2_ZMAT4","Ex_DACH2_LUZP2","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_DACH2_CEMIP","Ex_SATB2_OVOA","Ex_SATB2_SOX6","Ex_BCL6","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.686750323457202,0.00364204639407074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.574953713903005,0.00697175719401003,0.000266773271503355,0.000352307586821337,0.000997542789570357,0.000199162750976994,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.639333282974612,0,0,0,0,0,0.000606426370826288,0.000669610496234842,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.564629562646586,0,0,0,0.037090834387989,0,0,0.00434569467763743,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.715390902113711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.0834246858568659,0.000457756112540837,0.00186576322307968,0.00035652747654475,0.0257167224694644,0,0.150101002319336,0.000287809565666718,0.000874194585847868,0.140139281917083,0.00103311999625564,0,0,0,0,0
"Glut-DACH2-2",0,0.0182099826933569,0,0,0,0.0694107178308307,0,0.220156314520555,0,0.0144362388260333,0.024762758529288,0.00128366486716685,0,0,0,0,0
"Glut-DACH2-3",0,0.00940011366414395,0.0003827844546583,0.000704537679605423,0.328565463097862,0.00162248108893905,0,0.00427536240913633,0.177422279533714,0,0.00438009613066389,0,0.00864584992787457,0,0,0,0
"Glut-DACH2-4",0.00100958740971483,0.0405013405249883,0,0.146161348228098,0,0.00525067042256243,0.0111306091819742,0.0149722702378743,0.0408853512553181,0.000847121742422467,0.00246570899284387,0,0.0596195564927792,0.000629186166532599,0.00522228790223069,0,0
"Glut-DACH2-5",0,0.015728195036355,0,0,0,0.21266324921947,0,0.167013627234075,0,0,0.00151873752836775,0.0027097735055879,0,0,0,0,0
"Glut-DACH2-6",0,0.000231321682657702,0,0.00461534874177887,0,0,0.000683274318349069,0.00100597921231518,0.0309584086139763,0,0,0.00033243652782438,0.467890718794066,0,0,0,0
"Glut-DACH2-7",0,0.0660485838548568,0,0.000538203626461951,0,0.0929551218645021,0.00083751720691793,0.150132392472596,0.00916382956004099,0,0.0141993471102512,0.00102277623636256,0.00630745417167319,0.000225992692044265,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0.000428006314446337,0.000914865860803315,0.000585797388244041,0.42253759451424,0,0,0,0.0563996659539691,0,0,0,0
"Glut-DACH2-HVCra",0,0.00755448834951227,0,0.00337134348049788,0,0.000591334528512351,0.0452090910736331,0.0646697163896227,0.000369899643830836,0,0.0353541655168186,0,0.00938305130951374,0.00774197826839189,0.0398478549621246,0.00396322457966362,0.0165495821708104
"Glut-DACH2-HVCra-Pre",0,0.0197097534481616,0,0.00246543699110738,0,0.00252557352526093,0.00375430539957422,0.26968274421253,0.00034845046088729,0.00613097660189143,0.035889489630656,0,0.00106939719505442,0.00028435783888809,0,0,0
"Glut-DACH2-HVCx",0.0587615200895766,0.000491873230610893,0.000538771523932493,0.00927326049528294,0,0,0.0485743086423634,0.000502741857906061,0,0,0,0,0.185632221431162,0,0.00903263720700356,0,0.00060243931741337
"Glut-DACH2-LMANco",0.00148672773089412,0,0,0,0,0,0.0222214928991562,0.000307447715370203,0.199156526833114,0,0,0,0.149761035412875,0,0.00290378458570726,0,0
"Glut-DACH2-LMANsh",0,0.00525141775770049,0,0,0,0.0608168469565296,0,0.265758325582763,0.0192748755298671,0,0.000944128337005128,0.00435031813636693,0.000397883081718457,0,0,0,0
"Glut-SATB2-1",0,0,0,0,0,0,0.181777919927254,0.00304099775304813,0,0,0.000867139098894047,0,0,0.008406253503952,0.232795645186832,0,0.092833867102708
