"","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_Pre_KCNH7","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Ex_CACNA1H_KIT","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_ITGA9","Ex_BCL6","Ex_DACH2_RORB","Ex_DACH2_SLIT2","Ex_DACH2_ZMAT4","Ex_SATB2_OVOA","Ex_DACH2_LHX2","Ex_DACH2_ADAMTS5","Ex_DACH2_LUZP2","Ex_CACNA1H_MCTP2","Ex_DACH2_CEMIP","Ex_KIAA1217_BCL6","Ex_SATB2_FOXP2","Ex_KIAA1217"
"Glut-CACNA1H-1",0.00207158725140566,0.818630257787423,0.00159188533496832,0.000399018085646447,0.000247843845453715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00210135238992411,0.678929549608811,0.00463290346894372,0,0.000389637871936546,0.0003333889408017,0.000384404124209591,0.000136664930926413,0.000342778953609292,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00641130016608071,0.659457538792389,0.00913226885669909,0,0.00138030418387131,0,0,0,0,0.000343625293538719,0.000717793724200402,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.783722435802352,0,0,0,0,0,0.00132157767964952,0,0,0,0.0170594052148445,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.873982015241962,0.00271502880675843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.000476873477043649,0.108291909736262,0.0011836788544058,0,0.0988864258905319,0.223400734987843,0.012778937251812,0,0,0.00378632713191771,0.00184835851338577,0.000507919139267675,0.000627497504991316,0.00181913403435704,0.00131482310229056,0,0,0,0,0
"Glut-DACH2-2",0,0,0,0.127267896003673,0.000276228003914839,0,0.0216732460703809,0.177294858803218,0.00101011181681908,0,0,0,0,0.000439240709807296,0.00128566945191206,0.000966330263355329,0.0136754184160735,0,0,0,0,0
"Glut-DACH2-3",0,0,0,0.00333304673963484,0,0,0.00102822359131915,0.000362148247719753,0.00512809093881177,0,0,0.607814625963771,0.0573312262931358,0,0,0,0,0.000540900502223319,0.00882324782374276,0,0,0
"Glut-DACH2-4",0,0,0,0.0212195654150625,0.0110224550024051,0,0.00129217599968724,0.00260226013657345,0.178966009510222,0,0,0.0579713094303495,0.0791326398395806,0,0,0,0,0,0,0.00392584846054601,0.00089481099123888,0
"Glut-DACH2-5",0,0,0,0.114219841706274,0.00042485298537514,0,0.0105489986426552,0.170103138766061,0.000220413234988518,0,0,0,0,0,0.00499262444483794,0.00795249256244815,0.00372328893668111,0,0,0,0,0
"Glut-DACH2-6",0,0,0,0.000999538884301292,0.000220612918927069,0,0,0,0.00410874187074468,0,0,0.00627039527460244,0.167792890041501,0,0,0,0,0,0.373211508379651,0,0,0
"Glut-DACH2-7",0,0,0,0.0485017494310175,0.00116140020643411,0,0.0628355654053148,0.1970322943715,0.014154969375241,0,0,0.000294111736683711,0.0194828680060965,0,0,0,0.000261013711814456,0,0.00419036943157323,0,0,0
"Glut-DACH2-8",0,0,0.000429054229834269,0,0,0,0,0,0,0,0,0.00181587754314383,0.54362134829326,0,0,0,0,0,0.0228284522563141,0,0,0
"Glut-DACH2-HVCra",0,0,0.00153079680173685,0.00481131349100851,0.193228745614144,0,0.0957156665258417,0.0190968634206207,0.00149780628039544,0,0,0,0.000270097649015531,0,0,0,0.000735337069844159,0,0.00111239180921463,0.000281427751843668,0,0
"Glut-DACH2-HVCra-Pre",0,0,0,0.0443582405644823,0.0209362497100023,0,0.116843350109831,0.12263813888826,0.0107936431029342,0,0,0,0.000325578362097847,0.000292831272019661,0,0,0.0139806317517229,0,0.000449820559892854,0,0,0
"Glut-DACH2-HVCx",0,0.0015421686195221,0.00299696078615684,0,0.075900113513754,0,0.00148641943853358,0,0.0483159712329459,0.0302823429157284,0,0,0.0192602505792298,0,0,0,0,0,0.0132934804043228,0.0135998140711222,0.000662855465158913,0.00605655051150648
"Glut-DACH2-LMANco",0,0,0.00520200969983557,0,0,0,0,0,0,0,0,0,0.392249136761431,0,0,0,0,0,0.0975175332849203,0,0,0
"Glut-DACH2-LMANsh",0,0,0,0.0545105131731962,0.000996231900619732,0,0.0213983105333058,0.0864946291306848,0.000314480959342303,0,0,0,0.0675638048360543,0.000840883101700238,0.0149048003068831,0.0252692438156619,0.000224023380623919,0,0.00288837080353413,0,0,0
