"","Glut-DACH2-3","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-6","Glut-DACH2-1","Glut-SATB2-1","Glut-DACH2-4","Glut-DACH2-7","Glut-CACNA1H-2","Glut-DACH2-2","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-8","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-LMANco","Glut-DACH2-HVCra-Pre"
"Ex_BCL6",0.239291074684978,0.0812129864405276,0.00174183334117852,0.0200984337955376,0.0932210671054765,0.0183149846412139,0.0129880445737252,0.00430301019354319,0.00153048149457721,0.00517727267816586,0.00300243895448806,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0.0273525764618096,0,0,0.00285961122525292,0,0,0.648916631412897,0,0.0149762888726946,0.0015232856001863,0,0,0,0,0
"Ex_CACNA1H_KIT",0,0,0,0.251699720186864,0,0.000971239828084289,0.00459845350731202,0.000735195402768703,0,0.310446968070446,0.00816663651895084,0.00138965563666154,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0046368780181649,0,0,0.498894997551443,0,0.014705385048714,0,0,0,0.100214026166554,0.00182048271750455,0.0711980542393426,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.00582464252628586,0,0.00272057656747736,0.134581423175587,0,0.0356992983082996,0.0011098352227876,0.00425647272838964,0.00112824204332359,0.0602014356207692,0.118831896011782,0.00136905647102696,0,0.0157713883126603,0.0114952690895422,0.000364140785877058,0,0
"Ex_CACNA1H_PROX1",0.00394088449597755,0,0,0.161915515527659,0,0.0344478654012724,0,0,0,0.304216771200522,0.0433989962742659,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.00461177128038933,0,0,0,0.00792348190828879,0.0214273818459324,0,0.00141999477644421,0.164613128257849,0,0.062673576881725,0,0,0.00952342483565931,0,0.198549836203426,0,0
"Ex_DACH2_CEMIP",0.106776236836847,0,0,0.000706018237917016,0.467251343746442,0.00865998443860377,0,0.00119411321594895,0.00179573598051763,0,0,0,0,0.0285878266534846,0,0,0.000630259981637743,0
"Ex_DACH2_GRIK4",0,0,0.000417726325931208,0.00728457371747678,0,0.27113583557515,0.00470796810662224,0.000367995408904308,0.1287085068193,0,0.120426980612137,0,0,0,0,0.00672508594949683,0,0.00052740230465741
"Ex_DACH2_ITGA9",0.18925540899436,0.000926017547644199,0.00119128297858736,0.000723808404201174,0.01685020549804,0.0604187640793148,0,0.0491958765019066,0.041663283515954,0.000405098762255833,0.0330027817962793,0,0,0.0888676068664237,0.00645612469653812,0.00158218669441073,0,0
"Ex_DACH2_LHX2",0.00493291518175287,0,0,0.00167062465826426,0,0.218404554530556,0.00133682420676981,0.000477648357963501,0.00505975271606627,0.000435679160913109,0.29071305115395,0,0,0,0,0.00701427140621515,0,0
"Ex_DACH2_LUZP2",0.00966463521564727,0,0,0.0312281616607611,0,0.397213370423786,0.00252050604544831,0,0,0.00145980454500832,0.11185556379351,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.00203592877247839,0.00105662132745545,0,0,0.000509238043542492,0.251715934642654,0.000369278434660919,0.000368097113088792,0.10662029098867,0,0.14842808225873,0,0,0.000409870546350574,0,0.0112415976110841,0,0
"Ex_DACH2_NR4A3",0.000452831607628647,0,0,0.00177580280691728,0,0.422576179408461,0,0,0.148599700404429,0,0.00941522145458808,0,0,0.000482510136816165,0,0.0332533805414844,0,0
"Ex_DACH2_RORB",0.530119055313361,0.00189067952882398,0,0,0,0.000632884499255996,0.0143080718464109,0.00159570244855972,0.000803022698527398,0,0.00121797705928873,0,0,0.0170103412925305,0,0.00191968822544509,0,0
"Ex_DACH2_SLIT2",0.534358135912771,0,0,0.0701042664612606,0.00282989074041631,0.108514843735991,0,0.00748898406645077,0,0,0.00413473757698052,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0.433550643305697,0.000746296800935094,0,0,0.00129214772549376,0.00231238133012115,0.00391657060737011,0.000430183097917576,0.00251161194560095,0,0.00125459883738774,0,0,0.162609587371069,0.000457148838439868,0,0,0
"Ex_DACH2_ZMAT4",0.257477876595866,0,0,0,0.0340782656751817,0.00230935720485671,0.000797236665505747,0.0010993153714808,0.00366659769342587,0,0,0,0,0.340051062974175,0.000393925584587268,0.00206602577792577,0,0
"Ex_KIAA1217",0.000848076535508564,0.0620707874124418,0.000315237720556447,0.00778058692811874,0.0012404692161175,0,0.379054917577102,0.000255688638325559,0,0.00141891885720551,0,0,0.00252124595611053,0.00365309594795245,0,0,0.0227346422307447,0
"Ex_KIAA1217_BCL6",0.00361922587659285,0.133580112153455,0.00257841836834048,0.013657090942482,0.00837361179052753,0.00544861889474923,0.254754364770815,0.0174445904364813,0,0.0108335480620409,0,0.00364444532639454,0,0.00606877007931066,0,0,0.00245388461602561,0
"Ex_Pre_SATB2",0.0154290758523074,0.00139274840372631,0,0.0124907050380511,0.000853788138690528,0.0309126842035296,0.399820178806233,0.00321318761873445,0,0.0106441859940541,0.0452917955493064,0,0,0,0,0,0,0
