"","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-3","Glut-CACNA1H-4","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Pre","Glut-DACH2-HVCra","Glut-CACNA1H-3","Glut-DACH2-5","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-8","Glut-DACH2-2","Glut-CACNA1H-1","Glut-DACH2-7","Glut-DACH2-LMANco","Glut-DACH2-LMANsh","Glut-CACNA1H-RA"
"Ex_BCL6",0.052867899807918,0.043504107822763,0.480141936150603,0.0382380830220182,0.000517183577672906,0.000496320702716872,0.0630772441968949,0.000397474660499968,0.000810507080318555,0.0128714964427134,0.00114281595423597,0.00170987550119173,0.00199540006596,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.952145864804917,0.00149715369735483,0,0,0,0,0,0,0,0,0,0,0,0.00571729047886772,0,0,0,0
"Ex_CACNA1H_KIT",0.799578868861191,0.00392534217387204,0,0.0290502448892989,0,0.000606080468647888,0,0,0,0,0,0,0.0126526711629607,0.0294200563901493,0,0,0,0
"Ex_CACNA1H_LHX9",0.360055075013061,0.000652198634940306,0,0.31663122700393,0,0,0,0,0,0,0,0,0,0.0681404385658222,0,0,0,0
"Ex_CACNA1H_MCTP2",0.295064745411124,0.077688616725136,0.000851743359299015,0.0748191014752226,0,0,0.0105028509508383,0,0,0,0,0.0019459654368768,0.207745467444326,0.0028386518670617,0,0,0,0
"Ex_CACNA1H_PROX1",0.824115794110782,0.00493937691117101,0.00376983990954652,0.017512036308419,0,0,0.00170857869030959,0,0,0,0,0,0.0316127663616882,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.0155759839961169,0.143103172124076,0.0419191836504683,0,0,0,0.0110171349770955,0,0.135139126952127,0.000982755489486741,0.00587953585829673,0.0156024116032354,0.0534526064886922,0,0.022524522201103,0,0,0
"Ex_DACH2_CEMIP",0.00130453285819802,0.0203311161697194,0.538860458977504,0.00151495196925977,0,0,0.00139191903686143,0,0,0.00252232416604776,0.0488556307970914,0.0372767778796149,0,0,0,0.001343376614136,0,0
"Ex_DACH2_GRIK4",0.00344037675886222,0.459505875034742,0.000458028380682339,0.007028955931914,0,0.000522588443462801,0.000382407848725395,0,0.00716643304243572,0,0.00029449080370502,0.00071014490408676,0.139113645530974,0,0.0435902672383021,0,0,0
"Ex_DACH2_ITGA9",0.000922753728889281,0.135395670328287,0.190922127105641,0.00201671488574751,0,0,0.00184485809251121,0,0,0.0622195681660889,0.0129763807160117,0.135664638686378,0.0696630485059933,0.000823212492667556,0.000608384488545635,0,0,0
"Ex_DACH2_LHX2",0.0661711035252601,0.31149450222975,0.0101935480441878,0.00156390698062237,0,0.00523974262708249,0.000446615627282386,0,0.000483720386215425,0.000586411123008337,0,0,0.221207686635201,0,0,0,0,0
"Ex_DACH2_LUZP2",0.253440128948323,0.446126168626917,0.0210720276289042,0.020328239522486,0,0.00074932417688124,0,0,0,0,0,0,0.00387569580971711,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.0458036286587827,0.542932564612506,0.00214917943320654,0,0,0.000297735244375973,0.00606835845512374,0,0.00179697025272221,0.00174254275676648,0.00113547161803832,0.00310893909093964,0.0685887517096761,0,0.00716512268738357,0,0,0
"Ex_DACH2_NR4A3",0.026387239558224,0.480259953726539,0.0243296248999304,0.00158561838569121,0,0.000258330266951332,0.00695353271025207,0,0.0168010773470787,0.0017153585198094,0.000804599878270553,0.0013720971750419,0.0366600813216491,0,0.0190206768197226,0,0,0
"Ex_DACH2_RORB",0.000494326532670064,0.01093335945003,0.583826343910354,0,0,0.00119681112262452,0.00381383384504033,0,0,0.000799200023157749,0.000490181805312748,0.010993557559272,0,0,0.000536227471187771,0,0.017797352267259,0
"Ex_DACH2_SLIT2",0.00755448605734028,0.13016009722771,0.604532211583275,0.110214781870497,0,0,0,0,0,0.00328439420642293,0,0.000790099227326594,0.00533387307793039,0,0,0,0,0
"Ex_DACH2_TAC1",0.0156060987975524,0.000809159310202428,0.316053283827432,0,0,0.000462567595542187,0.00445843569899485,0,0,0,0.0016078168499793,0.301700319929748,0,0,0,0,0,0
"Ex_DACH2_ZMAT4",0.000660047690299264,0.00795480606222002,0.471570838198682,0.000848604254483206,0,0,0.000739531819893148,0,0.000420788999923573,0.0034360986964056,0.00360774997999803,0.268109081331297,0.000556381238865013,0,0,0,0,0
"Ex_KIAA1217",0.00832422546982999,0.00270297384444096,0.00272695301885135,0.00895395361131635,0.023522056718656,0.0116158264005758,0.0322895912083935,0,0.0233180340455768,0.0253434642043606,0.00183657740495159,0.084415633077001,0,0,0,0.00578796329454209,0,0.0695308673110691
"Ex_KIAA1217_BCL6",0.0384880193668988,0.00091622770743821,0.00373605663803839,0.0456630799286708,0.00721457021076745,0.000991414939610055,0.196637255890975,0,0,0.126981570037564,0.00873208923802906,0.0207597937114351,0,0.00795118386929496,0,0,0,0.016021313925566
"Ex_Pre_KCNH7",0.0267847403141897,0.213352127052263,0.0371815749552656,0.0218231158652158,0,0.050943953121071,0.00340391822313651,0.0041735108639312,0.000246031383411802,0.00397324827592801,0.000507265659842452,0.00188857881680502,0.000992380658834578,0,0.0128897310043983,0.00533137686649505,0,0
"Ex_Pre_SATB2",0.071242380677075,0.213180801005997,0.0102924409673568,0.0202144370819246,0,0.0325590900583626,0.0154152521279683,0.00070964866897544,0,0.00755054191366363,0.00195791291500164,0.00999388538088543,0.0326802162462098,0,0.0114763499386243,0.000734651829807611,0,0
"Ex_SATB2_FOXP2",0.0640339466332072,0.0295549761487467,0.00277441992313254,0.000668656853406045,0.000228723587003264,0.00278173184263295,0.148149105114801,0,0,0.0456190262365578,0.0210155062332361,0.126342187663386,0,0,0.0116833788655606,0,0,0
