"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Ex_TSHZ2_NR4A2","Ex_BCL6","Ex_DACH2_GRIK4","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_DACH2_LHX2","Ex_CACNA1H_PROX1","Ex_DACH2_ITGA9","Ex_Pre_KCNH7","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_DACH2_LUZP2","Ex_DACH2_ZMAT4","Ex_DACH2_RORB","Ex_CACNA1H_MCTP2","Ex_SATB2_OVOA","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_KIAA1217_BCL6","Ex_KIAA1217"
"Glut-CACNA1H-1",0.764723984864326,0.000774416427749388,0.000212467874952677,0.0215226892783185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.531243308464152,0.000898042794240657,0.000343608877354109,0.0333038800577104,0.000348802185803978,0.000223728404053851,0.0277045408554741,0.00104721993783518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.594034782715733,0.00230633657413289,0,0.0758995086635767,0,0.00249665211568593,0.000971575069877378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.696436721226171,0,0,0.00221131177236536,0,0.00118759152557417,0,0.0538616193997142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.66809702218462,0,0,0.0382088750514203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.13614231550649,0,0,0,0.146426827723252,0,0.00529038854056434,0.00368605226980118,0.000223794375628223,0.00298020167113808,0.000584275339429771,0.199357462717301,0.00997505037206664,0.000699863820912498,0.00131427358234143,0.000720813801689289,0.00133053660295614,0.00052261822710214,0,0,0,0
"Glut-DACH2-2",0,0.100560503950603,0,0,0,0.0542452962316942,0,0,0.0705841884366809,0,0.000229063391772361,0,0.120582177452977,0.014975088375349,0.000254161745168283,0,0,0,0,0,0,0,0
"Glut-DACH2-3",0,0.00811421467785732,0,0,0,0.00256604664033709,0,0.622108013915358,0,0.000609716780471316,0.00377050360438086,0,0,0,0,0.0890376127719856,0,0.000392664289276975,0,0.00250924620688297,0,0,0
"Glut-DACH2-4",0,0.0590241617835508,0.0308561270862996,0,0,0.0207163775909754,0,0.0776318824714862,0,0,0.158038312179272,0,0.00143469389033046,0,0,0.0635496266044608,0,0,0,0,0.0145534936292347,0.0196283076981463,0
"Glut-DACH2-5",0,0.0730208502346372,0,0,0,0.0461807742492959,0,0,0.0349534275692717,0.000316224371059671,0,0,0.0533181469334319,0.132858812641188,0,0,0.000271065426325013,0,0,0,0,0,0
"Glut-DACH2-6",0,0.00171017544197887,0.00434461744105455,0,0,0.00195049041878136,0,0.00247689783126315,0,0,0.0041274042229375,0,0,0,0,0.232731111431012,0,0,0,0.429442549929603,0.00104968026311193,0.00130885598260738,0
"Glut-DACH2-7",0,0.0984885837158403,0.00136114204660902,0,0.00041085088583376,0.133587058221306,0,0,0.000288105574950845,0,0.000448952449641048,0,0.129889221643476,0.00821476221689225,0,0.0202169662805765,0.00086798709973451,0,0.000655057134334766,0,0,0.000290522077245984,0
"Glut-DACH2-8",0,0,0,0,0,0.00141841783837989,0,0.00061474971944,0,0,0,0,0,0,0,0.697170595490523,0,0,0,0.0392303743177771,0,0,0
"Glut-DACH2-HVCra",0,0.0261399449998642,0.0467887780549114,0,0,0.0758558968857277,0,0.000355004534103597,0,0,0.00114311020245884,0.00319328712876163,0.130868217324996,0.000700691026621262,0,0.00180293225254416,0.0331894353533394,0,0,0,0.00277749534843624,0.00677291710264953,0.000993698457556293
"Glut-DACH2-HVCra-Int",0,0.0695723484691054,0.00595013842335547,0,0,0.115483751973209,0,0.000474373313836879,0.00558062883731823,0,0.00258454657573918,0,0.188520276583724,0.000710507888317623,0.000755649322471037,0.000986759861782214,0,0,0,0,0,0,0
"Glut-DACH2-HVCx",0,0.000968799267394745,0.0079395418380414,0,0,0.00371688078313027,0,0,0,0,0.00449061873218855,0,0.00124161350973645,0.000519993469542823,0,0.00285100921924056,0,0,0,0.00224607371481894,0.0409190303197223,0.375190669496721,0.0160222996668112
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574464634450317,0,0,0,0.0537377622668757,0,0.000399663316347871,0.00486301258758953
"Glut-DACH2-LMANsh",0,0.0455109118838504,0,0,0,0.0314396486443987,0,0,0.0183961907734913,0,0,0,0.00378993156505262,0.148746198041339,0,0.0388766788580023,0.0334720302308577,0,0.00118526900168232,0,0.000200509929665226,0,0
