run,first_type,HVC,surround,log2_enrich
no_arco4,Glut-Arco-2,2.984183825723665e-4,0.0014462623158275332,-1.95642896780431
with_arco4,Glut-Arco-2,0,3.610760064993681e-4,-2.205004592652863
no_arco4,Glut-Arco-3,0,1.8078278947844165e-4,-1.4894545086658058
no_arco4,Glut-Arco-5,0,0.0012654795263490916,-3.771335777752136
with_arco4,Glut-Arco-5,0,3.610760064993681e-4,-2.205004592652863
no_arco4,Glut-HVC-1,0.19188301999403162,9.039139473922083e-4,7.579199295760536
with_arco4,Glut-HVC-1,0.20017714791851196,9.026900162484203e-4,7.641978342868451
no_arco4,Glut-HVC-2,0.0808713816771113,0.0033444816053511705,4.55505331684812
with_arco4,Glut-HVC-2,0.07646885149099499,0.003069146055244629,4.594591562184213
no_arco4,Glut-NC-1,5.96836765144733e-4,0.03859712555364729,-5.795261853235127
with_arco4,Glut-NC-1,0,0.034482758620689655,-8.433909145210988
no_arco4,Glut-NC-3,0,0.024586459369068066,-7.9475761239881795
with_arco4,Glut-NC-3,0,0.02229644340133598,-7.8071258374751595
