section_id,first_type,HVC,surround,log2_enrich
OR52YW26_1_7,Astro-1,0.054901960784313725,0,9.10333924047352
OR52YW26_1_7,Astro-2,0.21764705882352942,0.37420986093552466,-0.7815798235156135
OR52YW26_1_7,Astro-3,0.023529411764705882,0.017699115044247787,0.4087782015261063
OR52YW26_1_7,Endo,0.3254901960784314,0.18268015170670038,0.8329478438396642
OR52YW26_1_7,GABA-1-1,0.01568627450980392,0.042351453855878636,-1.4271432215252122
OR52YW26_1_7,GABA-1-2,0.00392156862745098,0.022756005056890013,-2.506743015849534
OR52YW26_1_7,GABA-2-2,0.0058823529411764705,0.010113780025284451,-0.7717319602664341
OR52YW26_1_7,GABA-2-3,0.00392156862745098,0.0018963337547408343,1.0104054034863041
OR52YW26_1_7,GABA-3,0.00784313725490196,0.010113780025284451,-0.36273605515865376
OR52YW26_1_7,GABA-4-1,0.00392156862745098,0.004424778761061947,-0.17008891376339927
OR52YW26_1_7,GABA-4-2,0.0058823529411764705,0,5.902641122607161
OR52YW26_1_7,GABA-5-2,0.00196078431372549,0.00695322376738306,-1.775089293624345
OR52YW26_1_7,GABA-6,0.0058823529411764705,0.006321112515802781,-0.10211025124481274
OR52YW26_1_7,GABA-8,0.00196078431372549,0.006321112515802781,-1.6396297618612907
OR52YW26_1_7,Glut-HVC-1,0.15490196078431373,0.0018963337547408343,6.278789719435762
OR52YW26_1_7,Glut-HVC-1a,0.013725490196078431,0.010113780025284451,0.43681374041094784
OR52YW26_1_7,Glut-HVC-2,0.03529411764705882,0.004424778761061947,2.9675904519077587
OR52YW26_1_7,Glut-NC-4,0.00196078431372549,0.01390644753476612,-2.7648256681805154
OR52YW26_1_7,Glut-Pre-2,0.023529411764705882,0.05562579013906448,-1.2377614526625316
OR52YW26_1_7,Glut-Pre-3,0.00392156862745098,0.03413400758533502,-3.089599945804549
OR52YW26_1_7,Micro,0.029411764705882353,0.039190897597977246,-0.4129049347073731
OR52YW26_1_7,OPC,0.03725490196078431,0.04424778761061947,-0.24756455866909247
