segmentation,n_labels,top_label,top_frac,endo_frac,n_hvc1,hvc_frac,surround_frac,log2_enrich
5um nucleus expansion,42,Endo,0.1360218023344036,0.1360218023344036,216,0.15343915343915343,0.0019317450096587251,6.239743437755418
proseg,43,Endo,0.13834542745345077,0.13834542745345077,188,0.14045801526717558,9.658725048293626e-4,7.04298703564765
