first_type,HVC,surround,log2_enrich
Glut-HVC-1,0.13387165320866978,8.703220191470844e-4,7.109248449150505
Astro-1,0.04717382065448364,7.615317667536989e-4,5.777993664241296
Glut-HVC-2,0.05227369315767106,0.0015230635335073978,5.012050961517831
GABA-4-2,0.007224819379515512,2.175805047867711e-4,4.527598926945994
Oligo-1,0.005099872503187421,0.001196692776327241,2.0036395456481917
GABA-2-3,0.007224819379515512,0.0027197563098346387,1.377222698183014
Oligo-3,0.005099872503187421,0.0019582245430809398,1.3370758675453114
Glut-HVC-1a,0.014449638759031025,0.007180156657963447,0.9989419336075871
Glut-LMAN-1,8.499787505312367e-4,5.439512619669277e-4,0.5609437422851257
Endo,0.27666808329791753,0.19462576153176675,0.5072338218297208
Astro-3,0.0369740756481088,0.031331592689295036,0.23819534537270132
Micro,0.0369740756481088,0.03600957354221062,0.03802934102704414
Oligo-2,0.00764980875478113,0.008268059181897302,-0.1107323460273984
GABA-5-1,0.0025499362515937103,0.0028285465622280245,-0.1442271788789593
Glut-Pre-2,0.03867403314917127,0.04427763272410792,-0.19474190325782384
OPC,0.03357416064598385,0.044386422976501305,-0.40172311441077785
GABA-6,0.005099872503187421,0.007288946910356832,-0.5068925128879991
Astro-2,0.2269443263918402,0.3503046127067015,-0.6260477808985546
GABA-3,0.004674883127921802,0.007724107919930374,-0.7124608483299625
GABA-2-2,0.004249893752656183,0.007071366405570061,-0.7212678677122428
Glut-Pre-1,0.008074798130046749,0.013598781549173194,-0.7447925670549485
GABA-8,0.003399915002124947,0.0059834638816362055,-0.79757313242651
GABA-4-1,0.003824904377390565,0.007180156657963447,-0.8913119893810482
GABA-7,0.0021249468763280916,0.004677980852915578,-1.1026301822503177
GABA-5-2,0.0029749256268593286,0.00685378590078329,-1.1772471323488876
Glut-NR-2,4.2498937526561835e-4,0.0010879025239338555,-1.1780563264187867
GABA-1-1,0.016574585635359115,0.04721496953872933,-1.504645785734757
Glut-Arco-4,4.2498937526561835e-4,0.0015230635335073978,-1.6283593431938181
GABA-Pre,0,3.2637075718015666e-4,-2.092108493636738
Epen,0.007224819379515512,0.03176675369886858,-2.1211869675662753
Glut-Arco-2,0,4.351610095735422e-4,-2.419973008834374
Glut-Pre-3,0.0029749256268593286,0.024804177545691905,-3.017764345588414
Glut-NC-4,0.0012749681257968552,0.011858137510879026,-3.1205226262656143
Glut-NR-3,0.0012749681257968552,0.011858137510879026,-3.1205226262656143
Glut-Arco-5,0,9.791122715404699e-4,-3.431773066449583
Glut-NR-4,0,0.0010879025239338555,-3.5703445522323873
Glut-NC/Glut-Nido,4.2498937526561835e-4,0.006309834638816362,-3.6099270076905032
GABA-1-2,8.499787505312367e-4,0.012619669277632724,-3.7430221064904887
Glut-NR-1,8.499787505312367e-4,0.020017406440382943,-4.4044052698915195
GABA-2-1,0,0.003807658833768494,-5.288232610219273
Glut-NC-3,0,0.012184508268059183,-6.940696299535786
Glut-NC-1,0,0.02273716275021758,-7.8352396136606055
