section_id,first_type,HVC,surround,log2_enrich
OR52YW26_1_7,Astro-1,0.021476510067114093,5.333333333333334e-4,5.090352709346439
OR52YW26_1_7,Astro-2,0.15838926174496645,0.2704,-0.7712434984955779
OR52YW26_1_7,Astro-3,0.020134228187919462,0.012266666666666667,0.7103411339376537
OR52YW26_1_7,Endo,0.2550335570469799,0.18133333333333335,0.4918131299698989
OR52YW26_1_7,GABA-1-1,0.022818791946308724,0.05386666666666667,-1.2355375784257319
OR52YW26_1_7,GABA-1-2,0.004026845637583893,0.028266666666666666,-2.7810852499464804
OR52YW26_1_7,GABA-2-1,0.0026845637583892616,0.0064,-1.222988391618966
OR52YW26_1_7,GABA-2-2,0.009395973154362415,0.015466666666666667,-0.7130722876936656
OR52YW26_1_7,GABA-2-3,0.010738255033557046,0.0048,1.1452788461632168
OR52YW26_1_7,GABA-3,0.005369127516778523,0.0144,-1.4066702951285976
OR52YW26_1_7,GABA-4-1,0.009395973154362415,0.009066666666666667,0.050918643603974204
OR52YW26_1_7,GABA-4-2,0.006711409395973154,5.333333333333334e-4,3.426916429330553
OR52YW26_1_7,GABA-5-1,0.0013422818791946308,0.0026666666666666666,-0.9397956836601465
OR52YW26_1_7,GABA-5-2,0.004026845637583893,0.007466666666666667,-0.8746184155514327
OR52YW26_1_7,GABA-6,0.005369127516778523,0.005866666666666667,-0.1256144816567636
OR52YW26_1_7,GABA-7,0.0013422818791946308,0.009066666666666667,-2.668044060725244
OR52YW26_1_7,GABA-8,0.0026845637583892616,0.008,-1.540470581475136
OR52YW26_1_7,Glut-HVC-1,0.2442953020134228,0.0016,7.167537996051693
OR52YW26_1_7,Glut-HVC-1a,0.021476510067114093,0.0128,0.7420904666456142
OR52YW26_1_7,Glut-HVC-2,0.05771812080536913,0.005333333333333333,3.411612255615354
OR52YW26_1_7,Glut-LMAN-1,0.0013422818791946308,0,3.8502812469656216
OR52YW26_1_7,Glut-NC-4,0.0013422818791946308,0.018133333333333335,-3.6601532751057784
OR52YW26_1_7,Glut-NC/Glut-Nido,0.0013422818791946308,0.018666666666666668,-3.7017473643934515
OR52YW26_1_7,Glut-NR-1,0.0013422818791946308,0.0192,-3.742175790302458
OR52YW26_1_7,Glut-NR-2,0.0026845637583892616,0,4.799379421409489
OR52YW26_1_7,Glut-Pre-2,0.040268456375838924,0.09173333333333333,-1.1857894914030633
OR52YW26_1_7,Glut-Pre-3,0.0026845637583892616,0.04053333333333333,-3.8671404884895675
OR52YW26_1_7,Micro,0.025503355704697986,0.030933333333333334,-0.277485757569952
OR52YW26_1_7,OPC,0.032214765100671144,0.04426666666666667,-0.457282660859684
OR52YW26_1_7,Oligo-1,0.0174496644295302,0.009066666666666667,0.9369743268312931
OR52YW26_1_7,Oligo-2,0.005369127516778523,0.005866666666666667,-0.1256144816567636
OR52YW26_1_7,Oligo-3,0.004026845637583893,0.0037333333333333333,0.10644002079510699
OR52YW26_1_7,Epen,0,0.0021333333333333334,-4.481126689736616
OR52YW26_1_7,GABA-Pre,0,5.333333333333334e-4,-2.6629650127224296
OR52YW26_1_7,Glut-Arco-4,0,0.005866666666666667,-5.8988532765431
OR52YW26_1_7,Glut-NC-1,0,0.03253333333333333,-8.350202548882539
OR52YW26_1_7,Glut-NC-3,0,0.010133333333333333,-6.677132344649023
OR52YW26_1_7,Glut-NR-3,0,0.007466666666666667,-6.241585986569759
