,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-CACNA1H-1,0.4929,0.9,0.8528,1.8954,0.5926,0.5181,0.0557,0.3607,0.199,0.2484,0.14,0.2437,0.0528,0.2262,0.3655,0.2045,0.2113,0.2311,0.6483,0.9409,0.4142,0.1655,0.3261,0.443,1.6759
Glut-CACNA1H-2,0.6783,1.1281,1.8452,1.6285,0.9897,1.4144,0.0413,0.2786,0.2847,0.1875,0.2875,0.3711,0.0977,0.2404,0.1936,0.2696,0.1985,0.0917,0.5321,0.697,0.3794,0.3543,0.2993,0.4118,0.7789
Glut-CACNA1H-3,0.4742,0.6726,0.7133,1.0696,0.4977,0.4531,0.1497,0.3797,0.2542,0.3244,0.1879,0.2561,0.1046,0.3097,0.3458,0.2211,0.2523,0.2896,0.594,0.6651,0.4554,0.287,0.3875,0.4503,0.9488
Glut-CACNA1H-4,0.5724,0.6551,0.9191,2.3922,0.7242,0.7453,0.0357,0.2186,0.3308,0.1227,0.4017,0.6513,0.2311,0.1755,0.1953,0.5733,0.2054,0.0202,0.4745,0.5622,0.3149,0.2813,0.3065,0.4281,0.5129
Glut-CACNA1H-RA,0.3948,0.7028,0.6476,0.5993,0.4121,0.4669,0.1744,0.3151,0.2363,0.2906,0.2251,0.292,0.1812,0.199,0.494,0.2164,0.2978,0.2806,1.4187,0.7103,0.4412,0.2323,0.3664,0.5079,0.7325
Glut-DACH2-1,0.4179,0.1603,0.2128,0.1935,0.496,0.4614,1.0529,0.2824,1.7537,0.7546,1.4917,1.365,2.254,1.8812,0.2371,0.6864,0.4128,0.2994,0.0701,0.059,0.3667,1.1021,0.4396,0.31,0.0652
Glut-DACH2-2,0.2376,0.1794,0.1724,0.1875,0.3704,0.3639,1.2246,0.2602,1.0041,0.5353,1.4012,1.0019,1.827,0.9118,0.3378,0.4425,0.3498,0.345,0.1505,0.0621,0.4424,0.8568,0.479,0.2903,0.1552
Glut-DACH2-3,0.7976,0.2507,0.2342,0.2547,0.3358,0.34,0.5093,0.8998,0.4026,0.8976,0.4616,0.4211,0.4279,0.4582,0.5153,2.4187,0.7972,1.3055,0.3776,0.383,0.3241,0.4314,0.3476,0.4169,0.1766
Glut-DACH2-4,0.5482,0.3467,0.2789,0.2432,0.3108,0.2744,0.4545,0.5996,0.3349,1.2365,0.3349,0.2847,0.4199,0.504,0.4555,0.5845,0.5045,0.806,0.5805,0.6125,0.5286,0.4772,0.5506,0.5331,0.4096
Glut-DACH2-5,0.2486,0.1818,0.1489,0.1797,0.3984,0.3723,1.9709,0.3052,0.8192,0.5319,1.1191,0.7218,1.2127,0.8708,0.3996,0.4971,0.4229,0.424,0.0977,0.0,0.369,0.7869,0.4098,0.2593,0.1163
