,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-CACNA1H-1,0,2,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3
Glut-CACNA1H-2,0,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Glut-CACNA1H-3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Glut-CACNA1H-4,0,1,3,3,2,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Glut-CACNA1H-RA,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3
Glut-DACH2-1,0,0,0,0,0,0,1,0,3,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0
Glut-DACH2-2,0,0,0,0,0,0,3,0,3,0,3,1,3,1,0,0,0,0,0,0,0,1,0,0,0
Glut-DACH2-3,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0
Glut-DACH2-4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0
Glut-DACH2-5,0,0,0,0,0,0,3,0,1,0,3,1,3,3,0,0,0,0,0,0,0,1,0,0,0
Glut-DACH2-6,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0
Glut-DACH2-7,0,0,0,0,0,0,3,0,3,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0
Glut-DACH2-8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,2,3,1,0,0,0,0,0,0
Glut-DACH2-HVCra,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0
Glut-DACH2-HVCra-Int,0,0,0,0,0,0,0,0,2,0,2,1,3,0,0,0,0,0,0,0,0,1,1,0,0
Glut-DACH2-HVCx,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,1,0
Glut-DACH2-LMANco,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,1,0
Glut-DACH2-LMANsh,0,0,0,0,0,0,2,0,0,1,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0
Glut-SATB2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,0
