query,top_rank_agg,top_borda,top_zaremba,rank_agg_score,rank_agg_runner_up,rank_agg_margin,confidence,confidence_tier,zaremba_sum_at_winner,zaremba_sum,zaremba_sum_max,methods_agreeing_on_own_top,n_methods,reciprocal_support_for_rank_agg,agg_methods_concordant,conf_gsi,conf_samap,conf_cca,top_gsi,top_samap,top_cca,nrecip_gsi,nrecip_samap,nrecip_cca,n_clusters_sharing_winner,group
Glut-CACNA1H-1,Ex_TSHZ2_NR4A2,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,0.919,Ex_CACNA1H_LHX9,0.0231,0.5586,high,1.6759,1.8954,3,2,3,3,False,0.8244,0.7748,0.0766,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,5,5,3,2,non-song
Glut-CACNA1H-2,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,0.919,Ex_CACNA1H_LHX9,0.0343,0.6151,high,1.8452,1.8452,3,1,3,3,True,0.8198,0.7351,0.2904,Ex_CACNA1H_KIT,Ex_CACNA1H_PROX1,Ex_CACNA1H_LHX9,5,5,5,1,non-song
Glut-CACNA1H-3,Ex_TSHZ2_NR4A2,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,0.6962,Ex_CACNA1H_KIT,0.0748,0.3163,moderate,0.9488,1.0696,3,1,3,2,False,0.8094,0.1393,0.0,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_SATB2_OVOA,5,4,0,2,non-song
Glut-CACNA1H-4,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,1.0,Ex_CACNA1H_KIT,0.2449,0.7974,high,2.3922,2.3922,3,3,3,3,True,0.8463,0.6145,0.9314,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,5,5,4,1,non-song
Glut-CACNA1H-RA,Ex_KIAA1217,Ex_KIAA1217,Ex_KIAA1217,0.9252,Ex_TSHZ2_NR4A2,0.1104,0.4729,moderate,1.4187,1.4187,3,2,3,3,True,0.6408,0.7248,0.0532,Ex_CACNA1H_CPA6,Ex_KIAA1217,Ex_KIAA1217,5,4,2,2,song
Glut-DACH2-1,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,1.0,Ex_DACH2_NR4A3,0.1852,0.7513,high,2.254,2.254,3,3,3,3,True,1.0,0.7705,0.4835,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,5,5,5,4,non-song
Glut-DACH2-2,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,0.9252,Ex_DACH2_LHX2,0.0748,0.609,high,1.827,1.827,3,2,3,3,True,0.9792,0.655,0.1928,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_LHX2,5,5,5,4,non-song
Glut-DACH2-3,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,1.0,Ex_DACH2_ZMAT4,0.1558,0.8062,high,2.4187,2.4187,3,3,3,3,True,0.7806,0.7107,0.9274,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,5,5,5,1,non-song
Glut-DACH2-4,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,1.0,Ex_DACH2_ZMAT4,0.1852,0.4122,moderate,1.2365,1.2365,3,3,3,3,True,0.5898,0.4267,0.22,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,4,3,4,1,non-song
Glut-DACH2-5,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,0.9595,Ex_DACH2_MGAT4C,0.0748,0.657,high,1.9709,1.9709,3,2,3,3,True,0.8669,0.6875,0.4165,Ex_DACH2_MGAT4C,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,5,5,5,2,non-song
Glut-DACH2-6,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,1.0,Ex_DACH2_ZMAT4,0.1215,0.8313,high,2.4939,2.4939,3,3,3,3,True,0.8274,0.6665,1.0,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,5,4,4,2,non-song
Glut-DACH2-7,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,0.8958,Ex_DACH2_GRIK4,0.066,0.4793,moderate,1.4378,1.4378,3,2,3,3,True,0.8162,0.4386,0.183,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_GRIK4,3,4,5,4,non-song
Glut-DACH2-8,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,1.0,Ex_DACH2_ITGA9,0.2195,0.8724,high,2.6171,2.6171,3,3,3,3,True,0.926,1.0,0.6911,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,5,4,5,1,non-song
Glut-DACH2-HVCra,Ex_SATB2_SOX6,Ex_SATB2_SOX6,Ex_SATB2_SOX6,0.8847,Ex_SATB2_ZNF385B,0.1296,0.3663,moderate,1.099,1.099,3,1,3,3,True,0.533,0.4923,0.0737,Ex_DACH2_MGAT4C,Ex_SATB2_SOX6,Ex_BCL6,2,3,5,2,song
Glut-DACH2-HVCra-Pre,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,1.0,Ex_DACH2_GRIK4,0.3086,0.5199,high,1.5597,1.5597,3,3,3,3,True,0.8801,0.6071,0.0725,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,4,2,4,4,song
Glut-DACH2-HVCx,Ex_KIAA1217,Ex_KIAA1217,Ex_KIAA1217,0.919,Ex_KIAA1217_BCL6,0.0637,0.328,moderate,0.9839,0.9839,3,1,3,3,True,0.7057,0.2061,0.0721,Ex_KIAA1217,Ex_SATB2_SOX6,Ex_KIAA1217_BCL6,4,4,5,2,song
Glut-DACH2-LMANco,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_RORB,0.7805,Ex_DACH2_ZMAT4,0.0889,0.2118,low,0.6354,1.2199,3,1,3,3,False,0.5897,0.0243,0.0213,Ex_DACH2_RORB,Ex_DACH2_ZMAT4,Ex_KIAA1217,3,4,3,2,song
Glut-DACH2-LMANsh,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,Ex_DACH2_ADAMTS5,0.7196,Ex_DACH2_NR4A3,0.0161,0.5575,high,1.6725,1.6725,3,2,3,2,False,0.8446,0.8279,0.0,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ITGA9,4,3,3,2,song
Glut-SATB2-1,Ex_SATB2_SOX6,Ex_SATB2_SOX6,Ex_SATB2_SOX6,0.9595,Ex_SATB2_ZNF385B,0.1091,0.82,high,2.4601,2.4601,3,2,3,3,True,0.7732,0.7048,0.9821,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,3,4,5,2,non-song
