,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-CACNA1H-1,0.3043,0.5488,0.5576,0.8958,0.4043,0.3341,0.0799,0.1408,0.1337,0.4362,0.0958,0.1675,0.0927,0.3699,0.1711,0.1769,0.1086,0.1522,0.3868,0.5234,0.2241,0.1773,0.2012,0.1802,0.919
Glut-CACNA1H-2,0.3483,0.7463,0.919,0.8847,0.5692,0.7243,0.0525,0.1175,0.1522,0.2192,0.1522,0.2431,0.0856,0.24,0.0834,0.1782,0.0637,0.0743,0.2022,0.4875,0.1853,0.3776,0.1879,0.1573,0.5549
Glut-CACNA1H-3,0.3046,0.51,0.6214,0.6071,0.3604,0.2516,0.1061,0.1696,0.1337,0.3445,0.1047,0.1213,0.14,0.233,0.1544,0.1296,0.092,0.2375,0.5354,0.5029,0.2516,0.5158,0.3115,0.1868,0.6962
Glut-CACNA1H-4,0.3804,0.3115,0.7551,1.0,0.4898,0.4441,0.0757,0.093,0.2912,0.168,0.2915,0.6663,0.1854,0.2791,0.1082,0.6125,0.0869,0.0766,0.2244,0.3529,0.1748,0.1722,0.2067,0.1633,0.2308
Glut-CACNA1H-RA,0.28,0.5759,0.494,0.3551,0.2012,0.2427,0.1267,0.138,0.237,0.3579,0.1508,0.1337,0.2229,0.1156,0.2309,0.0823,0.1291,0.138,0.9252,0.7328,0.2554,0.3692,0.2427,0.2297,0.8148
Glut-DACH2-1,0.2164,0.0537,0.0746,0.08,0.3043,0.1876,0.5098,0.1259,0.7756,0.4016,0.7257,0.5946,1.0,0.8148,0.1365,0.4206,0.2154,0.1598,0.0486,0.0801,0.2035,0.5443,0.1978,0.1074,0.0438
Glut-DACH2-2,0.0987,0.0868,0.0815,0.0926,0.2465,0.1468,0.7894,0.1053,0.662,0.4172,0.8504,0.6164,0.9252,0.5724,0.1646,0.2454,0.1372,0.2314,0.2114,0.0671,0.236,0.5294,0.2606,0.1124,0.0764
Glut-DACH2-3,0.4819,0.0726,0.0678,0.0777,0.213,0.1188,0.3936,0.7328,0.2093,0.6691,0.2795,0.2306,0.3571,0.2574,0.3551,1.0,0.6366,0.8442,0.1086,0.1472,0.0888,0.2247,0.1401,0.1536,0.0633
Glut-DACH2-4,0.2774,0.0848,0.0559,0.0466,0.0998,0.0775,0.3444,0.5443,0.2687,1.0,0.1683,0.0808,0.4481,0.2869,0.1263,0.587,0.227,0.8148,0.3463,0.6065,0.3527,0.3883,0.4801,0.2084,0.0995
Glut-DACH2-5,0.1117,0.1056,0.0944,0.0998,0.1501,0.1412,0.9595,0.1254,0.592,0.3513,0.8099,0.4766,0.8847,0.6366,0.2396,0.2088,0.182,0.3041,0.2011,0.0801,0.133,0.5724,0.2374,0.1183,0.0894
Glut-DACH2-6,0.2424,0.1075,0.0766,0.0622,0.2127,0.2181,0.5602,1.0,0.1672,0.7463,0.2099,0.0715,0.1994,0.4132,0.1909,0.4481,0.4527,0.8785,0.2523,0.4648,0.195,0.1853,0.2973,0.1768,0.1234
Glut-DACH2-7,0.1344,0.0897,0.0785,0.0735,0.1848,0.1253,0.8099,0.236,0.8299,0.4915,0.4254,0.1929,0.8958,0.7512,0.1095,0.256,0.3005,0.4276,0.0839,0.0642,0.1914,0.666,0.3807,0.1024,0.0687
Glut-DACH2-8,0.2439,0.0877,0.0622,0.0715,0.2867,0.0667,0.5272,0.7805,0.3492,0.7805,0.0939,0.0766,0.1553,0.2914,0.6437,0.3553,0.5418,1.0,0.389,0.1764,0.3786,0.1779,0.1924,0.1234,0.1004
Glut-DACH2-HVCra,0.4397,0.1362,0.0912,0.0841,0.0552,0.1256,0.4147,0.1023,0.4381,0.2718,0.2556,0.4753,0.7439,0.331,0.3417,0.0603,0.2831,0.1456,0.2022,0.2648,0.4024,0.6495,0.8847,0.7551,0.0775
Glut-DACH2-HVCra-Pre,0.1357,0.1039,0.1115,0.0841,0.1198,0.1605,0.5588,0.1066,0.6914,0.488,0.5984,0.6557,1.0,0.5724,0.1433,0.2222,0.1825,0.1327,0.1832,0.1613,0.2849,0.4941,0.4788,0.2403,0.0679
Glut-DACH2-HVCx,0.401,0.267,0.143,0.1086,0.303,0.1162,0.1833,0.4325,0.1019,0.3227,0.138,0.0777,0.2031,0.0917,0.1779,0.2004,0.4119,0.301,0.919,0.8553,0.4693,0.3573,0.7243,0.4094,0.2076
Glut-DACH2-LMANco,0.3384,0.1989,0.1287,0.1424,0.1582,0.1353,0.3221,0.7805,0.1016,0.2973,0.1168,0.1225,0.1558,0.1766,0.6916,0.1874,0.4283,0.6916,0.6912,0.3418,0.2117,0.1114,0.4037,0.4939,0.2414
Glut-DACH2-LMANsh,0.11,0.1038,0.0828,0.0876,0.1312,0.1165,0.7196,0.2043,0.6017,0.5922,0.4401,0.2847,0.7002,0.7034,0.587,0.1581,0.245,0.6185,0.0927,0.0783,0.2026,0.5151,0.2693,0.1236,0.0981
Glut-SATB2-1,0.1767,0.1161,0.11,0.0845,0.1042,0.1545,0.3165,0.0988,0.5443,0.1991,0.3469,0.1642,0.3469,0.2834,0.2599,0.1456,0.2131,0.2354,0.2288,0.2882,0.8442,0.6875,0.9595,0.8504,0.089
