"","finch|Glut-CACNA1H-1","finch|Glut-CACNA1H-2","finch|Glut-CACNA1H-3","finch|Glut-CACNA1H-4","finch|Glut-CACNA1H-RA","finch|Glut-DACH2-1","finch|Glut-DACH2-2","finch|Glut-DACH2-3","finch|Glut-DACH2-4","finch|Glut-DACH2-5","finch|Glut-DACH2-6","finch|Glut-DACH2-7","finch|Glut-DACH2-8","finch|Glut-DACH2-HVCra","finch|Glut-DACH2-HVCra-Pre","finch|Glut-DACH2-HVCx","finch|Glut-DACH2-LMANco","finch|Glut-DACH2-LMANsh","finch|Glut-SATB2-1","chicken|Ex_BCL6","chicken|Ex_CACNA1H_CPA6","chicken|Ex_CACNA1H_KIT","chicken|Ex_CACNA1H_LHX9","chicken|Ex_CACNA1H_MCTP2","chicken|Ex_CACNA1H_PROX1","chicken|Ex_DACH2_ADAMTS5","chicken|Ex_DACH2_CEMIP","chicken|Ex_DACH2_GRIK4","chicken|Ex_DACH2_ITGA9","chicken|Ex_DACH2_LHX2","chicken|Ex_DACH2_LUZP2","chicken|Ex_DACH2_MGAT4C","chicken|Ex_DACH2_NR4A3","chicken|Ex_DACH2_RORB","chicken|Ex_DACH2_SLIT2","chicken|Ex_DACH2_TAC1","chicken|Ex_DACH2_ZMAT4","chicken|Ex_KIAA1217","chicken|Ex_KIAA1217_BCL6","chicken|Ex_SATB2_FOXP2","chicken|Ex_SATB2_OVOA","chicken|Ex_SATB2_SOX6","chicken|Ex_SATB2_ZNF385B","chicken|Ex_TSHZ2_NR4A2"
"finch|Glut-DACH2-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81999921679198,NA,NA,NA,0.0975126618629907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305586046021989,NA,NA,0.661610591404912,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-DACH2-HVCra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981114101146644,NA,0.0161826981246219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546075449224089,NA
"finch|Glut-DACH2-HVCra-Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743205858701106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-DACH2-HVCx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0161826981246219,NA,0.986520502604112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-DACH2-LMANco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0975126618629907,NA,NA,NA,0.984975459482038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.804114868347403,NA,NA,0.228688494225697,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-DACH2-LMANsh",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184161599138108,NA,NA,NA,NA,NA,NA,NA,0.825596898545274,NA,NA,NA,NA,NA,NA,NA,0.448572802058125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-SATB2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.968221892269874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689755778673791,0.47709573408639,NA
"chicken|Ex_BCL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983861152212305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_CACNA1H_CPA6",0.449697405887089,NA,0.433247083252091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976055023779423,NA,NA,NA,0.135471223887785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_CACNA1H_KIT",NA,0.588212929413829,NA,0.446244542463216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867270729046336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_CACNA1H_LHX9",NA,NA,NA,0.624544646437104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789593864170962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_CACNA1H_MCTP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781096924891147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_CACNA1H_PROX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135471223887785,NA,NA,NA,0.753002528445006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_ADAMTS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536230958805679,NA,NA,NA,NA,NA,NA,NA,0.448572802058125,NA,NA,NA,NA,NA,NA,NA,0.75093719237197,NA,NA,NA,NA,NA,NA,0.183497258533458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_CEMIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.730868221813636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913419821843413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_GRIK4",NA,NA,NA,NA,NA,0.581243274526356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.940401719282983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_ITGA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566211567958609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_LHX2",NA,NA,NA,NA,NA,NA,0.506821005518386,NA,NA,0.514395312789345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66021840159337,0.285258464778737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_LUZP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285258464778737,0.769264668849156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
