"finch_cluster","metaneighbor_top","metaneighbor_auroc"
"Glut-DACH2-LMANco","Ex_DACH2_RORB",0.9658
"Glut-CACNA1H-RA","Ex_KIAA1217",0.9613
"Glut-CACNA1H-2","Ex_CACNA1H_KIT",0.9559
"Glut-DACH2-6","Ex_DACH2_CEMIP",0.9515
"Glut-CACNA1H-4","Ex_CACNA1H_LHX9",0.9466
"Glut-SATB2-1","Ex_SATB2_SOX6",0.9444
"Glut-CACNA1H-1","Ex_TSHZ2_NR4A2",0.9424
"Glut-DACH2-8","Ex_DACH2_ZMAT4",0.9386
"Glut-CACNA1H-3","Ex_TSHZ2_NR4A2",0.9236
"Glut-DACH2-HVCra","Ex_SATB2_ZNF385B",0.8953
"Glut-DACH2-3","Ex_DACH2_SLIT2",0.8857
"Glut-DACH2-2","Ex_DACH2_LHX2",0.8764
"Glut-DACH2-1","Ex_DACH2_GRIK4",0.8738
"Glut-DACH2-5","Ex_DACH2_LHX2",0.8702
"Glut-DACH2-LMANsh","Ex_DACH2_ADAMTS5",0.8536
"Glut-DACH2-HVCx","Ex_KIAA1217",0.8395
"Glut-DACH2-7","Ex_DACH2_GRIK4",0.7649
"Glut-DACH2-HVCra-Pre","Ex_DACH2_MGAT4C",0.7542
"Glut-DACH2-4","Ex_DACH2_ITGA9",0.6896
