"","finch|Glut-CACNA1H-1","finch|Glut-CACNA1H-2","finch|Glut-CACNA1H-3","finch|Glut-CACNA1H-4","finch|Glut-CACNA1H-RA","finch|Glut-DACH2-1","finch|Glut-DACH2-2","finch|Glut-DACH2-3","finch|Glut-DACH2-4","finch|Glut-DACH2-5","finch|Glut-DACH2-6","finch|Glut-DACH2-7","finch|Glut-DACH2-8","finch|Glut-DACH2-HVCra","finch|Glut-DACH2-HVCra-Int","finch|Glut-DACH2-HVCx","finch|Glut-DACH2-LMANco","finch|Glut-DACH2-LMANsh","finch|Glut-SATB2-1","chicken|Ex_BCL6","chicken|Ex_CACNA1H_CPA6","chicken|Ex_CACNA1H_KIT","chicken|Ex_CACNA1H_LHX9","chicken|Ex_CACNA1H_MCTP2","chicken|Ex_CACNA1H_PROX1","chicken|Ex_DACH2_ADAMTS5","chicken|Ex_DACH2_CEMIP","chicken|Ex_DACH2_GRIK4","chicken|Ex_DACH2_ITGA9","chicken|Ex_DACH2_LHX2","chicken|Ex_DACH2_LUZP2","chicken|Ex_DACH2_MGAT4C","chicken|Ex_DACH2_NR4A3","chicken|Ex_DACH2_RORB","chicken|Ex_DACH2_SLIT2","chicken|Ex_DACH2_TAC1","chicken|Ex_DACH2_ZMAT4","chicken|Ex_KIAA1217","chicken|Ex_KIAA1217_BCL6","chicken|Ex_SATB2_FOXP2","chicken|Ex_SATB2_OVOA","chicken|Ex_SATB2_SOX6","chicken|Ex_SATB2_ZNF385B","chicken|Ex_TSHZ2_NR4A2"
"finch|Glut-CACNA1H-1",0.971821035430482,0.892902445828518,0.944811780450049,0.871351563086732,0.88375850314031,0.266970357263851,0.196799142236391,0.535589959869403,0.666172758525562,0.0933371506335929,0.424166610301739,0.142802647722241,0.35060538413878,0.213755560940621,0.179559918097351,0.671207115187115,0.528728911162204,0.0775324580281003,0.275687659812963,0.563291306675571,0.926962590933884,0.908049625253095,0.916745973218984,0.802695221650719,0.852029266447176,0.143382090748944,0.458941940683043,0.246130672129292,0.565671554084194,0.336883014017847,0.440414213879289,0.228887778444715,0.247105945925398,0.26486636680239,0.549043478001374,0.542667198174414,0.272999400736512,0.858078306795964,0.889025412076056,0.651111467863589,0.326384273591758,0.402420000829121,0.435656494983628,0.9423527221193
"finch|Glut-CACNA1H-2",0.892902445828518,0.972648337221441,0.922655677594771,0.89815057860747,0.763689769948901,0.437386158114069,0.333794238339169,0.676593348993705,0.722895707024138,0.168012525788811,0.388476916012231,0.227850638455352,0.326718612992665,0.187027493969778,0.262369896269969,0.572244427276535,0.314837371764575,0.0993665308395707,0.34951383402303,0.698663208818738,0.914446807284246,0.955877776642817,0.920350414770981,0.85054850133407,0.904872646402515,0.14865121310004,0.448949226300423,0.387445129059705,0.476952228385621,0.495614855474666,0.590046459767475,0.267967979199874,0.315037341247594,0.113091584294531,0.593886948652764,0.388084574341923,0.185167838560117,0.707120197706404,0.83059038599072,0.60362687547147,0.44221316179049,0.347495687457515,0.285918320998809,0.899712399350504
"finch|Glut-CACNA1H-3",0.944811780450049,0.922655677594771,0.967870228203693,0.849446634016349,0.824921194001567,0.329525036728495,0.28662269895335,0.595156400342822,0.663704709182686,0.154121825186809,0.395529640803526,0.174364772762559,0.33287162384898,0.178930944077268,0.200019112480033,0.592507176697462,0.421631330882789,0.113832809229568,0.286351826881702,0.570289016150671,0.916020024833234,0.895756913821396,0.875154241545814,0.789124942050509,0.836082191267543,0.202643293589466,0.451790353607928,0.266121458597732,0.562812735494586,0.379653133382756,0.439401551117079,0.251199677682222,0.343073090315968,0.259683881760587,0.490604821366837,0.493294268746053,0.3079290571053,0.810182309078754,0.864718219376365,0.614177899559741,0.395271871962498,0.388615038543161,0.386943436278941,0.923595055264737
"finch|Glut-CACNA1H-4",0.871351563086732,0.89815057860747,0.849446634016349,0.989011132952103,0.768086228563114,0.498658922739035,0.349317330409459,0.648671311168473,0.71398669710248,0.178274727822179,0.414421214078026,0.250856779065669,0.312729744713372,0.282533863419718,0.349220086186734,0.629242764681667,0.352380143534858,0.107606780881362,0.368610938197075,0.653488511125817,0.840025348707396,0.930617854936493,0.946576762754458,0.863527412683441,0.922472346221109,0.129031705127521,0.377507846196587,0.4692293605977,0.444716819345892,0.603987762966105,0.739284485219838,0.380701475829933,0.258242192572799,0.0870356591127078,0.672064585343469,0.433539290317843,0.121419200230641,0.582587603474916,0.753948311377944,0.525242876089184,0.380872076772851,0.360997808615791,0.351508538702635,0.800361131510258
"finch|Glut-CACNA1H-RA",0.88375850314031,0.763689769948901,0.824921194001567,0.768086228563114,0.998973151511797,0.109704634246749,0.143318448701199,0.176886116023813,0.431721291087991,0.11577060626644,0.348882394901032,0.115661573554943,0.304979913066294,0.571837058584633,0.247466126400438,0.825178071601919,0.771403031224654,0.158577036958326,0.325273362308022,0.688114304237288,0.88346774121691,0.7829403542325,0.770721963621904,0.587415808758867,0.699525482284051,0.167944262502111,0.308281128371855,0.163212491125466,0.500778795691572,0.243101922064377,0.317254158186256,0.21431041092452,0.192465358511466,0.632666661512013,0.314471678635301,0.55245341283169,0.309845583016422,0.961303405536253,0.899212622900985,0.73575865607952,0.216967595922876,0.625472123574032,0.74077621255148,0.915939792101743
"finch|Glut-DACH2-1",0.266970357263851,0.437386158114069,0.329525036728495,0.498658922739035,0.109704634246749,0.94369673576264,0.853181759708739,0.685447715259219,0.580097122878887,0.795521379868877,0.311325478290656,0.772283399487437,0.290763370253635,0.469401469832253,0.731771877829643,0.2082091229408,0.107555997515743,0.657287806845135,0.539636564158028,0.421711356033139,0.312219440268871,0.339724674109177,0.411737831687044,0.468880581738131,0.48109913244736,0.746559502241017,0.334520985672508,0.873826309990369,0.493630487716316,0.826328292255614,0.807908078384916,0.84008887676199,0.797170165311192,0.255923139034773,0.629770540653029,0.283882171510625,0.344024729551835,0.17184043115245,0.152982040147597,0.262510262350297,0.719890493704572,0.258426166681714,0.29518641521174,0.146170542024065
"finch|Glut-DACH2-2",0.196799142236391,0.333794238339169,0.28662269895335,0.349317330409459,0.143318448701199,0.853181759708739,0.955806695004608,0.471350816288191,0.451391127420577,0.878896842478035,0.226214751660422,0.729225282477413,0.289127604754096,0.543806689458894,0.818189653401663,0.184418517313973,0.163674549715911,0.788288282489198,0.561120436382073,0.392781498373219,0.295915344884147,0.290356662691672,0.314091725604979,0.48724255952334,0.379588132580382,0.815898372010151,0.210399197645713,0.828843364949666,0.350124687330254,0.87644144080306,0.814586410238263,0.855323083233887,0.816676979010389,0.423550780845338,0.448501994163418,0.19814761458112,0.300158469384787,0.197853173878521,0.144492308319944,0.340283486162061,0.747034324312573,0.36885387658355,0.342529849570218,0.193774314632429
"finch|Glut-DACH2-3",0.535589959869403,0.676593348993705,0.595156400342822,0.648671311168473,0.176886116023813,0.685447715259219,0.471350816288191,0.998395867644005,0.875133614445546,0.382725325550598,0.803647391496339,0.485465224965643,0.743549119207968,0.289884022486687,0.39672283547884,0.465672175429127,0.438554485304498,0.310732161109641,0.355781901720404,0.604119288163628,0.33890369506843,0.427011382199224,0.487058308075062,0.50176656945021,0.434540368775435,0.598963376757346,0.820832702532881,0.623802671638189,0.714170827989872,0.51844504025013,0.467057752944869,0.493668408106973,0.556043846243094,0.376162315655653,0.885727189304278,0.629716662301394,0.765600329006025,0.256553722591223,0.323908221416198,0.284597890400009,0.55067001231662,0.321254417879241,0.270541789476678,0.276447451714591
"finch|Glut-DACH2-4",0.666172758525562,0.722895707024138,0.663704709182686,0.71398669710248,0.431721291087991,0.580097122878887,0.451391127420577,0.875133614445546,0.983661010133118,0.253282040959174,0.75004939145115,0.416218688806417,0.608225392662252,0.348086272549381,0.461956404690872,0.822249526222773,0.351111124374183,0.190179020395277,0.522735726391523,0.432001479764521,0.433861381877819,0.531281100710285,0.484337065985376,0.583626070417996,0.316391352189296,0.454395353165193,0.658707664469336,0.528997484550153,0.689570478101908,0.445120139834335,0.384643312974079,0.451712710360355,0.587008695104434,0.287774725952678,0.636422438291764,0.392858989618616,0.655450922198253,0.562955891478366,0.552745918110858,0.66295098936638,0.566192200548585,0.584444476155739,0.324696221192479,0.602464492756713
"finch|Glut-DACH2-5",0.0933371506335929,0.168012525788811,0.154121825186809,0.178274727822179,0.11577060626644,0.795521379868877,0.878896842478035,0.382725325550598,0.253282040959174,0.974449010966354,0.288474757144737,0.820846975213726,0.41840143158135,0.526017720340899,0.730400384545773,0.10865331942221,0.287847240635709,0.91006063941892,0.605545977851681,0.391611268211179,0.234554395471065,0.200356663391921,0.228839282058623,0.415126109848677,0.425547061327764,0.863615549316503,0.25006053166422,0.776070526618511,0.372399964307,0.870156010105172,0.787572064274837,0.868371138916599,0.812988577492421,0.574696673268708,0.456359107621273,0.362726248545665,0.425009678785784,0.171310393420003,0.121859233017612,0.211238978871023,0.73736919456444,0.262005643830265,0.352184255406017,0.144126058741951
