CDH19
CDH7
CDH20
LOC110479271
CDH9
LOC110482821
CDH12
CDH18
CDH11
CDH8
LOC110471896
EPHA7
EPHA5
EPHA3
EPHA6
EPHA8
EPHA4
LYN
HCK
LCK
BLK
FYN
YES1
GNAI2
GNAO1
GNAZ
GNAT2
LOC110469766
SLC4A7
SLC4A10
SLC4A8
SLC4A4
SLC4A5
PLA2G4F
HPCA
HPCAL1
VSNL1
HPCAL4
NCALD
COL1A2
COL3A1
YWHAQ
YWHAZ
YWHAB
YWHAG
YWHAH
LOC116184752
LOC110473194
KCNA4
KCNA2
LOC110475719
LOC110469136
LOC110474931
PAK1
PAK2
RPS27A
UBA52
SULT1C4
LOC110471711
HS3ST4
HS3ST2
CAPN1
MAPK11
MAPK13
MAPK12
GRK5
GRK6
LOC110475364
KHDRBS3
KHDRBS2
NIPAL1
NIPAL4
DES
VIM
PRPH
GFAP
UNC5C
UNC5B
LOC110475560
ABCC3
CLIC3
CLIC5
CLIC4
RAB8A
RAB8B
RAB10
MOK
CDK1
CDK5
KCNJ5
KCNJ6
ALDH16A1
ALDH1A1
TLE1
TLE3
VAMP1
VAMP3
CKB
CKMT2
CACNA1D
CACNA1C
CACNA1S
PFKFB3
LOC110482654
LOC110469914
PFKFB2
SPTB
DNAH8
EBF3
EBF2
EBF1
PPP2R2B
PPP2R2A
PPP2R2D
PPP2R2C
FGFR4
FGFR2
FGFR1
FGFR3
BMP7
BMP5
DPYSL2
DPYSL3
DPYSL4
CNGA3
CNGA2
LOC110472637
GLRA1
GLRA3
GLRA2
RHO
PTPRU
PTPRK
PTPRM
PTPRT
PDK4
PDK3
PDK1
RPS6KA2
RPS6KA6
RPS6KA3
GABRG1
GABRG2
LOC110472673
GABRA5
GABRA2
GABRA1
GABRB3
TENT5D
TENT5A
TENT5B
LOC110471174
NDST1
CAMK2A
CAMK2D
CAMK2G
C1QL1
C1QL3
FGF12
FGF14
GRIA2
GRIA3
GRIA4
GRIA1
CAMK1G
CAMK1D
CAMK1
CDH2
CDH4
SLC7A1
SLC7A3
SLC7A2
TENM3
TENM1
TENM2
LOC110475079
CNTN5
LOC110469855
LOC110469856
AGO4
AGO3
LOC110484315
AGO2
ACTN2
ACTN1
ATP8B1
ATP8B3
ATP8B2
LOC110469887
LOC110469886
LOC110478627
KCNIP4
LOC110475701
AQP9
AQP10
LOC110475038
SYT9
SYT6
SYT10
CELF5
IKZF4
SLC6A6
LOC110472986
LOC110472938
SLC6A11
PPFIA1
PPFIA2
ATP2B2
ATP2B1
HCN1
HCN2
HCN3
HCN4
EPHB2
EPHB1
EPHB6
SRSF6
SRSF5
CNNM2
LOC110479238
ALDOC
MYL10
GRM7
GRM8
NLGN3
ITK
LOC110484827
TEC
RAP2A
RAP2B
RHEB
HNRNPA2B1
MAST2
DOCK2
DOCK1
LOC110481782
OLFM1
OLFM3
ABCB11
SLC25A14
RAB39A
RAB39B
KIF5C
KIF5B
GPR12
SLC12A5
SLC12A7
DLG3
PIM1
WWP2
WWP1
NDRG3
LHFPL5
LHFPL3
LHFPL4
DNAH3
DNAH1
MMP15
MMP16
MMP24
KCNC2
NRAS
CYTH1
CYTH3
CYTH4
MARK1
TFCP2L1
TFCP2
ASIC4
ASIC1
LOC110470199
LOC110485078
LOC110482333
LOC110478432
LOC110479734
DPF3
NOS1
NOS2
EDNRB
EDNRA
LOC110477964
KLHL5
KLHL1
KLHL4
MBNL1
MBNL2
MBNL3
HEPH
HEPHL1
CP
JAKMIP2
