"","Glut-Arco-5","Glut-NC-1","Glut-NC-2","Glut-Arco-2","Glut-HVC-1","Glut-Arco-4","Glut-NC-3","Glut-NR-5","Glut-Arco-1","Glut-HVC-1a","Glut-NR-3","Glut-LMAN-1","Glut-NR-1","Glut-NC-4","Glut-NR-4","Glut-NR-2","Glut-LMAN-2","Glut-HVC-2"
"Ex_BCL6",0.0332305042673307,0.0465333922802159,0.00205810168940776,0.0345204888370887,0.0290641044788525,0.000552951347699219,0.564078054951054,0.0102902600095379,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.00183421750245816,0,0,0.951843847679539,0,0.00215198858957472,0,0,0.00341482147886508,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0500411292745535,0.00124473316723892,0.00569779771387301,0.730568580343199,0,0,0,0.0172092469969542,0.0134782595520562,0.0014658829388849,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.114730081903903,0.000917833708249102,0,0.528049921590208,0,0,0.000790426335732898,0.00124670031001112,0.0764458533536586,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0921444877990471,0.0335546317618003,0.156116332806415,0.253833395643064,0,0,0.0147003266208295,0.0151506981185434,0.000679856247327814,0.00773030461106364,0.00126654347228726,0.0011339391546104,0,0,0,0,0,0
"Ex_CACNA1H_PROX1",0.0223570241221784,0.00713426296000783,0.0313763224366579,0.791347878409339,0,0,0.0022173480398019,0.00145468978815694,0,0.000606398580892763,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0938869508394414,0.00858739729969663,0.0109238818051131,0.0260712090765715,0,0.076288706158097,0.000646170654194122,0,0,0.104470261417952,0,0.0927773000056889,0.00022861969774493,0.00654607117573723,0.000731557298080427,0,0
"Ex_DACH2_CEMIP",0.00125113178996054,0.0167181054930374,0,0.00188754726878215,0,0,0.718859867103748,0,0,0,0.000981686955925412,0,0,0,0.0158849004340489,0.000581360821650662,0,0
"Ex_DACH2_GRIK4",0.0062396704258386,0.49438860569321,0.0676422813684696,0.00231360309083932,0,0,0.00331966515130993,0.00372045238661525,0,0,0.0417049719588026,0,0.00560556442579893,0,0,0,0,0
"Ex_DACH2_ITGA9",0.000550938135558607,0.14384081950137,0.0391400893295059,0,0,0.000320091090134064,0.308699993846122,0.010590402168047,0.000396062334335694,0,0.0203793818740856,0.000300217475171585,0,0.0165310403475425,0.0388688663216261,0.00159641237968915,0,0
"Ex_DACH2_LHX2",0.00165048537227409,0.279143827295854,0.213084527336966,0.035447454845304,0.0048629662139254,0,0.0207826355130833,0.0019463993791232,0,0,0,0,0.00436880236096336,0,0,0,0,0
"Ex_DACH2_LUZP2",0.0127592491114699,0.418843888339636,0.00392827000685055,0.235824995447552,0,0,0.0282090900855523,0.0013233035790357,0,0.000413737978558984,0.000542936156905815,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.524015722804603,0.0248413170477343,0.0353229801040077,0.0108291540205958,0,0.00816238361905376,0.00246463791014945,0,0,0.020726006035629,0,0.00454908544152215,0.000446600427180662,0,0.00040112482082686,0,0
"Ex_DACH2_NR4A3",0.00094234354968244,0.516849385615862,0.0107666022893375,0.0256611703067835,0.00657372086082648,0,0.0160612970635423,0.00235202550351256,0,0.00108269341001781,0.0296496341415158,0.000378251631705161,0.0111362419356701,0.00176252200489512,0,0,0,0
"Ex_DACH2_RORB",0,0.00791799410977037,0,0,0.00227753312616819,0.000727008372191723,0.67058619710261,0.0116909903685962,0,0,0,0,0,0,0.00704041394221195,0,0,0
"Ex_DACH2_SLIT2",0.0907188544571608,0.101998392579347,0.00676190908786991,0.00935501385253663,0,0,0.612777061190759,0,0,0,0,0,0,0.0011318544486387,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.000365519430589908,0.00334303930862625,0,0,0.250390424753335,0.146027744923204,0,0.00107677080255593,0.00140770191264412,0,0,0,0.184741555465872,0.000617285810411113,0.000853058435299188,0
"Ex_DACH2_ZMAT4",0.000710479297641864,0.00559533215337532,0.00044750973383334,0,0.000641013496045422,0,0.514307141820729,0.000702270265972012,0,0,0.00143224181587695,0,0,0.00216795613524473,0.198343022594737,0,0,0
"Ex_KIAA1217",0.0325980532892467,0.00106025516475,0,0.0201586464094561,0.0236493612237128,0,0.0269407751323157,0.563285888232236,0,0,0,0,0,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.0322098057337209,0,0.000711405878910945,0.0156598721945716,0.0493424421762248,0,0.0138748927448265,0.517425174213433,0.00121292009734674,0,0,0,0,0.00626355801881198,0.00375771517717082,0.00102162005723995,0,0.00118048968167804
"Ex_Pre_KCNH7",0.0115828688320397,0.17944153710303,0.000619411367906632,0.00540110037382481,0.00226158491328757,0.00172200895126976,0.152409611562213,0.135022521230367,0,0,0,0,0,0,0,0,0,0
"Ex_Pre_SATB2",0.00596903763183173,0.0505827465401918,0.0224139289530431,0.00629724320084983,0,0,0.0241461526909556,0.591950135893832,0,0,0,0,0,0,0,0,0,0
