"","Ex_BCL6","Ex_KIAA1217_BCL6","Ex_CACNA1H_PROX1","Ex_SATB2_FOXP2","Ex_Pre_SATB2","Ex_CACNA1H_CPA6","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_MGAT4C","Ex_DACH2_TAC1","Ex_SATB2_SOX6","Ex_DACH2_GRIK4","Ex_Pre_KCNH7","Ex_CACNA1H_KIT","Ex_CACNA1H_MCTP2","Ex_SATB2_OVOA","Ex_DACH2_ITGA9","Ex_KIAA1217","Ex_DACH2_RORB","Ex_DACH2_ZMAT4","Ex_TSHZ2_NR4A2","Ex_DACH2_LHX2","Ex_DACH2_SLIT2","Ex_DACH2_CEMIP","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_SATB2_ZNF385B"
"Glut-Arco-1",0.00483227427533964,0.00418085832401432,0.00272759519271893,0.00787424651950932,0.000781974205584417,0.0158841233241672,0.0177593522811677,0.306235340402107,0.000243478670162245,0.00115769534256935,0.000319536092316939,0.00040417964260624,0.00480270716474286,0.0338237193525065,0.0100457320263429,0.00244629362414488,0.00911591931823901,0.0145749603648564,0.000345484406697573,0.00021391939545275,0.0239582126124523,0,0,0,0,0,0
"Glut-Arco-2",0.0278179673843686,0.000627392677224304,0.0936831418489676,0.000579949979017336,0.00519008850171246,0.00727377404018671,0.00987993609426724,0.030822913928909,0,0,0.00129423973078763,0.000299260792026833,0.0034950272604542,0.173256293461107,0.0961116929249333,0.0058834203143712,0.000224326910843785,0.00212033245404399,0,0,0.00121892207072972,0.00144342915437764,0.000393768861566639,0,0,0,0
"Glut-Arco-3",0.0282902401822254,0.00702949146442855,0.00114752938009091,0.0051678470693085,0.00644699228196991,0.0134304364482635,0.0320716495966625,0.195076499675106,0,0.00338741279571176,0.00189424605684745,0.001762240227029,0.00934271021087019,0.0410702111070963,0.0145958725510949,0.00759379670890968,0.0040223614823072,0.0251392099692957,0.000826108297235283,0,0.0102100574810429,0,0,0.000484204116872587,0.000576341336511401,0.000455151741309499,0.000839276196771529
"Glut-Arco-4",0.00351374516538463,0.00213878254511892,0.00801658844447685,0.000566314981158871,0.027456382281006,0.00150846081838386,0.0172841655315917,0.0118997571856076,0.00616007496604788,0.00410403416623691,0.0309837464192872,0.00323222813216501,0.0382982904607756,0.00982921969474674,0.00360419824896511,0.059205831128639,0.0255554144782711,0.0109925060627022,0.002711794554519,0,0.00610412439479742,0.000446198752809092,0,0.000399316155221006,0,0.00304989542374947,0
"Glut-Arco-5",0.00798755751171357,0,0.0467867029745267,0.0105714888035356,0,0,0.00268745252381531,0.361616098359606,0,0,0,0.000932618590763399,0,0.0023910267084189,0.00661584849338637,0.000886440108556345,0.00219642989204867,0.0020343910160974,0,0,0,0,0.0250360308999828,0,0.00328993462017698,0,0.00133886047253584
"Glut-HVC-1",0.00577941223102416,0.0047208225897772,0.000462712779417222,0.00774997931943415,0.00696767892031957,0.00338794421611817,0.00447196268362004,0.0032709672956351,0.00442826835563807,0.0190978540728589,0.0484221921412757,0.0163545118418988,0.0499843294769563,0,0,0.0265739774402153,0.00113837268570175,0.00621212888833124,0.00679046851451216,0.00545626756331127,0,0.00342904815711991,0,0,0.0124952525383818,0.0728904547209658,0.0537911456464522
"Glut-HVC-1a",0.00235586398087316,0.000301362498255683,0.00518995451740574,0.0126324513638762,0.00189825957517214,0.00738533522542827,0.0201435625371015,0,0.0948432973854704,0.00272038542834251,0.0260372873418585,0.109867500602386,0.0104523526682838,0,0.000406914682570786,0.0143193564930057,0.00698504412343122,0.00412345267252239,0.000406887454501922,0.000321652989971311,0,0.003246594227089,0.000698028037883917,0,0.0542137700194451,0.0077156610444981,0.0125253586464378
"Glut-HVC-2",0.00278157091974819,0.0480693440297043,0.00399446733003283,0.0269048240645622,0,0,0,0,0.00142232775891072,0.0327347725340017,0.00655185492091392,0.000997898223926354,0.00681812258216916,0.0320386848647684,0.00369573701670809,0.00550795476226176,0.0330467125786832,0.103334858664799,0.00102349494063658,0.000542454032046789,0,0.0168174480843295,0.00308384567344908,0,0.00194228367806955,0,0.00576862581181376
"Glut-LMAN-1",0.000474232410034417,0,0.00328276679084373,0.0054981887084301,0.000614307773709132,0,0.0282021025233836,0,0.00560913316573903,0.00609131924578888,0,0.014712861137776,0.0422608582448591,0,0.00320173820778469,0.0225556321371859,0.00424152999129954,0,0.0575646035617448,0.0247891630483318,0,0.0285733751740018,0,0,0.00516395453226295,0.127863326240192,0.00113614238121449
"Glut-LMAN-2",0.0031988301077291,0,0.000507070205097576,0,0,0,0,0,0,0.00429991862037384,0.00713667922319041,0,0.0126628178366687,0,0,0,0.00173192500120166,0.023251673783043,0.162872753399621,0.102602476885482,0,0,0.000712080423804164,0.142971879931236,0.000477973191807251,0.00121712621508311,0.0125439962258374
