"","Ex_BCL6","Ex_KIAA1217_BCL6","Ex_CACNA1H_PROX1","Ex_SATB2_FOXP2","Ex_Pre_SATB2","Ex_CACNA1H_CPA6","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_MGAT4C","Ex_DACH2_TAC1","Ex_SATB2_SOX6","Ex_DACH2_GRIK4","Ex_Pre_KCNH7","Ex_CACNA1H_KIT","Ex_CACNA1H_MCTP2","Ex_SATB2_OVOA","Ex_DACH2_ITGA9","Ex_KIAA1217","Ex_DACH2_RORB","Ex_DACH2_ZMAT4","Ex_TSHZ2_NR4A2","Ex_DACH2_LHX2","Ex_DACH2_SLIT2","Ex_DACH2_CEMIP","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_SATB2_ZNF385B"
"Glut-NC-1",0.00289436262574466,0,0.00217497159939893,0,0.000259348726602497,0,0.0911627300306473,0,0.10528780734277,0.00227914139225931,0.00150195469769403,0.120428721994952,0.00833212764342024,0,0.000932678286342583,0.00422180419047413,0.0092753133224751,0.000646748175376023,0.00131260577572666,0.00146668060608552,0,0.0368281014140713,0.00338581403719132,0,0.0883944627152475,0.0135145169070034,0
"Glut-NC-2",0.00130213247841806,0,0.00130421985005112,0.00459970751232725,0,0,0.0553114125472242,0,0.0436417658161158,0.000295703791560564,0.00160744554497317,0.0823962054613255,0.00411776254283001,0,0,0.00411319686880616,0.00222145821541949,0.0030073967944456,0.00174298423754672,0,0,0.115859815614698,0.00048629982635531,0,0.094897631927909,0.0168149636708198,0.00196487198981956
"Glut-NC-3",0.00846361746934207,0,0,0,0,0,0.0102254360535669,0,0,0.0111107237750423,0,0.000402657386285812,0.00659116868198512,0,0.00250462422336731,0.000816513287913648,0.0183068003222858,0,0.0127252272712342,0.0320570974338129,0,0.000817876173195581,0.488575142352643,0.00218400976564338,0.003467349392312,0.000505641165838812,0
"Glut-NC-4",0.00770838073256486,0.0162945880067942,0,0.0110266189650295,0,0,0.0225873045872726,0,0.00193475571343047,0.00576459094296819,0.0104032829292268,0.00415287277979579,0.0106679582436168,0,0.000938303256683574,0.00886850707230189,0.241634171873445,0.0157081920792217,0.0021371734973943,0.0171148780240986,0,0.00121859205215284,0.0324234788765266,0,0.000674424734515544,0.00109229787653768,0
"Glut-NR-1",0,0,0.00159758145000161,0.000415227928631314,0.000466716908679078,0,0.0319643740061429,0,0.0538817633923032,0.00358108445273864,0,0.0371273607583093,0.0140905550058807,0,0.000482535550788884,0.00631109945061811,0.00063771077551615,0,0.00207493393883516,0,0,0.19973430294506,0,0,0.00643687567991223,0.0940798534440807,0.000346492918870284
"Glut-NR-2",0.0352398448000881,0.0070418654771299,0.000290422602709809,0.00492303649307505,0,0,0.00176201312265166,0,0.000352320619852654,0.0107091616130167,0.00286652161495676,0.00215669561254247,0.0021100687159572,0,0,0.0003515266711501,0.0389818332588807,0.00112385157564156,0.00125484342168233,0.0848658209426088,0,0,0,0.374295641459219,0,0.00353157246025713,0
"Glut-NR-3",0.00268159058271786,0.000600207253932836,0.000351133920824458,0,0.000768823322919564,0.000264789944279841,0.047165412319495,0,0.101360666403667,0.0130745308160989,0.0045001267498488,0.0982480370796674,0.0107754388266055,0,0,0.0237021480804832,0.0154039284788137,0.00383963025810235,0.00122736573061855,0.00363239127004175,0,0.00741479167176473,0,0.00166480381054261,0.00113260081198334,0.0870866880895765,0.000568493876852181
"Glut-NR-4",0.00163283077320136,0,0,0.000493542367285511,0,0,0,0,0,0.00764866112206027,0,0.00237952110333157,0.00333250144534479,0,0.00179833619730914,0,0.0114848269501529,0.000806212240111838,0.0113756930720243,0.576813981540669,0,0,0.000431283932154971,0.0345665501779431,0,0.00151611129084456,0.000538499632035176
"Glut-NR-5",0,0,0,0.230892140999072,0.00230461683990115,0,0,0,0,0,0.453903693250072,0.00318473501278358,0.00299052255648715,0,0,0.000791451493799363,0,0.00145176131911822,0,0,0,0,0,0,0,0,0.117287919270957
"Glut-RA",0.0228278306163891,0.00386402957128053,0.00831047195907858,0.015019591770046,0.00318607374729399,0.0697686227249645,0.000266563239456692,0.00161307026777074,0,0.00681386243648574,0.000937737486443601,0,0.00800750250641461,0.0941223315481291,0.000784125886349701,0.000848005330432409,0.000250447502175802,0.158488458110906,0.0330756077417719,0,0.00182983899432753,0.00204615129975934,0,0,0.00199932728465178,0,0.0143841527759143
