"","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_ZMAT4","Ex_CACNA1H_MCTP2","Ex_CACNA1H_KIT","Ex_DACH2_MGAT4C","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_DACH2_ADAMTS5","Ex_Pre_KCNH7","Ex_SATB2_OVOA","Ex_DACH2_LUZP2","Ex_BCL6","Ex_SATB2_SOX6","Ex_DACH2_GRIK4","Ex_DACH2_LHX2","Ex_SATB2_FOXP2","Ex_DACH2_CEMIP","Ex_SATB2_ZNF385B","Ex_KIAA1217"
"Glut-Arco-1",0.00546768252636746,0.858994705810209,0.018248285559476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0,0.691837556214197,0.0491895362691385,0.00116971751822585,0.00026709625656266,0.00156989609408554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0,0.785357364762326,0.0526016613388145,0,0,0,0.00152561268457398,0.000431917307649559,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0,0.507154495573929,0.0277454881844283,0,0,0.000714313311536087,0,0,0.00934619988543575,0.00119978344597274,0.161352852789341,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-5",0,0.815604141270616,0.00410027614527137,0,0,0,0.00275963999467474,0.00251925143660238,0,0,0,0.00342390110983546,0.00116912231445286,0,0,0,0,0,0,0,0
"Glut-HVC-1",0.0189182327214111,0,0.00088208468527095,0.000893741214277014,0,0,0.0046634535617828,0,0.00122842562628265,0.0925409140561639,0.0115218462724072,0.00315221638616393,0,0.305138337937502,0.0220238209742528,0.0210011782191067,0.00043332965150531,0.000619994052858646,0.000777055632139475,0.016895161196991,0
"Glut-HVC-1a",0.0458751673667991,0.000523499687179271,0.00826108535587482,0,0,0,0.131036068738991,0,0.0261546145642304,0.054273012048593,0.00797672544887138,0.00312528607956097,0,0.0156354766877655,0.00379542791170038,0.179444790640722,0.0110448710415657,0.000770522461002243,0,0,0
"Glut-HVC-2",0.000612030677602109,0.0238541678331376,0.00140875485820025,0.0639834562398334,0,0,0,0,0,0.0155607828975887,0.000802295876676194,0,0,0.0372970496960541,0.00131042727866895,0,0,0,0.314193685079036,0,0
"Glut-LMAN-1",0,0,0.000879577813994385,0.0307629304225711,0,0,0.0267760165017387,0,0.0258711820244594,0.0694223551194865,0,0,0,0,0.00165136101473975,0.0452114552342595,0.271622591874576,0,0,0,0
"Glut-LMAN-2",0.00529253130655848,0.0149190860408323,0,0.184805525556034,0,0,0,0,0,0,0.00035151927499329,0,0,0.0740278518368872,0.00737196066567098,0,0,0,0.0302664611602174,0,0.198285870903812
"Glut-NC-1",0.00115324173366984,0,0.0522149431127955,0.00857565043254145,0,0,0.200098240156023,0.000981909411928771,0.0042553506642757,0.235826669042386,0.00261939360236938,0.0336786252898524,0.00266596541479423,0,0.0010127520312815,0.0129127192561189,0.0110880793767078,0,0.000488646722758074,0,0
"Glut-NC-2",0.00107379150934898,0,0.00483968807859436,0,0,0,0.242684119774603,0,0.0120957498861347,0.161575662262405,0.00152301939956234,0,0.00179832444505752,0,0.00142662626906665,0.0867849804654753,0.0523084062043179,0,0,0,0
"Glut-NC-3",0,0,0.0188722349374095,0.369324023590607,0,0,0,0.146962543936724,0,0.00572480704553968,0.000335865160988911,0.00337333382242851,0,0,0,0,0,0,0.0226051190311857,0,0
"Glut-NC-4",0.00141913040134277,0.0022346810977082,0.0482947561542871,0.213006293897465,0,0,0.00316292321455588,0.00556747010198486,0.00349191910073178,0.0971528850857012,0.0117302848538808,0,0,0.00701908400464699,0,0,0,0.001341754840001,0.0464595110621803,0,0
"Glut-NR-1",0,0,0.00298517349315278,0,0,0,0.115388569655348,0,0.0152404033008008,0.357859578380723,0,0,0,0,0,0.025775549973245,0.0717617008024204,0,0,0,0
"Glut-NR-2",0,0,0.00113051539232563,0.175091644184787,0,0,0,0,0.000378547006072742,0.00629785573775713,0,0,0,0,0,0,0,0,0.596643464309308,0,0
"Glut-NR-3",0,0,0.0168269335206562,0.0193246094339519,0,0,0.114180503860505,0,0.0323182738174001,0.313240456362686,0.000571358552429268,0.000675179636462951,0,0.00253842121067456,0.00370487799832571,0.0163075757766432,0.00278269896686866,0,0.00677221735694174,0,0
"Glut-NR-4",0,0,0,0.757319197057508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398511576139188,0,0
"Glut-NR-5",0,0,0,0,0,0,0.00212264459165899,0,0,0.00243434636989215,0,0,0,0.000804329952577375,0.635689547866662,0.0048480770440261,0,0.103664485863854,0,0.112326312976607,0
"Glut-RA",0,0.960476352968448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
