"","Glut-Arco-1","Glut-Arco-2","Glut-Arco-5","Glut-NC-3","Glut-NR-5","Glut-NC-1","Glut-NR-4","Glut-NC-4","Glut-NR-2","Glut-Arco-3"
"Ex_BCL6",0.00358021974174807,0.0119194448638632,0.00146994023502622,0.132153555117862,0.211526467190007,0.0298136702202311,0,0,0,0
"Ex_CACNA1H_CPA6",0.0712412425713053,0.261954886877145,0.00627043956140607,0,0.110531428996431,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0232315810797529,0.306419129293891,0.0334943110697798,0,0.10193248337814,0.00170585120948808,0,0,0,0
"Ex_CACNA1H_LHX9",0.108120227733103,0.205827812190401,0.0765450846843386,0,0.0514412057398576,0.00678460058052515,0,0,0,0
"Ex_CACNA1H_MCTP2",0.044692647867748,0.122332251263069,0.00245739588252293,0.032482691121795,0.127252440293163,0.0261239039057655,0.000450055269427894,0,0,0
"Ex_CACNA1H_PROX1",0.00568623523588225,0.233323999349612,0.0208142978783629,0.000788133998247094,0.145450749941052,0.0127433711051443,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0,0,0.0469007728358006,0.0292241414627914,0.255660664205367,0.00876680912234247,0.000453190184616529,0,0
"Ex_DACH2_CEMIP",0.00104419478194961,0,0,0.314089388391252,0.0273052167514426,0.0109117675877753,0.0337900274194837,0,0.000980660227426063,0
"Ex_DACH2_GRIK4",0.000540757192630806,0.000891945928677901,0.000987275612116964,0.00301128049454149,0.0776565682978797,0.336539965008581,0.000597490047598902,0,0,0
"Ex_DACH2_ITGA9",0.0114619590674092,0.000196174823065844,0.000249663090155438,0.124598409847583,0.0775540398246242,0.0876704900389167,0.0138211086701489,0.00372772431295897,0.000937802998049158,0.0002801605283237
"Ex_DACH2_LHX2",0.000267625919614749,0.000780649006065528,0.000304198013312246,0.00467034786214363,0.0633020308593233,0.340592237669023,0,0,0,0
"Ex_DACH2_LUZP2",0.00117029868620386,0.0205146357894593,0.00724397508191079,0.00993735771644958,0.0931036313631702,0.251462812827245,0,0,0,0
"Ex_DACH2_MGAT4C",0.000594856039551628,0.000471024766755854,0.000268581449404854,0.00609617483883381,0.0540285795508015,0.355675648996787,0.000652480896651823,0,0,0
"Ex_DACH2_NR4A3",0.00152010342004874,0.000446730790778792,0,0.00723811479547863,0.0130411444656526,0.476365765504213,0.00184987583327551,0,0,0
"Ex_DACH2_RORB",0.00145473849855398,0,0,0.0899138636535555,0.256113811155819,0.000381588838289778,0.0201546638129249,0,0,0
"Ex_DACH2_SLIT2",0.00206938121739613,0.00960006559299895,0.0061566743270973,0.258369053403441,0.0470227309045743,0.0662553370317374,0,0,0,0
"Ex_DACH2_TAC1",0,0,0,0.190155182810993,0.143593092045596,0.00192361435409813,0.0339074472031961,0,0,0
"Ex_DACH2_ZMAT4",0.000321930634118794,0,0,0.258472899409735,0.024059407723937,0.00519597494227769,0.0809781209539407,0,0,0
"Ex_KIAA1217",0.00319844685917626,0.00037978663813109,0.000354164232465174,0,0.634941403287224,0,0,0.000995181573800755,0,0
"Ex_KIAA1217_BCL6",0.0160002854840312,0.00706919787681057,0.00377122606933354,0.000694942661501452,0.474556220096216,0.00681871849681666,0,0.0120097751352334,0,0
"Ex_Pre_KCNH7",0.000502588284571469,0.000314603214024548,0,0.00354943182805361,0.407972636753631,0.010026359137798,0,0,0,0
"Ex_Pre_SATB2",0,0.00385740045901646,0,0.0012375874355413,0.525915459061087,0.000787803905775027,0,0,0,0
"Ex_SATB2_FOXP2",0.000714946385124476,0,0,0,0.650786322135828,0.00268784076129062,0,0.000340422312417881,0,0
"Ex_SATB2_OVOA",0.00148114008510364,0,0.000695078252612956,0.00273496805383201,0.286026784410903,0.154348398078576,0.00034723558791292,0.000500474035124104,0,0
"Ex_SATB2_SOX6",0,0,0.000339530756415542,0,0.666721909871146,0.00297406748841485,0,0.000328799799342267,0,0
"Ex_SATB2_ZNF385B",0,0,0,0,0.774852637588474,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.34450952398904,0.00513735885942487,0.00442425739080552,0.00214663631595209,0.0733116465793242,0.00302823995294837,0,0,0,0.00239989092501565
