"","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-DACH2-2","Glut-DACH2-4","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-3","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-CACNA1H-2","Glut-DACH2-LMANco","Glut-DACH2-6","Glut-CACNA1H-3","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-7","Glut-DACH2-LMANsh"
"Ex_BCL6",0.00197484755338957,0.0046417628941858,0.00203564124034939,0.00457146008306894,0.0879179386928936,0.0155201432684506,0.175156085969398,0.00456999561227713,0.176993414114723,0.00126825051096075,0.0542281940617841,0.00537272192710632,0.0586928095088638,0.00352774554948775,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0,0.00481557234755511,0,0,0,0,0.736574198151037,0,0,0,0.00241509706113186,0.108462026622237,0,0
"Ex_CACNA1H_KIT",0.00149564896081088,0,0.00506066006628464,0,0.0123726744733448,0.102518047873319,0,0,0.000797766875081742,0.00155332470133063,0.573755666867094,0,0,0,0.0245304388398084,0.020612544478533,0,0
"Ex_CACNA1H_LHX9",0.0121079352071067,0.00128849918458234,0,0,0.00281883276301627,0.458850706294339,0.00258973437103472,0,0.00132293870707657,0.000673352425427963,0.224205033406629,0,0,0,0.0681333120624097,0.00273445494699142,0,0
"Ex_CACNA1H_MCTP2",0.00166916035887437,0.0401851875213579,0.13081639490303,0.000967047732365854,0.0628951302576526,0.0771577820312069,0.0316815322702963,0.00158369370699129,0,0.00589613050821914,0.171243843316781,0,0,0.000777349738949185,0.00190419831277495,0.000808189219520561,0.000756058081897741,0.0193884855305606
"Ex_CACNA1H_PROX1",0.000921681817238692,0.00164063573473877,0.0354783962644614,0,0.00101935872348297,0.0727821455196263,0.00318513164020724,0.00838568863025956,0.000725585796136041,0.00810978491305656,0.614199385793769,0,0.000397749771845504,0,0.000580977889834013,0.00242490841821004,0.000539301348871901,0.00224577038062135
"Ex_DACH2_ADAMTS5",0,0.0163081417915144,0.0531488514906476,0.00399424949676349,0.00378796859823393,0,0.00306988796088825,0.010167014595001,0.00764363965963149,0.295615081188441,0,0.00111354547249749,0.0184965461893993,0.000755388327259985,0,0,0.153889033685848,0.0168616415479962
"Ex_DACH2_CEMIP",0,0.00187466519228673,0.00099836695581299,0.00692916216130992,0.00683854054532904,0.000748518543362809,0.115558871726609,0.0265288264059861,0,0,0.00187974861894586,0.00677587450479658,0.595054718181547,0,0.0027139186767455,0,0.00332900849653818,0
"Ex_DACH2_GRIK4",0.0129990062455437,0.289136481769985,0.109587950905679,0,0.00312612637985722,0.00336077336302013,0,0,0.00227411220625776,0.0305325541253664,0,0,0,0.00177080303782097,0.00110269879016179,0,0.135130155844839,0.0123823557553592
"Ex_DACH2_ITGA9",0.00894839724425891,0.0475937287672069,0.0444138991041082,0.091788787032053,0.0119294792526129,0.000681133700440953,0.102152388814889,0.147431446699193,0.00942350858072149,0.00135912766258497,0.00516795090620492,0.00170285326845175,0.0270472391921691,0.002305186932872,0.0105344721758483,0.00278899609250214,0.0279909857602715,0.0149923195994126
