"","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-DACH2-2","Glut-DACH2-4","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-3","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-CACNA1H-2","Glut-DACH2-LMANco","Glut-DACH2-6","Glut-CACNA1H-3","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-7","Glut-DACH2-LMANsh"
"Ex_DACH2_LHX2",0.00280212433282653,0.122509111302787,0.374499003003878,0.000340121848308255,0.00341519790970333,0.000491950209539001,0.0188478254411031,0,0.00719894501358732,0.0508083669901232,0.00516846272081219,0.00101657177326165,0,0.00130470071365876,0.000990302712596839,0.000835314652297979,0.00991714836924775,0.00237357205619629
"Ex_DACH2_LUZP2",0.141149287833482,0.147811186508031,0.26468599683605,0.00148888192587441,0.00154122193880163,0.0281457684431811,0.0142089681383522,0,0.00177896619030792,0.00142101768735038,0.00715876563300988,0,0,0,0.00156660364679989,0,0.00746171066920944,0
"Ex_DACH2_MGAT4C",0.0212092417515028,0.231044411014182,0.205690083696242,0.00324094125497228,0.00190695436368561,0,0.00254916418201179,0,0.0281172064937655,0.0469894379691008,0.00163934426229508,0.00205299212286673,0,0.000891152150889725,0,0,0.0634703624410035,0.000982297394639139
"Ex_DACH2_NR4A3",0.000756378905291853,0.286373828966913,0.0197562744152179,0.00420239857270643,0,0.00205255043522442,0.00483309711312708,0.00119773632540976,0.0141702930567602,0.0324600529584182,0.00749690533122474,0,0.00172089220987441,0.00268897793732471,0.0109434942075129,0.00169202047214273,0.120763498506893,0.00372248468102022
"Ex_DACH2_RORB",0.00143431282295197,0,0.000565680131981473,0.00357727547794923,0.0010320714749273,0.00122238829752975,0.127810998637133,0.0830657315116613,0.00255897061239033,0.00177848637633984,0.00422066126807588,0.102270481951238,0.00195817236210714,0.00142628826044776,0,0,0.00233578537205938,0.207107356284188
"Ex_DACH2_SLIT2",0,0.0756710957811066,0.00791679702737848,0.0223129965373266,0.00211516695903371,0.0942022803722253,0.56857778182108,0.00851296176168409,0.000494310527879907,0.0095193814839905,0.00246897084500896,0.000744218195037784,0.00256058516756107,0.000977541026829313,0.00338287076457327,0,0.000753356334115455,0
"Ex_DACH2_TAC1",0.000294788491606847,0.00233672923941832,0.00114693609833651,0.002848446278452,0.0123104513892743,0,0.16016670039177,0.259663167935866,0.0662662638446897,0,0.0160365889175851,0.0399317959092703,0.0279503097668897,0.000443309919914997,0,0,0.00389877702845044,0
"Ex_DACH2_ZMAT4",0.000605852803445248,0.00372942826640313,0.00127813041152595,0.0249674645621701,0,0,0.233825122371604,0.330228599569061,0.0029281801525643,0,0,0.0025958081387225,0.103486968890394,0,0,0,0.0116255758387908,0.00427857098692927
"Ex_Pre_KCNH7",0.0253236421374526,0.0518509623054095,0.00370403053736654,0.00660435644957939,0.0945233438163741,0.00635475403734897,0.0128191906973979,0.016964897418416,0.0349343776336769,0.00452790115166436,0.0816120991566623,0.0213470087926568,0.0454262832131767,0.0181894132948102,0.00050956695184596,0.00050582300466679,0.00466918389758216,0.0266183658896761
"Ex_Pre_SATB2",0.0755467103567294,0.039485061659901,0.0318743528893066,0.00941256871548366,0.00113666336362347,0.00652967459278958,0,0.0211611245325298,0.0135774019401351,0,0.214769258413012,0,0.0160904095348115,0.0262980609287227,0,0.00124103288476911,0.00334136100377256,0.00584873962639338
"Ex_TSHZ2_NR4A2",0,0,0.00818296244705824,0,0.00407960799900402,0,0.00816850857189878,0,0.00366269756101481,0,0.0966946720259883,0,0,0.00330203742490569,0.497019677448114,0.00880472461561334,0,0.00320210991783535
