"","Ex_CACNA1H_LHX9","Ex_DACH2_ADAMTS5","Ex_TSHZ2_NR4A2","Ex_DACH2_ITGA9","Ex_SATB2_OVOA","Ex_DACH2_NR4A3","Ex_DACH2_ZMAT4","Ex_CACNA1H_KIT","Ex_DACH2_CEMIP","Ex_KIAA1217_BCL6","Ex_SATB2_SOX6","Ex_DACH2_LHX2","Ex_CACNA1H_MCTP2","Ex_Pre_SATB2","Ex_DACH2_GRIK4","Ex_CACNA1H_CPA6","Ex_Pre_KCNH7","Ex_DACH2_MGAT4C","Ex_DACH2_SLIT2","Ex_DACH2_LUZP2","Ex_BCL6","Ex_SATB2_FOXP2","Ex_DACH2_RORB","Ex_SATB2_ZNF385B","Ex_KIAA1217"
"Glut-CACNA1H-1",0.789444290953349,0.00027831225476439,0.00834197999294346,0.000500131883226264,0.000419501022319537,0.0232856777398115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.575397254566237,0,0.0198184670715394,0.00169385285907929,0.00102033990188856,0.0311561888751981,0.000536071854055338,0.0136401162588444,0.000379225713334286,0.0016441123253,0.000491178572454153,0.0002165393766392,0.00409388102415771,0.000223391202477721,0.000283786537318646,0.000922272733016281,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.726147635316599,0,0.0018111855786086,0.00302121421936202,0,0.0497664663415598,0,0.000914479787799431,0.000806098703837881,0,0.00174886565290848,0,0,0,0,0,0.000897750220940041,0.00091205757402785,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.80559340085491,0,0,0.00095107190428813,0.0040978282639229,0.0015939954780957,0,0,0,0,0,0.0012932050825505,0,0,0,0,0,0,0.00351868092293996,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.77918676341325,0,0.000423267587672318,0.000235307496090758,0.000341154965919619,0,0,0,0,0,0,0,0,0,0,0,0.00082442661539133,0,0,0.000538035765519097,0,0,0,0,0
"Glut-DACH2-1",0,0.108727061231405,0,0.0152958714861247,0.0371243895531846,0.0667838047813669,0.0077380550277941,0,0.000397978122403477,0,0.00702979117368173,0.0221798826686387,0,0,0.0416034926213033,0,0.00257699843032392,0.149152476960218,0.00722753548602697,0.0042922281292907,0.00032922286025342,0,0,0,0
"Glut-DACH2-2",0.000312479853575396,0.118870911064007,0.000469031447985174,0.0120817417685907,0.00200526027125773,0.0137383262233492,0,0,0,0,0.0141133427952317,0.125037944337419,0,0,0.0639456751395009,0,0.00234458946132583,0.12843160048599,0,0.0141222184189637,0,0,0,0,0
"Glut-DACH2-3",0,0.000785604933766089,0,0.00881806155339976,0.000724271608520671,0.0113737610314334,0.294897856852086,0,0.0287486566735146,0,0,0,0,0,0,0,0.00031863547280849,0,0.319777638495144,0,0,0,0,0,0
"Glut-DACH2-4",0.0028304091373062,0.029326550063132,0,0.01473658972096,0.00229503888326031,0.0390794976454495,0.250061002206442,0,0.0322115407790654,0,0.0148470963123718,0,0,0,0,0,0.026722594162218,0.0038485018769805,0.00692765049912633,0,0.00183120502069631,0.00490898938050935,0,0,0
"Glut-DACH2-5",0,0.307208656162014,0,0.021013559780851,0,0.00530657446989775,0,0,0,0,0.000363462825873046,0.157787714269271,0,0,0.0248901957483123,0,0,0.0289908066903676,0,0,0,0,0,0,0
"Glut-DACH2-6",0,0.0106547724983393,0,0.000736299976557083,0,0.000743540941082783,0.121180160064525,0,0.639268887570491,0,0.00499379318024371,0,0,0,0,0,0,0,0,0,0,0,0.000412141993481575,0,0
"Glut-DACH2-7",0,0.214978778838906,0,0.0434405194962673,0.000679468228245289,0.0371589396919281,0.0284116338914077,0,0.00485368026176001,0,0.0229039157934969,0.00642119062181514,0,0,0.0379799421752585,0,0,0.0968803766654378,0.00169381768704634,0,0.00270128950811645,0,0,0,0
"Glut-DACH2-8",0,0.0244969231762442,0,0,0,0,0.451309763123405,0,0.117351253653801,0,0.0180640395242502,0,0,0,0.000820715816830301,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-HVCra",0,0.0537484837699562,0.00108352402424644,0.000824294590420085,0,0.00119677293441405,0.00151895892147241,0,0.00047359937060299,0,0.29779823577531,0.00145947337287874,0,0,0.0144641826436129,0,0.123386699526988,0.0025983938394102,0,0,0.0838952483633785,0.000402986980569689,0,0.0177365791449212,0
"Glut-DACH2-HVCra-Pre",0.000695767338473926,0.032385193117816,0.0184334942152044,0.0149945420644694,0.000891155968720877,0.00994808540414594,0.00307423541219659,0.00229639468924544,0.00116154980295805,0,0.140615627041769,0.0347916936470105,0,0,0.108209313069767,0,0.0257830749791665,0.0771149106752564,0,0.00636236064106493,0.0111056728227942,0,0,0,0
"Glut-DACH2-HVCx",0.00296909782930236,0.00785766668447191,0.00473927254254519,0.336513992748415,0,0,0.00685365510204739,0,0.0942041057387393,0,0.034303808177491,0,0,0,0,0,0.0120656355056394,0,0,0,0.0047618294281553,0,0,0,0
"Glut-DACH2-LMANco",0,0.00137367760202594,0,0,0,0,0.0522610626776871,0,0.0108142621436106,0.000482948426997179,0.689750538965447,0,0,0,0,0,0,0,0,0,0.0237581509745943,0,0,0,0.0104096360051719
"Glut-DACH2-LMANsh",0,0.0422626174257205,0,0.0509927495974778,0,0.00116876576580035,0.0909467490891161,0,0,0,0.00873785819508214,0.274203960699658,0,0,0.0475774167086746,0,0.000559370894262281,0.00385919977514074,0,0,0.00281739220926283,0,0,0,0
