"","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Ex_CACNA1H_LHX9","Ex_CACNA1H_KIT","Ex_TSHZ2_NR4A2","Ex_KIAA1217_BCL6","Ex_SATB2_FOXP2","Ex_DACH2_SLIT2","Ex_BCL6","Ex_CACNA1H_CPA6","Ex_CACNA1H_PROX1","Ex_CACNA1H_MCTP2","Ex_DACH2_ZMAT4","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_DACH2_LUZP2","Ex_DACH2_ITGA9","Ex_SATB2_ZNF385B","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_SATB2_OVOA","Ex_DACH2_CEMIP","Ex_KIAA1217","Ex_DACH2_RORB"
"Glut-Arco-1",0.000592744152787398,0.000503232149485968,0.713640254695506,0.00240276802287392,0.0413389977507456,0.000372381455644115,0.00192329283428528,0.000400946987677269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.00177813409513646,0,0.468781227196289,0.0675880152041786,0.00349067915752927,0,0.000563509570588469,0.00109932863806781,0.000633605610745299,0.00314214309516559,0.00184089341802887,0.000384827363208685,0.000388962513224301,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.00146686741680972,0.00421695606717159,0.596912237074682,0.0102197068712895,0.0219084927156351,0,0.00390288140510932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0.00102269454370505,0.0723279008536522,0.204097642113269,0.0129701763637013,0.102022622246022,0,0,0.000817733108584096,0,0,0,0,0,0.000961841738625028,0.00139594926994897,0,0,0,0,0,0,0,0,0
"Glut-Arco-5",0,0,0.659316664846959,0,0,0,0,0.0690682165131707,0,0,0,0,0,0,0,0.00157024650256263,0,0,0,0,0,0,0,0
"Glut-HVC-1",0.00551789081492645,0.559488001268821,0,0,0,0.0123440698606652,0.00874245951521277,0.000774619509596535,0,0,0,0,0.00103933654952356,0.02102464280023,0.000227641308425264,0,0.00115926126782397,0.00843615461544747,0.05171251692861,0.000563124932624578,0,0,0,0
"Glut-HVC-1a",0.0404021272795793,0.18844266444844,0,0,0,0.000729971499778143,0.00353959553689364,0,0,0,0.000434087601097657,0,0,0.118139568365741,0.00184903407554545,0.000694383705266958,0.00602555565773718,0,0.122924233688473,0.000637847971829825,0.00030307712977096,0,0,0
"Glut-HVC-2",0,0.0693241291559643,0,0,0,0.725707873940144,0.00286610148252584,0,0,0,0,0,0.00532401461467263,0,0,0,0.0032246320401301,0,0.00227435643703172,0,0,0.000732537747728669,0,0
"Glut-LMAN-1",0.0553542514354701,0.00813012151191636,0,0,0,0,0.000338508543827525,0,0,0,0,0,0.030978824802971,0.0318258972255175,0.0170749764449776,0,0.000338062451006101,0,0.0240321173971615,0.204736328732374,0,0,0,0
"Glut-LMAN-2",0,0.00184106951425371,0,0,0,0.00204130901629562,0.000386024433015979,0,0,0,0,0,0.566187307783228,0,0,0,0,0,0,0,0,0.0912237882287432,0.000421562458807141,0
"Glut-NC-1",0.110898960253498,0.00891979883652964,0,0,0,0.000598369234474148,0,0.00467262246406682,0,0,0.000748740148179585,0,0,0.255039550414567,0.00869653177756754,0.00159230673085212,0.00342097111450104,0,0.13212437174676,0.0107366261206407,0,0,0,0
"Glut-NC-2",0.0807768488369853,0.00926710280576845,0,0,0,0,0.000220216181169487,0,0,0,0,0,0,0.166861970884288,0.0402203821173678,0.000374566382933768,0.000789889452079174,0,0.0591284733602966,0.019563139777199,0.000256538778776385,0,0,0
"Glut-NC-3",0.00533270239314813,0,0,0,0,0,0,0.529275681395603,0,0,0.000958949815407856,0.000622144207890339,0.146896272220289,0,0,0,0.00336868638043741,0,0.00256742725502799,0,0,0.00637568885418094,0,0.000697698642889108
"Glut-NC-4",0.070316522059471,0.0248912002382802,0.000908717110962055,0,0,0.0641574743239531,0.0016201845574156,0.0700093872118676,0,0,0,0,0.0503009579153583,0,0,0,0.22924065408002,0,0.0177326246387753,0,0,0,0,0
"Glut-NR-1",0.0616678576736555,0.000929669767882982,0,0,0,0,0,0,0,0,0,0,0,0.10083925096943,0.037501849366326,0,0.000404882297614948,0,0.0377973125075367,0.113619587037504,0,0,0,0
"Glut-NR-2",0.00195996928712273,0.00452771982750612,0,0,0,0.00797502318317766,0,0.00120176710968061,0,0,0,0,0.221150116421836,0,0,0,0.00517992613545121,0,0.00205214086368339,0,0,0.469003264168993,0,0
"Glut-NR-3",0.0821074755491285,0.0721493736267732,0,0,0,0.000538928543113425,0.000696996292265452,0,0,0,0,0,0.0173081220429108,0.105264359140044,0,0,0.00638138134491719,0,0.144779385021137,0.00848629348398857,0.000465936468784789,0.000353171135533894,0,0
"Glut-NR-4",0,0.000263748118920673,0,0,0,0.000751203337485633,0.000461939624746996,0.00132943245535941,0,0,0,0,0.757831444698703,0,0,0,0,0,0.00127044949203896,0,0,0.0374193070295943,0,0
"Glut-NR-5",0,0.544227061215616,0,0,0,0,0.179479767516325,0,0,0,0,0,0.000706210804232687,0,0,0,0,0.118174738766658,0.00140405612791107,0,0.00212640661299336,0,0,0
"Glut-RA",0,0,0.682956066127959,0,0.0763289951946068,0,0.0013348373529771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
