"","Glut-Arco-1","Glut-NC-4","Glut-HVC-2","Glut-NC-3","Glut-Arco-2","Glut-NC-2","Glut-NR-2","Glut-HVC-1","Glut-NR-3","Glut-Arco-3","Glut-NR-5","Glut-NR-4","Glut-Arco-5","Glut-NC-1","Glut-HVC-1a","Glut-LMAN-1","Glut-NR-1","Glut-Arco-4","Glut-LMAN-2"
"Ex_BCL6",0.00395301517600695,0.00231268967443592,0.00145359768900885,0.324844701862716,0.0436083105092687,0.00185632301735362,0.030505795240574,0.000465667610366452,0.00169359184400653,0.000915720069545366,0.0718721466883517,0.000839433870298501,0.0426628155736484,0.0344736947653526,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0293506103835901,0,0,0,0.779045065472517,0,0,0,0,0,0.011941153387028,0,0.00854765053952101,0.0009404751550157,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0228208176543437,0,0.00115739303559004,0,0.650516353194078,0,0,0,0,0,0.0170472128889463,0,0.0645024063746493,0.00165404116081376,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0928890169131107,0,0,0.000620873826701163,0.182799258856128,0,0,0,0,0.00104795985412595,0.00411505498124125,0,0.435071930638343,0.00382935838751297,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0543985071313435,0.00700831763924886,0.000573662523069321,0.0278047620190518,0.283569732232476,0.0016325216340658,0,0.00045581948272183,0.0048893376132631,0,0.0255112088576698,0.00415259437989415,0.0732101026136624,0.0506334278972391,0.00060911589249132,0.000684924045628189,0.00905000425048827,0,0
"Ex_CACNA1H_PROX1",0.00317771589380304,0,0,0.00822765461027147,0.475853486588882,0,0,0,0.000405348893816885,0,0.0118725658570122,0,0.152550355075774,0.0273093745029288,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.00764769966669912,0,0.0391026643421721,0,0.0128028114910086,0.00692793113388462,0,0.0510445849754795,0,0.00995702204860623,0.0262117010376376,0,0.157174818673682,0.000309791097964885,0.00987132149947887,0.0852836231513325,0.00058655962543518,0
"Ex_DACH2_CEMIP",0.00105644001580656,0.00510269263095921,0,0.254042813825396,0,0,0.201128080709351,0,0.00227696009544358,0,0.00195592252420972,0.129466651787268,0.00183751719896025,0.00688618106837323,0,0,0.000382417753983484,0,0.00194912393103889
"Ex_DACH2_GRIK4",0.000831073099643202,0.00253527954503534,0,0.000576281152669587,0.00164495885531303,0.0115501935274794,0.000268777938433237,0.00192120154512781,0.0492599482555555,0,0.0176813007884741,0.00139589169754548,0.0150831990456799,0.357276415560781,0.0111554891363862,0.000262732745653593,0.0231627680343373,0.00106776095288725,0
"Ex_DACH2_ITGA9",0.00409168684070163,0.0658621747113495,0.00353786284942792,0.146103438616609,0.00100572468760966,0.00148049788693371,0.0182166505743979,0,0.0317580018981733,0.000374693954688037,0.0291590557149765,0.0856517481435066,0.00150342066104769,0.0995785157785013,0.000761918146235146,0.000799238796965774,0.00134497985470239,0.000539761830030473,0
"Ex_DACH2_LHX2",0,0.00142338363493482,0,0.0139315152397693,0.0040092004953192,0.0214574526514201,0.000471423176270027,0,0.00779541794662797,0,0.00744137463768359,0,0.0162662993334098,0.357973527955652,0.00113383578192295,0,0.0639072391828539,0,0
"Ex_DACH2_LUZP2",0,0,0,0.0155228230324462,0.00762859959354178,0.0055462660030781,0,0,0.00031934461498926,0.000897025385874185,0.0106086560786682,0,0.15098844585871,0.372583074600777,0.00066694224961437,0,0.0010337678234443,0,0
"Ex_DACH2_MGAT4C",0,0.00384452350244281,0.00104215456727325,0.00597619285774549,0,0.0168804432548979,0,0.000249077469435305,0.0265303947881457,0.00027841371238541,0.0146822108821555,0.00229807123206933,0.00358886193801318,0.407577917290237,0.00344573593475552,0.00127176467955217,0.0333611728668734,0,0
"Ex_DACH2_NR4A3",0.000444619812942828,0.00406297259703391,0,0.00900116088736374,0,0.00228616183612132,0.00378564118985398,0,0.0208977780174189,0,0.00802967395949973,0.00110386370952922,0.00229555707016953,0.503085537888547,0,0.00320320581467449,0.022902923905733,0,0
"Ex_DACH2_RORB",0,0,0,0.399638620775182,0,0.00272619407188295,0.00077854857628632,0,0,0,0.04099078634738,0.113100198781636,0,0.000536489175485863,0,0,0.000360459154041772,0,0.0212639185652485
"Ex_DACH2_SLIT2",0.00063548659861399,0.011976290575549,0,0.520288677033793,0.0026538737198694,0,0.0029821154705366,0,0.00528972953074649,0.00052881864394069,0.00212336054523722,0,0.0838604322142913,0.0764722494656854,0.000474769537141813,0,0,0,0
"Ex_DACH2_TAC1",0,0.000914386113710441,0,0.29856695828914,0,0,0.0168012479783377,0,0.0052144868510468,0,0.0611728503320814,0.201763727296645,0,0.00535642892424028,0,0.000450291193844493,0.000365141227352983,0,0.00398729362894595
"Ex_DACH2_ZMAT4",0.000290773612534226,0.00929844468950566,0,0.297590689511099,0,0.000273317218665432,0.0210381822302994,0,0.00230345600069698,0.0002663560346367,0.00352356485002069,0.313431252174222,0,0.00351974264364209,0,0.00048949080692089,0.000383588044926308,0,0
"Ex_KIAA1217",0,0.000302672329813556,0.000483362362126767,0,0.00424433068495507,0,0,0,0,0,0.909476155487948,0,0,0,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.0138579824897945,0.0129003592747104,0.0217337037660085,0.00109110730564312,0.0556506799595067,0,0.00178642100925384,0,0,0,0.581311957816517,0.00392707148651249,0.00940311437601732,0.000919906587542636,0,0,0,0,0
"Ex_Pre_KCNH7",0.000257869570658089,0,0,0.0220190343165151,0.0102187202710772,0.0102368759841126,0.00281244856141776,0,0.00625640250362889,0.000886692976970529,0.249539947689833,0.00062871395963225,0.0211812640712713,0.0851895919234583,0,0,0.000400947723202613,0.0128506147404088,0
"Ex_Pre_SATB2",0.000909708066412362,0,0,0.00461194069289425,0.0172249759208993,0.000879065979130076,0,0.000859261720395687,0,0,0.588959708182496,0,0.0153924377711169,0.0153197691387656,0,0,0.00081644581670313,0.00387560592080039,0
"Ex_SATB2_FOXP2",0.000725810455954163,0,0,0,0,0,0,0,0,0,0.946326840477005,0,0.000515956334264941,0,0,0,0,0.000873872656539792,0
"Ex_SATB2_OVOA",0,0.00466157915834341,0,0.00352714823875439,0.000879535489016059,0.00318726565382304,0,0,0.0195094099761529,0.000282968613963997,0.35853755432416,0.0011122978992106,0.00625677773812672,0.132493783443779,0.00169809034161709,0.00073260713971646,0.0205489672616631,0.00138368082559311,0
"Ex_SATB2_SOX6",0,0,0,0,0,0.000296413751496837,0,0,0,0,0.952178661825921,0,0,0.00204524742553132,0,0,0,0.00112915862051782,0
"Ex_SATB2_ZNF385B",0,0,0,0,0,0,0,0,0,0,0.991233757442635,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.505565758578487,0,0,0.00413995421587592,0.0401514780628009,0,0,0,0,0.00862541176876252,0.0560554158252781,0,0.0179185903117407,0.00390940796999666,0,0,0,0,0
