"","Ex_TSHZ2_NR4A2","Ex_Pre_SATB2","Ex_CACNA1H_LHX9","Ex_Pre_KCNH7","Ex_DACH2_NR4A3","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_BCL6","Ex_DACH2_GRIK4","Ex_CACNA1H_MCTP2","Ex_DACH2_LUZP2","Ex_DACH2_LHX2","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_DACH2_ZMAT4","Ex_DACH2_CEMIP","Ex_DACH2_TAC1","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.00158078379013318,0.000262035391260868,0.798061423713645,0.00158069555097302,0.00852387502721826,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00767471491776233,0.00197115148951689,0.595889085951459,0.00207211177608899,0.0125240590822185,0.00176824739908403,0.000837354446421103,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00808230705517656,0,0.679772809100711,0.005328465492807,0.00667337236786478,0,0.00138935955305882,0.000868615748114232,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0.651782306498021,0,0,0.15144853063858,0,0,0.00176434027183322,0.00132645511989071,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0.658401568524562,0.00198111580398998,0,0.000387826739407317,0,0.000506463045987774,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0,0.000944818309145495,0.093110564885854,0.00840545519645703,0.00348522906891178,0.000597738305103835,0.0655247040492216,0.000463511878136478,0.00276735684511602,0.0223106910832759,0.35522621081291,0.0213868108132935,0.000371122806091804,0,0,0
"Glut-DACH2-2",0.000309936513213381,0,0,0,0.0166536610459803,0.000387616368007865,0,0,0.0873122648601104,0,0.0114633133056524,0.127728620114812,0.158549455061814,0.0272588786879454,0,0,0,0
"Glut-DACH2-3",0,0,0,0,0.00774988447045639,0.557746765144648,0.0119714384569695,0,0.0010887118696444,0.000609740570628623,0,0.000448456477036571,0.00480375864627009,0.000547195163634488,0.0732294970047293,0.0241148091524571,0.000759334458389411,0
"Glut-DACH2-4",0,0,0,0,0.0363379537459251,0.0228415918574237,0.378245284023556,0.00290572359806258,0.00239019734654025,0,0,0,0.0151787786130991,0.00343200867776393,0.0149919757406321,0,0,0
"Glut-DACH2-5",0,0,0,0.00030324441780221,0.0123100410424404,0,0,0,0.0814081024684374,0,0.000638839949842111,0.126410469422398,0.0344542935402085,0.24885974323305,0,0,0,0
"Glut-DACH2-6",0,0,0,0,0,0,0.0515108895684197,0,0.000679592866489092,0,0,0,0.00031094391911216,0.00220041161149736,0.0456541182090452,0.586888719805053,0,0
"Glut-DACH2-7",0,0,0,0,0.0557830770219284,0.0013028611197093,0.00415690647641974,0.0014393190889728,0.162380143989042,0,0,0.0232759212888231,0.11794840036333,0.0893712031897268,0.0013124352903409,0.00264918537214179,0,0
"Glut-DACH2-8",0,0,0,0,0,0.000589810305075551,0.00111742122306997,0,0.00206608564194065,0,0,0,0,0.00133994532097039,0.506831024060567,0.0879328510617983,0,0
"Glut-DACH2-HVCra",0,0,0,0.0018224544383683,0.000833550836551992,0,0,0.478970424178035,0.0120497169990994,0,0,0.00963958952305352,0.0230225615046522,0.000377116810634723,0,0,0,0
"Glut-DACH2-HVCra-Pre",0,0.000381448426280961,0,0.000295232939102503,0.0196500594766622,0.000977708810964435,0.00562768522406367,0.0336209874039501,0.114906269172445,0,0.00236957326541299,0.0925611305600688,0.148598162158205,0.00053284190597209,0.000330491493224813,0,0,0
"Glut-DACH2-HVCx",0,0,0,0.281090114712574,0,0,0.0588537892172076,0.100650722286157,0,0,0,0,0,0.00106549558003632,0.00245088568359014,0.00295718726083332,0,0
"Glut-DACH2-LMANco",0,0,0.000690932638876636,0.00497162377869078,0,0,0,0.0512564781661592,0,0,0,0.000311623698864385,0,0,0.107269475760611,0.304716163218397,0,0
"Glut-DACH2-LMANsh",0,0,0,0,0.00834731773139692,0,0.000301462012876356,0.000257916827550888,0.031498990403326,0,0,0.257348200326572,0.00384153782565653,0.131465985617357,0.00546558706871761,0.00124292004820131,0,0.00343734049124892
