"","Ex_CACNA1H_LHX9","Ex_Pre_KCNH7","Ex_CACNA1H_MCTP2","Ex_KIAA1217_BCL6","Ex_TSHZ2_NR4A2","Ex_DACH2_ADAMTS5","Ex_DACH2_RORB","Ex_CACNA1H_KIT","Ex_DACH2_NR4A3","Ex_BCL6","Ex_CACNA1H_CPA6","Ex_SATB2_SOX6","Ex_DACH2_SLIT2","Ex_CACNA1H_PROX1","Ex_SATB2_OVOA","Ex_Pre_SATB2","Ex_DACH2_LUZP2","Ex_DACH2_GRIK4","Ex_DACH2_ITGA9","Ex_DACH2_MGAT4C","Ex_SATB2_ZNF385B","Ex_DACH2_ZMAT4","Ex_DACH2_LHX2","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_DACH2_TAC1","Ex_KIAA1217"
"Glut-CACNA1H-1",0.734636909936278,0.00167544246508161,0.000543951236482268,0.000450324123620354,0.0530375337709703,0.000441204315505521,0.000448761460845853,0.000513131208760656,0.0019609767096345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.395766852771827,0.0157628237145675,0.00680462019226154,0,0.0975044984449203,0.000260486314042332,0.00035598858977884,0.0463054656036419,0.00503658631672936,0.00240669509279212,0.00266892919357989,0.00147138886736511,0.000415851262083333,0.0049687019469402,0.00191327397333294,0.000367613570415167,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.457142158404021,0.0113133280870545,0,0,0.154049873405978,0.00412664448533677,0.000908966305198598,0.00268475245244047,0.00555985436110653,0,0,0.00347535593547291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.677180469002801,0,0,0,0.00436082456835194,0,0,0,0.00145738648093763,0,0,0,0.0504225623202897,0,0,0,0.00240079538867371,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.712111492786216,0.00151852004531273,0,0,0.0444153887312478,0.000772890866595694,0,0,0,0,0,0,0,0,0,0.000322926610264441,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.00200321647551699,0.00150078067705832,0,0,0.0184537486165786,0,0,0.111909549584261,0,0,0.00321118236358204,0.00462434553769215,0,0.00630156135013629,0.000501369046146677,0.00722071401953505,0.113230381680685,0.0114038135405983,0.280301649160845,0.000392717332566214,0.000799959902286375,0.0101590251111258,0,0,0,0
"Glut-DACH2-2",0,0.000924186107207583,0,0,0,0.023001477197065,0.000300028680567283,0,0.0775469994504233,0,0,0.000926809521292643,0,0,0.00807325284718267,0,0.0203023549566516,0.0342208671230872,0.00147336511239656,0.231758764136333,0.000586908018835734,0,0.0308651225709015,0,0,0,0
"Glut-DACH2-3",0,0.000921625384081928,0.00433124473706943,0,0,0,0.00075890861123781,0,0.00874484139362745,0,0,0,0.569512052396532,0,0,0.000462036206882128,0.000339353671898042,0.00145689958316132,0.00516649804504558,0,0,0.0966523306841698,0.000948445212801849,0.0353446993277936,0,0,0
"Glut-DACH2-4",0,0,0,0.0270662438801235,0,0,0,0,0.0400576920508612,0,0,0.0295835865320737,0.081511930401022,0,0.000830948400698013,0,0,0.00211012840494608,0.176380905371822,0.00238868088706111,0,0.0833012135816786,0,0,0.01820541633633,0,0
"Glut-DACH2-5",0,0.000691631441087022,0,0,0,0.185181365702909,0.000502253126447039,0,0.0323452832953869,0,0,0.000962985348048695,0,0,0.00323660286734696,0,0.00140185236546791,0.0174314637376715,0.00176062769305636,0.166204767526034,0,0,0.0338959319268325,0,0,0,0
"Glut-DACH2-6",0,0,0,0.00156666679075807,0,0.000411261449612745,0,0,0.000712984784752249,0,0,0.00282974744917747,0.00101615644589203,0,0,0,0,0.000432191943581051,0.0172705308885227,0,0,0.144963187519123,0,0.572001794191789,0.000906503826059376,0,0
"Glut-DACH2-7",0,0,0,0.0002969397210002,0,0.0252305796698069,0,0,0.0507343591906838,0.00145517750855314,0,0.00936335136808527,0.00126460351351208,0,0.0056776119815811,0,0.00031533385619632,0.0645265005486987,0.0350540333830847,0.237890820314935,0,0.0104172567338273,0,0.00310704323821383,0.000338913928740405,0.000229275243927018,0
"Glut-DACH2-8",0,0.000610842571175449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000747656425335348,0.000639907070460797,0,0,0.571315392788598,0,0.109505218731528,0,0,0.00153502476429879
"Glut-DACH2-HVCra",0,0.00719869640694724,0,0.000807346537690012,0,0,0.000371246777373593,0,0.00179533617083116,0,0,0.351447752680707,0,0,0.0121949739429746,0,0.000459087100879137,0.106153149774161,0.000577161817397978,0.00478370915053012,0.00234314544904875,0,0,0,0.000382919459823322,0,0
"Glut-DACH2-HVCra-Pre",0,0.00122025676429057,0,0,0,0.00528491012646343,0,0,0.0265671570436556,0,0,0.0952422658659084,0,0,0.00796333505193406,0,0.0211284210332906,0.118045375759756,0.00707562325409308,0.140007915543728,0,0.000280695788844116,0.00219843512932656,0,0.000517536246706954,0,0.00075513422355368
"Glut-DACH2-HVCx",0,0.0112112015876314,0,0.334024141795552,0,0,0,0,0,0.000933416701835546,0,0.038493399008129,0.00176037307589344,0,0,0,0,0,0.00718808102249828,0,0,0,0,0.0012643440915612,0.0768940890244356,0,0.0303019192817456
"Glut-DACH2-LMANco",0,0.025121374001352,0,0,0,0,0.00266913025670326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248762488706823,0,0.287136098569437,0,0,0.00233644640759424
"Glut-DACH2-LMANsh",0,0.000316489071934854,0,0,0,0.293088685167587,0.00304633369203517,0,0.0115529509254868,0,0,0.0032114841214626,0,0,0.00929448163149677,0,0.000647030247349411,0.0180642734711089,0.00358842742225347,0.0299901081467884,0.000586178074788958,0.0217332546534913,0.0135325294341225,0.00100365310563605,0.00595657521486507,0,0
