"","Glut-Arco-1","Glut-NC-2","Glut-NR-4","Glut-NC-1","Glut-NR-5","Glut-Arco-5","Glut-NC-3","Glut-Arco-2","Glut-HVC-2","Glut-NR-2","Glut-HVC-1a","Glut-NR-3","Glut-LMAN-1","Glut-NC-4","Glut-Arco-4","Glut-NR-1","Glut-Arco-3"
"Ex_BCL6",0.000554716123395121,0.00552729079377799,0.000335583233539969,0.0390686249335767,0.0692718746834144,0.00479795806991238,0.256742782696288,0.0331022314642295,0.00044638616178947,0.00468994123197185,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.00467731150706193,0,0,0.00208788027149298,0.00874640748952173,0.00314041458172947,0,0.598834476634168,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00484513937018304,0.000777904719958474,0,0.00142937047622094,0.0242547847643909,0.0283894145378797,0,0.513274391872044,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0877858491805179,0,0,0.00540018268188177,0.0045550478772771,0.134342668975764,0.00176169168533366,0.263149763865936,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.022387825585604,0.00207008927581259,0,0.0558040093793064,0.0218572898962896,0.017958537314159,0.06949717611036,0.199529954032235,0,0.00057215295600648,0.000524247285058903,0.00149232267742068,0,0,0,0,0
"Ex_CACNA1H_PROX1",0.000946590788662348,0.00133807821528949,0,0.0243779319470376,0.0089541368209411,0.0234960240155905,0.0196231454746631,0.404234473643,0,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0209387627609586,0.0114716916030431,0.257411075382425,0.00235553691500412,0,0.0376158987074328,0,0,0.00916595183761006,0.000520725913303518,0.0120176266918561,0.000243569306481962,0.00136621346776804,0.000332770681435913,0.00202163310607296,0
"Ex_DACH2_CEMIP",0.000567222808116961,0.00245926414139933,0.0458849088994819,0.0070484682117214,0,0,0.354661544016084,0,0,0.0404790003329557,0.00040996433923594,0.000341026293715739,0,0.000704985625565969,0,0,0
"Ex_DACH2_GRIK4",0.000269332756342509,0.017608084412888,0.000265559343405941,0.423630211976633,0.0165403448008312,0.0039673545323865,0.00325620773643401,0.00154950830341754,0,0.000306982309361251,0.00132268267939,0.00159349066595478,0,0,0,0.000839082424194462,0
"Ex_DACH2_ITGA9",0.00236024554829533,0.0083599992295535,0.0267267771298044,0.121517778778997,0.00942766364475844,0,0.166953550052585,0.00021587537539744,0,0.016656479192111,0.000492885687951001,0.00495796854481195,0,0.0106389086612786,0,0.00024351868171437,0.000225402015351466
"Ex_DACH2_LHX2",0,0.0139195255195237,0,0.422048932461193,0.00465290343233857,0,0.0142044986639591,0.00190932356505891,0,0,0.000977699653553908,0.000586050826685096,0,0,0,0.00101250323618739,0
"Ex_DACH2_LUZP2",0,0.00921759999349738,0,0.32125228099084,0.0047640562829089,0.0283907208571191,0.023669536232761,0.0281355536114934,0,0,0.000633919370736864,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.0168454032817456,0.000750735216262446,0.452516105920783,0.00585970537118576,0.000403988938857978,0.00434966214902531,0.000638901216960643,0,0,0.00157280898601728,0.00211307344492061,0,0,0,0.000843129034932918,0
"Ex_DACH2_NR4A3",0,0.00578593722426465,0.000274884244064767,0.513146753544912,0.00227133498747522,0.00174885632204416,0.0111729794310688,0,0,0.00273946959364645,0,0.00351847177383173,0,0.000706910991167293,0,0.000879990311003353,0
"Ex_DACH2_RORB",0,0.0140586144519115,0.00941297570697093,0.000368911549196068,0.0284115676439406,0,0.398944630609744,0,0,0,0,0,0,0,0,0.000332473089796691,0
"Ex_DACH2_SLIT2",0,0.00280158824207246,0,0.0696478567972157,0.000865639970449484,0.011276864003556,0.433166328789117,0.00976382078435855,0,0.000444596388223876,0,0.000331933714097978,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.000825918178745517,0.0828177405542975,0.00410735535691015,0.0316227480037066,0,0.27451562749214,0,0,0.00896920295045297,0,0.000903992399023469,0,0,0.000329128798143596,0.000315995945020928,0
"Ex_DACH2_ZMAT4",0,0.00057321449098404,0.142662978650077,0.00503320180120686,0.00141340808216872,0,0.260457615100522,0,0,0.0113375186654446,0,0,0,0.000254262462972152,0,0,0.000359257873919019
"Ex_KIAA1217",0.000392272777412144,0,0,0,0.691505873204873,0,0,0.00103052922922472,0,0,0,0,0,0.00369489647784491,0,0,0
"Ex_KIAA1217_BCL6",0.00540209537263319,0.00108304085861428,0,0.00155112408878743,0.446672072117559,0.000979050231046082,0.00312279711165752,0.0273956840974041,0.0005791145940817,0.00123163663617739,0,0,0,0.0322393156399621,0,0,0
"Ex_Pre_KCNH7",0,0.0654007011301082,0.00659503953324045,0.061752279968612,0.144168029963317,0.00523213158317632,0.0258831847618042,0.0137628641770216,0,0.00020687694403393,0.00045342678821434,0,0,0,0.00219959919724522,0.0010980825117231,0.000183458254722353
"Ex_Pre_SATB2",0,0.0211785504683205,0,0.0167837508720407,0.456142889485124,0.00270783998363935,0.00663074254207995,0.0143609711152699,0,0,0,0,0,0,0.000994225419472561,0,0
"Ex_SATB2_FOXP2",0.000288240233529962,0.00202299460583293,0,0.00279609124971775,0.704669766054112,0.000387521777023098,0,0,0,0,0,0,0,0.00412103984378032,0,0,0
"Ex_SATB2_OVOA",0,0.00759945803044701,0.000287592320236721,0.22048331561628,0.208625070607973,0,0.00766984793928466,0.000756808107990511,0,0.000321457950789128,0.00242332379131816,0.00273042103595032,0,0.000633051902103982,0.000433106739180302,0.000346889671070264,0
"Ex_SATB2_SOX6",0,0.000698469447370445,0,0.00335045756969342,0.755226284838883,0,0,0,0,0,0,0,0,0.00360010739878579,0,0,0
"Ex_SATB2_ZNF385B",0,0,0,0,0.870793777014223,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.29617963531006,0.00192130350845162,0,0.0039368452771773,0.0486956690914264,0.00461843810514015,0.00222230986439653,0.047296126218505,0,0,0,0,0,0.00693937657068049,0,0,0.00454605307208584
