"","Astrocytes","Ex_CACNA1H_PROX1","Ex_DACH2_ADAMTS5","Vascular","Ex_DACH2_LUZP2","Microglia","Oligodendrocytes","Ex_BCL6","Ex_SATB2_OVOA","Inh_LGE_like_FOXP1_DGKH","Inh_LGE_like_FOXP2","Ex_DACH2_NR4A3","Inh_LGE_like_FOXP1_SGCG","Ex_DACH2_SLIT2","Inh_OB_CPA6","Inh_LGE_like_Pre","Ex_Pre_KCNH7","Ex_SATB2_SOX6","OPCs","Inh_MGE_like_SST_SLC24A2","Inh_MGE_like_ST18","Inh_MGE_like_SST_PVALB","Inh_MGE_like_SST_ABI3BP","Ex_DACH2_LHX2","Inh_MGE_like_ST18_PVALB","Inh_MGE_like_ANO1","Inh_CGE_like_MAN1A1","Inh_CGE_like_CACNA1B","Inh_CGE_like_CACNA2D3","Ex_DACH2_MGAT4C","Ex_DACH2_GRIK4","Inh_MGE_like_LHX8","Ex_CACNA1H_KIT","Ex_DACH2_CEMIP","Ex_SATB2_ZNF385B","Ex_CACNA1H_LHX9","Ex_CACNA1H_MCTP2","Ex_TSHZ2_NR4A2","Ex_CACNA1H_CPA6","Ex_KIAA1217_BCL6","Ex_DACH2_ITGA9","Ex_KIAA1217","Ex_SATB2_FOXP2","Ex_Pre_SATB2","Ex_DACH2_TAC1","Ex_DACH2_ZMAT4","Ex_TCF7L2","Ex_DACH2_RORB","Inh_OB_FGFRL1","COPs+NFOLs"
"GABA-4-2",0,0,0,0,0,0.00133307149141682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000892662804946395,0.331611550217073,0,0,0.412828066694738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-5-1",0,0,0,0.00557820723697567,0,0.00267504503988093,0,0,0,0,0,0,0,0,0,0,0,0.00119906716088209,0.00273654804161881,0,0,0,0,0,0,0,0.811786696943744,0.0072034875722504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-5-2",0,0,0,0.00229823993011544,0,0.00372597509982863,0,0,0,0,0,0,0,0,0.000959697941758375,0,0,0,0.00309903348924639,0,0,0,0,0,0,0,0.290364650104337,0.504431352986471,0.000736477672876191,0.000907129278026051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-6",0,0,0,0,0,0.00234004911903056,0.00104024037599497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98771487241666,0,0,0,0,0.00154562384779937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972906773965972,0,0.0053804792209452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167829747042025,0,0,0,0,0.00272667725404992,0.0020839353980858,0,0,0,0,0,0.00185440551836858,0,0,0,0,0.818883201736958,0.00209533262728174,0.00168521007710688,0.000628610225581203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-Pre",0,0.00178912488221668,0,0.00396181466345618,0,0.0141122273992414,0,0,0,0.00186300001618704,0.0172170373145359,0,0.00360886192975685,0.00648896879976806,0.0116552437730308,0.0643214482133319,0,0,0.0112963958362038,0.236628092480455,0.18073946902205,0.158289226054273,0.0379553565715736,0,0.00283669663585524,0,0.00867809874754918,0,0,0.00191050294013202,0.00295230256662991,0.00135882386971204,0,0,0,0.0015367399118449,0.00103049464726752,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-1",0,0.000500360249536191,0,0,0,0,0,0.000431182743905268,0.000893921990014739,0,0,0.00447278095236843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181219277092461,0,0,0.194723632454108,0.00322352659630007,0.0495529208329851,0.0381917890254099,0.00845777318388688,0.00404490253196152,0.000742716581715949,0,0,0,0,0,0,0,0
"Glut-Arco-2",0,0.0354762668974701,0,0.000985830734045268,0.000995011625350931,0,0,0.00316698052905339,0,0,0,0.00535228794160453,0,0,0.000459726691022298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39634161219959,0,0,0.0249930016443049,0.031181033018751,0.00502743770015062,0.00937217089981842,0.0106887823419465,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0,0.00362442096522913,0.000842130340389565,0.0016252468619426,0,0,0,0.000990925652134847,0.00100075652059811,0,0,0.0049136567743131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209369021686983,0,0,0.134926860385004,0.0103329750118852,0.03964884995803,0.0373526440593642,0.00504256302159393,0.00398404713188455,0.000414531828182211,0.000737375850372486,0,0,0,0,0,0,0
