"","Ex_SATB2_OVOA","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_CACNA1H_KIT","Ex_DACH2_RORB","Ex_CACNA1H_MCTP2","Ex_DACH2_NR4A3","Ex_BCL6","Ex_CACNA1H_CPA6","Ex_DACH2_SLIT2","Ex_CACNA1H_PROX1","Ex_Pre_KCNH7","Ex_SATB2_SOX6","Ex_DACH2_ZMAT4","Ex_Pre_SATB2","Ex_DACH2_LUZP2","Ex_DACH2_LHX2","Ex_KIAA1217_BCL6","Ex_DACH2_ITGA9","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_SATB2_FOXP2","Ex_SATB2_ZNF385B","Ex_DACH2_MGAT4C","Ex_DACH2_CEMIP","Ex_KIAA1217","Ex_DACH2_TAC1"
"Glut-Arco-1",0.000700133198390946,0.0631468153666566,0.65582537766805,0.000396171232209069,0.000477920574068713,0.000567173990829046,0.00424918067451066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.000527831987828735,0.0760518349501216,0.372494666161444,0.048631331748789,0.000427067008574607,0.0145980780163969,0.0111091368597994,0.00585364882109469,0.00560774329650923,0.000979535851831805,0.00134391243541964,0.00086520656991898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0,0.163169914070641,0.41440169101278,0.00474768088791469,0.00340982186446145,0,0.0143567767266164,0,0,0,0,0.00141834222470742,0.000716935354280676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0.164550859127217,0.19434773330434,0.078191554771437,0.00251169005951452,0.0023099022124011,0,0.00239308859359626,0.00107285302114944,0,0,0,0.0044891090923763,0.00446255349943928,0.0236057505435808,0.0058433265322475,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-5",0,0.00366611806750714,0.615621340235849,0,0,0,0.00187348434994923,0,0,0.0806596691960339,0,0,0,0,0,0.00191699114126633,0,0,0,0,0,0,0,0,0,0,0
"Glut-HVC-1",0.00735354650934625,0,0,0,0,0,0.00467576384556967,0,0,0.000189481069615065,0,0.00191246311931587,0.109283551877725,0.00103712141344398,0,0.000595351603100542,0.00027708883912085,0.00933828507167172,0.00392268653270786,0.00417193835934648,0.0878020456332044,0.00189020234982398,0.00200796738865173,0.160089597820259,0.000272902070080154,0,0
"Glut-HVC-1a",0.00135533475554787,0,0,0,0,0,0.0370403016973355,0,0,0,0,0.000325989451286683,0.0210638129590484,0,0,0.0036084771576115,0.00173827591564021,0.000726288043235193,0.0207817427856753,0.0194070322269525,0.107200468101077,0.000474100640615964,0,0.245441188842755,0.000392368228812765,0,0
"Glut-HVC-2",0,0,0,0,0,0,0,0,0,0.00166177600746161,0,0,0.018493172450611,0.00589371787145723,0,0,0,0.627393400433349,0.00371177589116144,0,0.000822440579142246,0,0,0.000773166452289596,0,0.0144390567077887,0
"Glut-LMAN-1",0.00219633382691808,0,0,0,0.000289181677352525,0,0.00727705749638438,0,0,0,0,0,0.000401628012046977,0.0181062244932826,0,0,0.0262084140663402,0,0.00511226226946143,0.397198086750386,0.0072515457350844,0,0,0.026701144088243,0,0,0
"Glut-LMAN-2",0,0,0,0,0.00892587216700111,0,0,0,0,0,0,0.00495079976929724,0,0.319998176545828,0,0,0,0,0,0,0,0,0,0,0.236186845369059,0,0
"Glut-NC-1",0.000833311292872149,0,0,0,0,0,0.105905301616414,0,0,0.00608629331230671,0,0,0.0010740776447907,0.000483241058016724,0,0.00302697285217921,0.0102593410264325,0,0.00893360073531903,0.0191413554844853,0.1368852193912,0,0,0.283516662363179,0,0,0
"Glut-NC-2",0.00165978095439646,0,0,0,0.000339342309539112,0,0.0743371114328008,0,0,0,0,0,0,0,0,0.0116806740353167,0.0293548423055688,0,0.00340551110490447,0.0327044245373512,0.0443536352211822,0,0,0.240672323861453,0,0,0
"Glut-NC-3",0,0,0,0,0.000691968787098258,0.000513527325976543,0.0113152438897949,0,0,0.557214976572466,0.00086242283586293,0.00037127941733146,0,0.134030236303923,0,0,0,0,0.00186985904159472,0,0.00262357057095077,0,0,0.000530968079345165,0.0134250417416013,0,0
"Glut-NC-4",0.00165038572189224,0,0.00113934843327867,0,0,0,0.0567207413730676,0.0012642816716679,0,0.108478561557708,0,0,0.011574475904394,0.104349172072138,0,0,0,0.0588191991939576,0.137551474868661,0,0.00555197000869245,0,0,0,0,0.00192168107396947,0
"Glut-NR-1",0.00152685154308151,0,0,0,0,0,0.032945315479675,0,0,0,0,0.000514611095664485,0.000368263917553796,0,0,0,0.0237379459000725,0,0.000377959350895183,0.185134811444174,0.0210254966615809,0,0,0.179385940993272,0,0,0
"Glut-NR-2",0,0,0,0,0,0,0.0019177495368935,0,0,0.000556742732344861,0,0,0.00091411611811248,0.137405606513555,0,0,0,0.00856570287687678,0.00992520792716325,0,0,0,0,0,0.585555959959983,0,0.000479692439489512
