"","Glut-NR-5","Glut-Arco-2","Glut-NC-1","Glut-Arco-5","Glut-NC-3","Glut-NC-2","Glut-Arco-1","Glut-HVC-1"
"Ex_BCL6",0.0175496840242491,0.0223902596912677,0.0587053529566737,0.00594581521402203,0.362684093587155,0.000374434390764115,0,0
"Ex_CACNA1H_CPA6",0.00388358717101492,0.669043094714766,0.00160753019562577,0,0.000954050526207809,0,0,0
"Ex_CACNA1H_KIT",0.0164800512014958,0.574646908856877,0.00990489577752717,0.00843337207997653,0.00161939336272961,0.00502498206672285,0.000593930887036133,0
"Ex_CACNA1H_LHX9",0.00208474808283689,0.468477080008711,0.0123189681623097,0.0185909164765584,0.000710200941516008,0,0.038932453130152,0
"Ex_CACNA1H_MCTP2",0.00930054106788472,0.207972649042123,0.107437851734522,0.0368687237875636,0.0124638079549055,0.0539245770684985,0,0
"Ex_CACNA1H_PROX1",0,0.580555586163697,0.0235525524590877,0.00471986766496294,0.0035118426176991,0.00706562362464148,0,0
"Ex_DACH2_ADAMTS5",0.00750043414941397,0.00100750180050028,0.338612634291691,0,0.0771841699602004,0.00322690842342649,0,0
"Ex_DACH2_CEMIP",0,0.000629296594262041,0.03509663143354,0,0.537210238164467,0,0,0
"Ex_DACH2_GRIK4",0.000404215994598491,0.00211059741564288,0.575530579917308,0.000498933638105422,0.000915453115426505,0.00261245257047757,0,0
"Ex_DACH2_ITGA9",0.016007703583363,0,0.241946254418843,0.000313073873170946,0.202734288988915,0.00261493147227456,0,0
"Ex_DACH2_LHX2",0.00512197422672624,0.0285823143517489,0.331442469635326,0,0.0163276782122088,0.0698651956734109,0,0.000267227346496902
"Ex_DACH2_LUZP2",0.00241495792964801,0.128249807338624,0.34535428051403,0.00377067070871009,0.0272692619895187,0.000377011393966886,0,0
"Ex_DACH2_MGAT4C",0.0188583908867028,0.00372443392617247,0.538418713475178,0,0.00305348962372476,0,0,0
"Ex_DACH2_NR4A3",0.0139097890188333,0.0049306814616658,0.514512006495461,0,0.0119569195815127,0.00207099324054771,0,0
"Ex_DACH2_RORB",0.0112692117383796,0,0.0190739622864603,0,0.464720648353691,0,0,0
"Ex_DACH2_SLIT2",0,0.0108028649316575,0.105248052679294,0.024074618325307,0.434441909744665,0.00155589765905954,0,0
"Ex_DACH2_TAC1",0.195303639834629,0.00249272303291295,0.00210865677184029,0,0.276078472188467,0.000380074990084985,0,0
"Ex_DACH2_ZMAT4",0.00203393741691914,0,0.0203047541301916,0,0.494616564722905,0,0,0
"Ex_KIAA1217",0.521719527498375,0.00304573753594988,0.0010161456459182,0.00397321971293319,0.0118549403746496,0,0,0
"Ex_KIAA1217_BCL6",0.521884189925923,0.0134359349312471,0.00401901128962667,0.00395579758250312,0.01025540011475,0,0,0
"Ex_Pre_KCNH7",0.0166388844689486,0.00338982007426603,0.381095161474729,0.0011589561109542,0.0414216098575922,0,0,0
"Ex_Pre_SATB2",0.255770430591385,0.0067155681465818,0.190318986683009,0.0031802671308843,0.00937203069800132,0.00106536263321128,0,0
"Ex_SATB2_FOXP2",0.729429251083457,0,0.0125691256663043,0,0,0,0,0
"Ex_SATB2_OVOA",0.342922463135502,0.00511492094718339,0.151897466806454,0,0.00695018639561208,0,0,0
"Ex_SATB2_SOX6",0.739595968867125,0,0.00591295255169868,0,0,0,0,0
"Ex_SATB2_ZNF385B",0.833829519920238,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.0340223539002346,0.0621814554590718,0.0957004663883471,0,0.00333658386042069,0.0154954650909659,0.131971188114665,0
