"","Glut-DACH2-LMANsh","Glut-DACH2-6","Glut-DACH2-LMANco","Glut-Im","Oligo-2","Glut-DACH2-HVCra-Pre","Glut-SATB2-1","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-DACH2-2","Glut-CACNA1H-2","GABA-8","Glut-CACNA1H-1","Glut-NB","Glut-CACNA1H-3","Glut-CACNA1H-4","OPC","Glut-CACNA1H-RA","GABA-7","Glut-DACH2-3","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-HVCx","GABA-2-1","Astro-3","Astro-1","GABA-4-1","Glut-GABA","GABA-Im","GABA-1-1","GABA-2-2","GABA-6","Glut-NSC","GABA-5-2","GABA-5-1","Oligo-1","GABA-3","GABA-4-2","Epen","GABA-1-2","GABA-2-3","Astro-2","Endo","Oligo-3","Micro"
"0340 MEA-BST Sox6 Gaba_4",0,0.00270252965136301,0,0.0124390957791347,0.00145857031667628,0.00551716744819627,0,0.0829244103136505,0,0.00104945331827097,0.00487646979525229,0.000913983814415819,0.00411832689538766,0,0,0,0.00132682287604329,0.00623638522213064,0,0,0.0274772700923149,0.0943500765670709,0.013635729298536,0,0,0,0,0,0,0.00375095471158057,0.00300687065944793,0.0234282370997577,0.000932692658047698,0,0,0.00113462590537645,0,0,0.0199947105482105,0.00286029473450358,0,0.0137300720918911,0,0,0,0,0
"0341 MEA-BST Sox6 Gaba_5",0.000981077320649684,0,0.00734587164329186,0.00165629102856127,0,0.00623153246742928,0,0.0185155616742594,0,0,0.00745174061544387,0.0147256029961526,0.013684275235342,0.000995819687624024,0.00525191448657486,0.0020010485092398,0.0111811764316441,0.0113319886084491,0,0,0.00759137715641506,0.0483557128299693,0.0193750692984233,0,0,0.00398401372227826,0,0,0.000714915406912269,0.00501725985357476,0.00916138135881741,0.0297786728570728,0.00467544963219818,0,0,0.000784561217189793,0.00415886603903334,0,0.000873772799025374,0.000565714801341619,0.00392764783205786,0.0376193045481356,0,0,0,0,0
"0342 MEA-BST Sox6 Gaba_6",0,0,0.00152190568246884,0.0352734432376314,0,0.00102643255394941,0,0.0941777934785065,0.000978752631973713,0.001360611978154,0,0.00522957134977678,0.00274791615890905,0,0,0,0,0.00096530071389542,0,0,0.0165880802613563,0.128495207673354,0.0174557653939916,0.000966285260657483,0,0,0,0,0,0.00668552075944672,0.00240738702423234,0.0180983538666225,0,0,0,0.0117129389831987,0,0,0,0.00256847482332319,0,0.0151055875964655,0,0,0,0,0
"0343 MEA-BST Sox6 Gaba_7",0,0,0,0.00140276191447719,0,0,0.000700535143041313,0.0256604473351594,0,0.00224985739112783,0,0.00131703189803751,0,0,0,0,0,0.00233808726652562,0,0,0.000891886234325835,0.266282966522626,0.0066223420946934,0.0107657357610454,0,0,0,0,0,0.00197232853599999,0,0.0105676128132679,0,0,0,0.00675161915872528,0.000864852706064015,0,0,0,0.000712963181031231,0.0792005520891348,0,0,0,0,0
"0344 MEA-BST Sox6 Gaba_8",0,0,0,0.00689872677931982,0,0.0010649568851966,0,0.0726980155123764,0,0,0.00115637973316595,0,0,0,0.00566893095905938,0,0.0115135491032671,0.00300156136149802,0,0,0.0730489182827951,0.0905843746134604,0.00571988948180465,0.00411083902627082,0,0,0,0,0,0.00772518752121617,0.00241632854997391,0.00546844859981413,0.00181198610189999,0,0,0.0528230134020403,0,0,0,0,0,0.00532286146975298,0,0,0,0,0
"0345 MEA-BST Sox6 Gaba_9",0,0,0.00121726460399907,0.00595254199955647,0,0,0,0.00160388791725892,0,0,0.00306430667452656,0,0,0,0,0.00377197068564851,0.000576718355940743,0,0,0.00389945522719872,0.137391850400155,0.012662021526498,0.00215686264520333,0,0,0,0,0,0.0222732522478726,0.00181233091081263,0.00101688996896734,0.00829448324535637,0,0.0171611701492428,0,0.10220330752946,0.0117657593571947,0,0.00470961210398208,0.0146923118893983,0,0.00154063371669911,0,0,0,0,0
"0346 MEA-BST Sox6 Gaba_10",0.00186962701746629,0,0.0109414264629032,0.136593425084509,0.00114340843416885,0,0,0,0,0,0.0026883781196469,0,0,0,0,0.00687095466953332,0,0,0,0.00467241859208289,0.0107313977028857,0.00904160847413664,0,0,0,0.000740673220275571,0,0,0.00165612159255835,0,0.00130844816482308,0,0,0.00103292935252144,0,0.0689486901339715,0.0698836597806918,0,0,0.0141356590357599,0,0.00222141327392884,0,0,0,0,0
"0347 MEA-BST Lhx6 Sp9 Gaba_1",0,0,0,0,0,0.000554917807872048,0,0.0130996718356244,0,0.0103639945742994,0,0,0.0268012448987346,0,0,0,0.000859714547247829,0.00282530188498019,0,0,0.071898897456002,0.0449070496356625,0.0181432623148325,0.0133714995704227,0.00629253793961369,0,0,0,0,0.00542346811988161,0,0.0256070024708743,0,0,0,0.00088559462348608,0,0,0.000917160772104388,0,0.0205754451411081,0.0649057710945878,0,0,0,0,0
"0348 MEA-BST Lhx6 Sp9 Gaba_2",0,0.000751345010424333,0,0.000911804713404747,0.00503401222127566,0.000609080283930247,0,0.000543715633666903,0,0.0444453945074737,0,0,0.0179229526638222,0,0,0.00417247427813455,0.00127797045298579,0,0.000950303453944667,0,0.00519638373505403,0.0366092369440517,0.00817642202202399,0.00105478273938642,0.0751666240940255,0,0,0,0,0.00128277674323235,0.00242482537137808,0.014816047830057,0.00216792646076108,0,0.0155761677328029,0.00150279533164892,0.00067326017814054,0,0,0,0.00839497150282439,0.0816992528264856,0,0,0.00212158673694113,0,0
"0349 MEA-BST Lhx6 Sp9 Gaba_3",0,0,0.00216002095118272,0,0.00104336981110429,0.0107921504914229,0,0,0,0.00101380343450537,0,0,0.0335061508510862,0.00817011848208801,0,0,0,0,0.00358855205101312,0,0.210606303916711,0.000942965149728217,0,0,0,0.00593634932426631,0,0,0,0.00325368641706936,0.0343738496264585,0.012187507273356,0.000860645879991377,0,0,0.00900314670373019,0,0,0,0.0146745630120685,0,0.00484652103666335,0,0,0,0,0
"0350 MEA-BST Lhx6 Sp9 Gaba_4",0,0.00095131091789023,0,0.00153458148550487,0,0.0173583538924683,0,0.00937189721354016,0,0.00926651355830488,0,0.00103684874940151,0.0212572974137103,0.0014387373348292,0.00533170149320347,0,0.00419933995481514,0,0,0,0.0768948294793011,0.00496845406573389,0.0158934812341748,0.00597551078248525,0.000603624006512814,0,0,0,0,0.014096619908596,0.00213438533769208,0.0293615945724448,0,0,0,0,0,0,0.00408455590696234,0.00804937360247373,0,0.0766141622756682,0,0,0,0,0
"0351 MEA-BST Lhx6 Sp9 Gaba_5",0.0025269204092714,0,0.00136738222338568,0.000977982547730048,0,0.0710541382679408,0,0.000972042260502019,0.00119126235122969,0.0406427498484927,0,0.00261906447757216,0.0236414258424943,0,0.000770266905433747,0.00228517427181499,0.00223357849167099,0,0,0,0.0310715485882763,0.00056844955351826,0.00525544640676811,0,0.00104258704432203,0.00240408956459729,0,0,0,0.0140315350643839,0.00945979549482224,0.00632330266199222,0.000968758186185094,0,0,0.000990244880947532,0,0,0.00583567426439428,0,0,0.113324122765694,0,0,0,0,0
"0352 MEA-BST Lhx6 Sp9 Gaba_6",0.0132085024354488,0,0.00172071765140405,0.00147646711037254,0.00105485053684261,0.00332248259015846,0,0.00205098966334623,0,0.0149861472188926,0.00734629446152661,0.00224735249222695,0.0156375900423116,0,0.00236039581892732,0,0,0.00302424144725182,0,0,0.0846510432101584,0.0362416702050244,0.029032818969562,0.000802939030724644,0,0,0,0,0,0.000624189106658198,0.00403572241040178,0.0180509904067666,0,0,0.00486238088908143,0.00260223362721703,0.00159342873528557,0,0.00100112195766374,0,0.00109438531437355,0.0863235615828342,0,0,0,0,0
"0353 MEA-BST Lhx6 Sp9 Gaba_7",0.00249804982137686,0.00123452327107621,0,0.00375916076246319,0.00443154114907922,0.00630330497280533,0.000720559593782104,0.00263183945244204,0.000740010235249359,0.00418591317170248,0.0106459276663282,0.00232370706439885,0.0260000332813276,0.000941608834904801,0.0044721194668473,0,0.00875180229774591,0.00881602087860169,0,0,0.000875232335539841,0.0626330202497702,0.00869281085043247,0,0.00262231031802641,0.00115265197087972,0,0,0,0,0.00385973420088681,0.00769912390121002,0,0,0.00289395516248374,0.0025365740955895,0.00807254645484495,0,0.00105140155770981,0.000908368558309325,0,0.15477271590008,0.000683583850679598,0,0,0,0
"0354 MEA-BST Lhx6 Nr2e1 Gaba_1",0.0131534201032182,0.00132895480258377,0,0,0,0.00371269945989077,0,0.00130800751939429,0.000810085865978908,0.158429178032734,0.00152971865297343,0.000679896477885717,0.00822533362073567,0,0.000892351437516557,0,0,0,0,0,0.147385854300981,0.00382191145684156,0.0163234507147755,0.000611944207330155,0.0058885888849419,0.00285501824697636,0,0,0,0,0.017909610418433,0,0.00241367296600079,0,0,0.00189650948865344,0.00100154385532379,0,0,0.000928241866387214,0,0.0125575895342175,0,0,0,0,0
"0355 MEA-BST Lhx6 Nr2e1 Gaba_2",0.00828882364650601,0.00157948097806283,0.00285426722818082,0,0,0.0079934652629212,0,0,0,0.0172661744045821,0.00501362061073318,0.000909030317395012,0.00724019791739115,0,0,0,0,0,0,0,0.0283472324369466,0.011352960671428,0.0781283082111345,0,0.00717703422426807,0.0136414666084009,0,0,0.00168701442660852,0.00308723143311961,0.065776883064068,0,0.0323137935474647,0,0.00449287675260157,0.00387043333032328,0.0127633330246394,0,0,0,0,0.0124820333896088,0,0,0.000785985715614729,0,0
"0356 MEA-BST Lhx6 Nr2e1 Gaba_3",0.0327499441347637,0.00229137521593168,0,0,0,0,0.000991777285390715,0,0,0,0.00651128301256981,0,0,0,0,0,0,0,0,0,0.0288206271908239,0.00112578438281401,0.00861962139921619,0,0.00391785797453568,0.0343991664508993,0,0,0,0.00222583095698297,0.018162313805682,0.00162000414696159,0.254235017092413,0,0,0,0,0,0.0111877774375681,0,0,0.0025184705649061,0,0,0,0,0
"0357 MEA-BST Lhx6 Nfib Gaba_1",0,0.00201680537883906,0,0,0.00354262938279536,0,0,0,0,0.0403468284127013,0,0,0.0413652866663848,0,0.00108958560388466,0,0,0,0,0,0.0133716119358782,0.0171336601564949,0.0102552399981458,0,0.0594843318484568,0,0,0,0,0,0.0061162166836359,0.00101678247360546,0.00916365553530817,0,0.0150262931841425,0,0,0,0,0,0.114205889448094,0.0162480136243044,0,0,0,0,0
"0358 MEA-BST Lhx6 Nfib Gaba_2",0,0,0,0,0,0,0.00111803936432288,0,0,0,0,0,0.112008399272322,0,0,0,0,0,0,0,0.0421084795447795,0,0.121746144222557,0,0,0,0,0,0,0,0.0049070071807738,0,0.0133574441396656,0.00123973426243479,0.00107221907941743,0,0.00537162481323372,0,0.00273807690966029,0,0.0921525477972265,0.000725336411357333,0,0,0,0,0
"0359 MEA-BST Lhx6 Nfib Gaba_3",0,0,0,0,0,0.000770196779586077,0,0,0.00159705976376182,0.0391056911515064,0,0,0.0934394605291871,0,0,0,0.00379518193622192,0,0,0,0.023175633263119,0.00623498637409627,0.0116799579732044,0.000519005191381081,0,0,0,0,0,0,0,0.00751571951843425,0,0,0,0.000678569994463952,0.000968477064558303,0,0,0,0.181637740946299,0.00709578876728098,0,0,0,0,0
"0360 MEA-BST Lhx6 Nfib Gaba_4",0,0,0,0,0.00383372287354022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344975102607247,0,0.0794271431370331,0,0,0,0,0,0,0,0,0,0,0,0.016690257511339,0,0,0,0,0,0.0436534315752527,0,0,0,0,0,0
"0361 MEA-BST Lhx6 Nfib Gaba_5",0.000820902516468185,0,0,0,0.004245497175721,0,0.00983037487510972,0,0,0.00156413321774498,0,0,0.0991263878724991,0,0,0,0,0,0,0,0.0709217114028376,0.00212070290807107,0.0438271441000104,0,0.010105331153316,0,0,0,0,0,0.00633493322576574,0.0032929080600274,0.0126118008894821,0.00249231469119649,0.0125118566906164,0,0,0,0,0,0.0602466214072487,0.0103592038505594,0,0,0,0,0
"0362 MEA-BST Lhx6 Nfib Gaba_6",0.00200783726623596,0,0,0,0.00194593467438316,0,0,0,0.00117254039514897,0,0.00099340021710578,0,0.0238722222116771,0,0,0,0,0,0,0,0.0253253666676227,0.00243882154891346,0.00982895298588464,0.000879321713500639,0.00371015146345429,0.00424672291099792,0,0,0.00136881919548863,0,0.0241159769868134,0.00158239642313204,0.293925154982466,0.00309898073364239,0.00295232065975485,0.000903787930729766,0.0231831228774633,0,0,0,0.00784047165329481,0.00534320295617012,0,0,0,0,0
"0363 CEA-BST Gal Avp Gaba_1",0,0,0,0,0.00716574126296444,0.00474082975098076,0,0,0,0.00243088200566662,0.00378212544075421,0,0,0,0,0.00678053258802601,0,0.00088526957816657,0,0,0,0.0163159690966421,0,0,0,0,0,0,0,0,0,0.00185061808122627,0.00104500098022577,0,0.00466397953869109,0.156033332088897,0.00125952606932465,0,0,0,0,0.178022412112181,0,0.00157573254219077,0,0,0
"0364 SI-MA-ACB Ebf1 Bnc2 Gaba_1",0.00139485227473027,0,0.00808983294306685,0,0.00123327210492132,0.00469540257479727,0,0,0,0.0116375843660864,0.00558977124933826,0,0,0,0,0.00749053353423562,0,0,0,0.033727440959512,0,0.00573785514671083,0,0,0,0.00336550365213458,0,0.00194783011806842,0.00312170925974811,0.00931848050809119,0.000811126570831156,0.0125970877817333,0,0,0.00356421795821792,0,0,0,0,0.0163813379352427,0,0.368558394894891,0,0,0,0,0
"0365 SI-MA-ACB Ebf1 Bnc2 Gaba_2",0,0,0.00543136666986182,0,0,0.00209449218524935,0,0,0,0,0.00126011313304251,0.0042186970729982,0,0.00106149823586861,0.00103021865733519,0.00375069254791035,0,0.00129649661603022,0,0.0594188144524037,0,0.0025820204246473,0,0,0.0010411381990251,0,0,0,0.00353604874740858,0.00472520477662136,0,0.154580356071194,0.00292619961186979,0,0.00702435056226162,0,0,0,0,0.0156794007788586,0,0.210683792523467,0,0,0,0,0
"0366 SI-MA-ACB Ebf1 Bnc2 Gaba_3",0.00105152091914796,0,0.120229862459246,0,0.000784372670551842,0.00647718787941034,0,0.00102816767514491,0,0.00450106447135781,0.00741921201478788,0.00218275094126828,0,0,0.00235303052771505,0.0749204721697923,0,0,0,0.00715895103564579,0,0.0129243226447413,0.00192822025667501,0.00146407095600903,0,0.00884249818093229,0,0.000888786992915005,0,0.00416179503786879,0.0031258202399035,0.011188527035821,0.00533569031953102,0,0.00142761386102564,0.00149555048653618,0.000777136770835344,0,0.000517102814890064,0,0,0.136403220521758,0,0,0,0,0
"0367 CEA-BST Six3 Cyp26b1 Gaba_1",0,0,0,0.0386881291561428,0.00156494266006965,0.109125248471688,0,0.0665138097209818,0,0.0119093805469998,0,0.018163309429597,0,0,0,0,0,0.00374927096719442,0,0.00229285392380984,0,0.00230146531908918,0,0,0.000898126324415304,0,0,0,0,0.00606560169344106,0,0.00915460962986171,0,0,0,0,0,0,0,0,0,0.0945182919294119,0,0,0,0,0
"0368 CEA-BST Six3 Cyp26b1 Gaba_2",0,0,0.00280997215784355,0.109798010379674,0,0.247659478389858,0,0.00117753824314295,0,0.0134375306214006,0,0,0,0,0,0,0,0,0,0,0,0,0.00138590449670241,0,0,0,0,0.00068853635631297,0,0,0,0.00621753903211936,0,0,0.001636157727876,0,0,0,0,0,0,0.0184428723536034,0,0,0.00114518152857266,0,0
"0369 CEA-BST Six3 Cyp26b1 Gaba_3",0.00146269722300452,0,0,0.0134671529794266,0.00105396900215446,0.095207601586132,0,0.0420763630374868,0,0.0513593179607312,0.000851745724685459,0.0236462949395765,0.00111093539939064,0,0,0,0,0.00313243200273775,0,0.00312489973745923,0,0,0.00256966314653373,0,0.00256090491122344,0,0,0,0,0.00589822834624604,0,0.00899131644826231,0,0,0,0,0,0,0,0,0,0.137617649908891,0,0,0,0,0
"0370 CEA-BST Six3 Cyp26b1 Gaba_4",0,0,0.00154024302376035,0.00974678232759652,0,0.212821593726644,0,0,0,0.0770602781943339,0,0,0,0,0,0,0,0.00107316843555151,0,0,0,0,0.00432234391409881,0,0.00141828410899635,0,0,0,0,0,0,0.0114448301938173,0,0,0,0,0,0,0,0,0,0.111951242273724,0,0,0,0,0
"0371 CEA-BST Six3 Cyp26b1 Gaba_5",0,0,0,0.0428628511849407,0,0.324425706700355,0,0.0242107935559391,0,0.0128916629111896,0,0.00485841077292695,0,0,0,0.000819241840461068,0,0,0,0.000739136656903753,0,0,0.00387591549627188,0,0,0,0,0,0,0,0,0.000794725850145363,0,0,0,0,0,0,0,0,0,0.0302079644780855,0,0,0,0,0
"0372 CEA-BST Six3 Cyp26b1 Gaba_6",0,0,0,0.0148491883710735,0,0.0519793420770733,0,0.078483637020524,0,0.00984883936849047,0,0.0287306265248591,0.000758381914262256,0,0,0,0,0.00607755388579381,0,0.0165620942820774,0,0.0137170996799949,0,0,0,0,0,0,0,0.00642503154081465,0,0.0175815017950097,0,0,0,0,0.000950286014269458,0,0,0,0,0.100039199961644,0,0,0,0,0
"0373 CEA-AAA-BST Six3 Sp9 Gaba_1",0.00147984936796144,0,0.00193276267244743,0.00543178710990375,0,0.0103824541413111,0,0.00907616148699449,0,0.000796552543579672,0.00166007279526078,0.00331458489624446,0.00367787927112523,0,0.00577548264433944,0.00493818295005781,0.000920862306132483,0.000680748428769967,0,0,0.00235625128757546,0.117386059219463,0.00459431081727054,0.00073843923914412,0,0,0,0,0,0.00709156303099037,0.0011378032576978,0.030201754285668,0,0,0,0.000968121931354674,0.001558228643234,0,0,0,0,0.1907205341667,0,0,0,0,0
"0374 CEA-AAA-BST Six3 Sp9 Gaba_2",0.00422506185124448,0,0.00249702476607017,0,0.00161526326300728,0.0306277303352757,0,0.00108521169803295,0,0.0353084034049341,0.0016191955218734,0,0,0,0,0,0,0,0,0.00169865981581907,0,0.00756736587756477,0.00464315221861756,0,0,0,0,0,0,0.00650548569122814,0.00070411059407573,0.0385726894289986,0,0,0,0,0,0,0,0,0,0.360210048442685,0,0,0,0,0
"0375 CEA-AAA-BST Six3 Sp9 Gaba_3",0.000776500348980562,0,0.00425687132523593,0.0122212920682049,0.00151384480516256,0.0429038255048953,0,0.00610584207307666,0.000864290271534566,0.0100038426015937,0,0.0101772955836079,0.00699655926290954,0,0.00218595535384058,0,0.00171552256633197,0.000901732369717578,0,0,0,0.00297993470112552,0.00234037489395354,0,0,0,0,0,0,0.00595434652695598,0.000857254271372787,0.0293777889807903,0,0,0,0,0,0,0,0,0,0.238255533545738,0,0,0.000638780386004284,0,0
"0376 CEA-AAA-BST Six3 Sp9 Gaba_4",0,0,0.00146528873811828,0.0161240915580991,0,0.0913056505859794,0,0.0023128366054497,0,0.0185849691470675,0,0.00215729639341938,0.0013499051794606,0,0,0.00429026526749335,0,0,0,0.00133403089871828,0,0.00203663240444764,0.00106108284412189,0,0,0,0,0,0,0.017820434672684,0,0.0503692628972335,0.00136294916806054,0,0,0,0,0,0,0.00163695051986822,0,0.236170784608223,0,0,0,0,0
"0377 CEA-AAA-BST Six3 Sp9 Gaba_5",0.0116933462302367,0,0,0.00285081271516682,0,0.011889722776389,0.00450654149830213,0.026936210078825,0,0.00544776780438449,0.0156140803601237,0.00475794088214711,0,0,0,0,0,0.00736203186451977,0,0.00333879360407187,0.00624088624684538,0.0574473839065758,0.0116414343472276,0.00439372256148157,0,0,0,0,0,0.0172164878330472,0,0.0336057026061307,0,0,0,0,0,0,0,0,0.00187184583114732,0.0739347113618148,0,0,0,0,0
"0378 CEA-AAA-BST Six3 Sp9 Gaba_6",0,0,0,0.0039841273088521,0,0.0336831509716035,0,0,0,0,0,0,0,0,0,0.00790663389790262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352290262460145,0,0,0,0,0,0,0,0,0,0.101297190271475,0,0,0,0,0
"0379 CEA-AAA-BST Six3 Sp9 Gaba_7",0,0,0,0.00208180130905547,0.0017666073911237,0.0203871181476198,0,0,0,0.00481435416128132,0,0,0.00301877033118363,0,0,0.00461713981921003,0,0,0,0,0,0,0,0,0.00463128148280653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562080002123905,0,0,0,0,0
"0380 CEA-AAA-BST Six3 Sp9 Gaba_8",0.000699781612752832,0,0.00349515665494724,0.00509999475150739,0,0.00210368568962311,0,0.0312942286708103,0.00141938996993396,0.00226533906538294,0.00107598979843958,0.0128662193150911,0,0,0.000848571263887343,0.000687962068093995,0.00399398593711674,0.000892072245682963,0,0.0173327352905771,0.0076646091701114,0.0131576045172469,0.00674746893638071,0,0,0,0,0,0,0.00835491538658286,0.00224701054893446,0.155374255685737,0.00415154499399599,0,0,0.00144788046968342,0,0,0,0,0,0.0858067959390189,0,0,0,0,0
"0381 ACB-BST-FS D1 Gaba_1",0.00152162033831972,0,0,0.0501307496491813,0.000745073961379055,0.199258616963351,0,0,0,0.0509428974814999,0,0.0346677118669433,0.00361692326055631,0,0.0197638736158388,0,0,0.0035491987786564,0,0.00455291495526084,0,0,0,0,0,0,0,0,0,0,0,0.00274279097834116,0.000802923659814232,0,0,0,0,0,0,0,0,0.0392628678155186,0,0,0,0,0
"0382 ACB-BST-FS D1 Gaba_2",0.00391512779439521,0,0.0164621287881838,0.0562462575008142,0.00216261358983633,0.121241735047648,0,0.000911249329283431,0.00138528001838017,0.0518869356880834,0.0019060150905526,0.012354257450973,0.000763346226066239,0,0.00169014320788989,0.0141262165977243,0,0,0,0,0,0.00108620031423147,0,0,0,0,0,0,0,0.00345078454059256,0,0.00845221722436034,0.00510579015543885,0,0,0,0.00130776906356123,0,0,0,0,0.0698836896985989,0,0,0,0,0
"0383 ACB-BST-FS D1 Gaba_3",0,0,0.00741907014646075,0.00714557238568674,0,0.12048536155645,0,0,0,0.0195363953966214,0.00500356723906883,0.0117353459974264,0.00377840324328129,0,0,0,0,0.024515442259867,0,0,0,0.0131201396496431,0,0,0.00428425068184162,0,0,0,0,0.00349210226340345,0,0.00660774022905281,0,0,0,0,0,0,0,0,0,0.168481327998388,0,0,0,0,0
"0384 CEA-BST Ebf1 Pdyn Gaba_1",0.00101251804034981,0,0.00328650382616189,0.102152234024982,0.000736554704999179,0.100910451950408,0,0,0,0.035489119468836,0,0.0443335469905247,0.00258415498216757,0,0.00122184612580611,0.00788948059956954,0,0.000982511926460071,0,0.00465675899257881,0,0,0.00158397566603764,0,0,0.00477632230059209,0,0,0,0.00118794376834744,0,0.0171832792085553,0.00223018603225937,0,0,0.00113966779671861,0.000636907145392626,0,0,0,0,0.0602518243193604,0,0,0,0,0
"0385 CEA-BST Ebf1 Pdyn Gaba_2",0,0.00060695010205006,0,0,0.00302846158948432,0.0690635937465463,0,0.000871667923609992,0,0.37197481087998,0,0,0,0,0,0,0,0,0,0.00150375506070725,0,0,0.0111834158494784,0,0,0.0036320866984221,0,0.00429181855489094,0,0,0,0.00567390581055293,0,0,0,0.0019104639462335,0,0,0,0,0,0.026409702476537,0,0.00126207060854169,0.000895669938979844,0,0
"0386 CEA-BST Ebf1 Pdyn Gaba_3",0.00103597190542516,0,0,0.367567567395755,0.00691668428519362,0.0212588102448264,0,0.0808434344649322,0,0,0,0.00985126154060359,0,0,0.00131090289368329,0,0,0,0,0.0029236408975871,0,0,0.00100738154531328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00670042713754682,0,0,0,0,0
"0387 CEA-BST Ebf1 Pdyn Gaba_4",0,0,0.00186250955627744,0.000670141708180434,0.000783674914183245,0.0450464305951468,0,0,0,0.0137971743736818,0,0.0791200136217302,0,0,0.00104537059146886,0,0,0.0035796905855003,0.00209467801051054,0.0090873331216927,0,0,0,0,0.000905560001613973,0.0158176046740582,0,0,0,0.000842905099337178,0.0007830279028739,0.0424398468033801,0.0014772780720554,0,0.000895507084574325,0,0,0,0,0,0,0.160363309997783,0,0.000481080272454357,0.00129356467048193,0,0
"0388 CEA-BST Ebf1 Pdyn Gaba_5",0,0,0.00670443812602184,0.00937537727571384,0,0.0205878380836688,0,0,0,0.00594768204718483,0,0.29066665969206,0.003116114546346,0,0.0070003223378206,0.00171747997137153,0,0.00246986920291675,0.00275818362987341,0.00639924349803123,0,0.000720454916448735,0,0,0,0.0295246888549453,0,0,0,0.000981784754686113,0,0.0119256189910636,0.00299379816274264,0,0,0,0,0,0,0,0,0.0193887475719543,0,0.000495301671114575,0,0,0
"0389 CEA-BST Ebf1 Pdyn Gaba_6",0,0,0.00622267514754432,0.0282345351554213,0.00193390005475262,0.0718856582310998,0,0.00227069300461878,0,0.0240620514650292,0,0.0319568663052069,0.00293428827561999,0,0,0.0135807780617645,0.00152510121950138,0,0,0.0048760001511904,0,0,0,0,0,0.00116519367295896,0,0.00095922991795738,0,0.00101142273050636,0,0.00474263231319466,0.0161787208790698,0,0,0,0,0,0,0,0,0.133049161284788,0,0,0,0,0
"0390 CEA-BST Ebf1 Pdyn Gaba_7",0,0,0.00256568361983538,0.00191232669057656,0,0.0174259411358504,0,0,0,0,0.0169981404151187,0.0607924654677506,0,0,0,0,0,0,0,0.0193194898325125,0.0018507514014533,0,0,0,0,0.00528280535523939,0,0,0,0.0103622506138504,0.00237361232777981,0.0594096247202505,0.00964079106130225,0,0,0,0,0,0,0,0,0.179947383198191,0,0,0,0,0
"0391 CEA-BST Ebf1 Pdyn Gaba_8",0,0,0,0.00363255113772771,0,0.161852098234386,0,0,0,0.058004161172278,0,0.00535582752020153,0,0,0.00300290064773125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240688551622199,0.00378262532402661,0,0,0,0,0,0,0,0,0.154453651991973,0,0,0,0,0
"0392 CEA-BST Rai14 Pdyn Crh Gaba_1",0.00118098337255828,0,0,0,0.00100364314770219,0.0986661570037684,0,0,0,0.120997023202962,0.000999144185990335,0,0,0,0.00304416419284966,0,0.000890404590717154,0,0,0.259347974550254,0.00137302126412939,0,0.00116834327725995,0,0,0,0,0,0,0.00196442829565766,0,0,0,0,0,0.000937659685708048,0,0,0,0,0,0.00724626588972577,0,0,0,0,0
"0393 CEA-BST Rai14 Pdyn Crh Gaba_2",0.0127186128000989,0,0,0.000708978335018843,0.00561407307823444,0.020324535193712,0,0,0,0.0401610552755013,0.00169803490649169,0.00140265858996949,0.00309915499877163,0,0.0182311871954259,0.00867297050133281,0.00372726407974918,0.000840377056236207,0,0.0762689699342694,0,0,0,0,0,0.000930060939214159,0,0,0,0,0,0.071273589988402,0,0,0.00379101039043115,0.00131136050396503,0.0017115695463757,0,0,0,0,0.157397056339033,0,0,0,0,0
"0394 BST-SI-AAA Six3 Slc22a3 Gaba_1",0,0,0.0385486237711139,0.000760252204384289,0.00062149531145188,0.032233752374706,0,0,0,0.0344617619712264,0.000820567463634743,0.00229747376196158,0.00107969622829903,0,0,0.130580251536216,0,0,0,0.00405886999238435,0,0.0115039475611537,0.00250245786740572,0,0.000673666598958154,0.00246127940553324,0,0,0.00803295667155037,0.00431219789776289,0,0.0168166933964511,0.00241596738134054,0,0.00121800432005785,0.00305264310133466,0.00793314721144928,0,0,0.0075122132165843,0,0.0858979804050943,0,0,0,0,0
"0395 BST-SI-AAA Six3 Slc22a3 Gaba_2",0,0,0.132548230115186,0,0,0.00286450453961347,0,0,0,0.00717862755993426,0.00298367905387143,0.00237655368651646,0,0,0,0.192161529303935,0,0,0,0,0,0,0.000870590210022758,0,0,0.0092413243643157,0,0,0.00698426349844867,0.00752743355017014,0.00274001850388767,0.00730113988206748,0.00116976956852104,0,0,0.00106736447799658,0.00119455753427057,0,0,0.00184911153342175,0,0.0662769698088605,0,0,0,0,0
