"","Glut-DACH2-LMANsh","Glut-DACH2-6","Glut-DACH2-LMANco","Glut-Im","Oligo-2","Glut-DACH2-HVCra-Pre","Glut-SATB2-1","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-DACH2-2","Glut-CACNA1H-2","GABA-8","Glut-CACNA1H-1","Glut-NB","Glut-CACNA1H-3","Glut-CACNA1H-4","OPC","Glut-CACNA1H-RA","GABA-7","Glut-DACH2-3","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-HVCx","GABA-2-1","Astro-3","Astro-1","GABA-4-1","Glut-GABA","GABA-Im","GABA-1-1","GABA-2-2","GABA-6","Glut-NSC","GABA-5-2","GABA-5-1","Oligo-1","GABA-3","GABA-4-2","Epen","GABA-1-2","GABA-2-3","Astro-2","Endo","Oligo-3","Micro"
"0302 LSX Otx2 Gaba_2",0,0.00441688382483489,0.00365197091242831,0.0299098091159174,0.00418737659306397,0.00128096928062733,0,0,0.00727749148274128,0.00879360581988277,0,0,0.0505142026532987,0.00176985629876559,0.0319084058724505,0.0205673321687248,0.00808378775783942,0,0,0.00146732426778622,0.000755623345334418,0.0183135606668708,0.0507611745632609,0,0.00645593602105117,0.00645209226724665,0,0,0,0.0014279324666374,0,0.00370482468897716,0,0.0230640602116751,0.0168588045707356,0.00285860282255961,0,0,0,0,0,0.0088581759543305,0,0,0,0.00108826434697324,0
"0303 LSX Otx2 Gaba_3",0,0,0.0454775955483472,0.00232747638928814,0.00574070914803054,0,0.00517145465077198,0.00105601274782369,0.00293958638251467,0.00383881866947604,0,0,0.0890268981566612,0,0.017411247025995,0,0.0177523300566425,0.00341485137990732,0,0.00232894205270081,0.000861877591371314,0.00530532511552505,0.0749417939062576,0,0.00516639482035152,0.00137512063426077,0,0,0,0.00106678730527453,0,0.00732212416897292,0,0.00134211972211529,0.052338837630942,0.0012040974687225,0,0,0,0,0.0213863427975913,0.00744892704537551,0,0.00153429131914233,0,0,0
"0304 LSX Otx2 Gaba_4",0,0,0.0110053860640503,0.00855504228856136,0.001933891414661,0,0.00458327080862454,0,0.00404697938312138,0.00392333765488491,0,0,0.0717988555589412,0.00105128896604951,0.0165461041307791,0,0.0476824402544532,0,0,0,0,0,0.0173700246442219,0,0.0122860377914395,0.00165649140058737,0,0,0,0,0,0.00401883450416759,0,0,0.14111507922389,0,0,0,0,0,0.0108995244318739,0.000954681351215097,0,0,0,0,0
"0305 LSX Otx2 Gaba_5",0,0.00105280291978522,0.0030947790139813,0.0190126779721953,0.00123654694254511,0.00646205831774994,0,0.0122771405880191,0.0122148539330679,0.0285392538461489,0,0.00233226063350081,0.039704252149107,0,0.00421421304569228,0.00252379404024917,0.009885069914426,0.00152551516071195,0,0.00331203022073667,0.000679542588516851,0.00239763635296573,0.0326416050108882,0,0.0483874923775491,0.0336257119097765,0,0.0016854688866717,0,0,0,0.0412994069613368,0,0.00417742003055857,0.00631634489622712,0,0.000746768985489114,0,0,0,0,0.00351567116333286,0,0.00225698162546486,0,0,0
"0306 LSX Nkx2-1 Gaba_1",0,0,0.177849200958078,0.0856973877456678,0,0,0,0.00315571601515203,0.012049642213255,0.0214488684201684,0,0,0.0396518872550422,0,0.0196644209040764,0.00326536128547558,0.00457939652442221,0,0,0.000948064319192088,0,0,0.00140334268224788,0,0.00451582164081012,0.00492044442699501,0,0,0,0,0,0.0389488057212871,0,0,0.00348512735449178,0,0.00341548852563873,0,0,0,0,0,0,0.0019781618087213,0,0,0
"0307 LSX Nkx2-1 Gaba_2",0,0,0.310635331105312,0.0251914851903573,0,0,0,0,0.063569814782695,0.0162883665301695,0.000646771959339367,0,0.0129397318981258,0,0,0.00188854835801983,0.00381294168887605,0,0,0,0,0,0.00178185666199428,0,0,0.00321058185020268,0,0.0017521430608941,0,0,0,0.0114014171646257,0,0.00762888982416818,0,0,0,0,0,0,0,0,0,0.0223390296067184,0,0,0
"0308 LSX Nkx2-1 Gaba_3",0,0.000664475583610003,0.00552414491108011,0.0156023881462365,0.00597141429806027,0,0.00366102915424759,0.00599174731357761,0.00296806851047356,0.0115782280926589,0,0.00158439913493193,0.0302419992026199,0.00127924235814517,0.0274090884169756,0,0.00562561598797408,0.00544226444535871,0,0.00407328997771889,0,0.0119741175076519,0.0365542540954499,0.00100861484365853,0.0139813600406773,0.00418069373457767,0,0.00207554255941649,0,0,0,0.0433179883773275,0,0,0.0522134926096683,0,0.0023251291283223,0,0,0.000555583497083616,0.00394155128612051,0.0182517108124758,0,0,0,0,0
"0309 LSX Nkx2-1 Gaba_4",0,0,0.0121342323902638,0.124670584834509,0.00168008217165395,0,0.000689950792385135,0.0161432724258542,0,0.00707082622495601,0,0.0033790044174179,0.0123789403193129,0,0.0137728056273078,0.00175807462022468,0.00259886732241759,0.00829766226172078,0,0.00930935865686546,0,0.00294963104186189,0.0125357638164989,0.00103925224544275,0.00662384292480337,0.0133816548050119,0,0.00257336527767408,0,0.00113080881562272,0,0.0650512499102338,0,0.000857613835170286,0.00717289784049997,0,0.00126238926177065,0,0,0,0.00182255541808571,0.00508264580365525,0,0,0,0,0
"0310 LSX Nkx2-1 Gaba_5",0,0.000722061128826563,0.0099177829211753,0.115966896872734,0.00320131147168963,0.00117568491659875,0,0.0170589597019791,0.00277578306213811,0.0171812991510884,0.00204017371472847,0.000767961739321682,0.00699242259379287,0,0.00772243628648188,0,0.00107626911126909,0,0,0.000803443566613987,0,0.0064030933067291,0.0114364096057375,0.00379966993932544,0.0177224147413172,0.00583240623972019,0,0.00778625063007075,0,0,0.00251456950011241,0.0374065063533604,0,0.0130567181750435,0.00925957303606313,0,0,0,0,0,0.000764014201613244,0.00990699630580309,0,0.00124027469422411,0.00132842260551977,0,0
"0311 LSX Nkx2-1 Gaba_6",0,0,0.00109131606122054,0.179459787448473,0.00100520669125418,0,0,0.00594962347968698,0,0.00266074709254749,0,0,0.0210993459575802,0,0.000709964704006564,0.00738280910895544,0.00320127989320798,0.0014039843195986,0,0.0126011895692813,0,0,0.00139601127327087,0,0,0.013353167405654,0,0,0,0,0,0.0926773422112585,0,0.00162297101481582,0.0159236030468662,0,0.0012044330438951,0,0,0,0,0.00734020485008314,0,0,0,0,0
