"","Glut-Arco-1","Glut-Arco-2","Glut-NR-2","Glut-Arco-5","Glut-NC-1","Glut-NR-3","Glut-NC-4","Glut-Arco-3","Glut-Arco-4","Glut-NC-3","Glut-NR-1","Glut-NR-5","Glut-HVC-1a","Glut-HVC-2","Glut-NC-2","Glut-NR-4","Glut-LMAN-1","Glut-LMAN-2","Glut-HVC-1"
"Ex_DACH2_LHX2",0,0.0030626193765468,0,0.00661662917325781,0.303111280905367,0.00917102710753935,0,0,0.00272179006811664,0.0107934237816167,0.0875445309412598,0.00199624922200687,0.00182844538307378,0,0.0794637743560298,0,0.000365796161553036,0,0
"Ex_DACH2_LUZP2",0,0.0186743889630891,0,0.110818535094174,0.326006612893183,0.00101792182581671,0,0.000329564546889102,0.00540069852930982,0.0138940779835975,0.00335309815909551,0.00276371708084727,0.00585896362385235,0,0.0628597937553704,0,0,0,0
"Ex_DACH2_MGAT4C",0,0,0.000371731869559176,0.00148888410321257,0.385563949288541,0.0387479935111021,0.00231115050879144,0,0.000964359221376683,0.00520522715641239,0.0395117525682759,0.00526253334053001,0.0111395693206657,0.000411236740931918,0.0477468886695622,0.0011872087564012,0.00263056221584113,0,0.000234385914846195
"Ex_DACH2_NR4A3",0,0.000468009621950403,0.00224166120687489,0.00222230579864761,0.42537994371064,0.038058920037229,0.00889083304291511,0.000778767902458313,0,0.0101167713016318,0.0251948642571937,0.00212936386010297,0.00189077549632149,0,0.0200006896073489,0.000784539397360277,0.0098964567736069,0,0
"Ex_DACH2_RORB",0,0,0.000472100393031352,0,0.000575707613174798,0.000547704177411687,0,0.0050510009710522,0.00403866702218404,0.517095837758323,0.00192433188160038,0.0115556412293843,0,0,0.00666966546753146,0.0358252117888289,0.00100260205641597,0.0122135181204625,0.000794409592895202
"Ex_DACH2_SLIT2",0,0.00250498609981139,0.00528089307129129,0.0663881334304831,0.0721632114774698,0.00442300381878607,0.0162007917006329,0,0.000832801646660165,0.539951586297216,0.000638951509479138,0.00116553090301255,0.00138307979293714,0,0.0035887657573441,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.0158538234673121,0,0.00581238461508542,0.0101560562151822,0.00401943607106846,0,0.00548290522474877,0.265117110346245,0.0013640231835166,0.0387629150564861,0.000941479654135668,0.000379829091449333,0.000919973841678723,0.20922791355074,0.000524643222209959,0.000649338882093706,0
"Ex_DACH2_ZMAT4",0,0,0.0145316155344936,0,0.00415980102006874,0.00268293385794822,0.0113454756086193,0,0.00415494349721718,0.293827125413205,0.00140108303809938,0.00162916171878898,0.000410147406140499,0,0.000326425276590191,0.287178129743238,0.00214821410649072,0,0
"Ex_KIAA1217",0.000356318767732322,0.00288195257630481,0,0.000318168622417594,0,0,0.00405723262941687,0.000316494893528107,0.000948875364521933,0.000354585148833998,0,0.809999996247592,0.000363424349049111,0.0165366074551492,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.0116296384302846,0.0376985478329992,0.00322756685831444,0.00790250302020444,0,0.00133167761875692,0.0517096088029314,0.000991286475152352,0,0.000894385129751662,0,0.420982189625219,0,0.0786295265571938,0.000864457917101972,0.00159644574230386,0,0,0
"Ex_Pre_KCNH7",0.000460584435057566,0.0256898346824502,0.00555603446470746,0.0173388632315339,0.0708273277673055,0.0260224366289225,0,0.00996336870481502,0.0316160200950173,0.0095293467119151,0.0158151356598648,0.159251951325882,0.00698648655593721,0,0.0358111155841926,0.00190171833911485,0.000329726210279932,0.0013692578425512,0.000751107541089373
"Ex_Pre_SATB2",0,0.0298717075700426,0,0.00764321983815059,0.02258670491189,0.0103898406755884,0.000772735846986455,0.00776732346775392,0.029295228665522,0.00431907232074757,0.00609966421211244,0.471690510745944,0.00184602582102902,0,0.0088862942212957,0,0,0.000695132534708816,0
"Ex_SATB2_FOXP2",0.000922980700759239,0,0,0.000510137932319574,0.000246281356482214,0.000814911982908015,0.00428610346571622,0.00137647055998604,0.00204366488603367,0.000500304527957471,0,0.890471700414567,0.000310325750659988,0,0.000564967255950052,0,0,0,0
"Ex_SATB2_OVOA",0,0.00486968533175159,0.000745866334313591,0.00260550719135285,0.153961883276759,0.0382136944315342,0.00644035314234779,0.000348832625575257,0.0115110507223465,0.00195991449167773,0.0252743531336204,0.249356234132813,0.00722244692081808,0,0.0168193546983552,0.00164367766611006,0.00449027687644193,0,0.000604536398348643
"Ex_SATB2_SOX6",0,0,0,0,0.00163799968782365,0.000301007673425383,0.00384173065387908,0.000931544570322564,0.00932372509749257,0.000566326283852785,0.00026348171527834,0.90928344390219,0.000296277226383563,0,0,0,0,0,0
"Ex_SATB2_ZNF385B",0,0,0,0,0,0,0,0,0.00164959833111719,0,0,0.981045248315106,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.458644910053796,0.0989557607935681,0,0,0.00288542030530327,0,0.00648087123036888,0.017867722064546,0,0.00332935846826978,0,0.0225441637879378,0,0,0.0033721617317449,0,0,0,0
