"","Glut-Arco-1","Glut-Arco-2","Glut-NR-2","Glut-Arco-5","Glut-NC-1","Glut-NR-3","Glut-NC-4","Glut-Arco-3","Glut-Arco-4","Glut-NC-3","Glut-NR-1","Glut-NR-5","Glut-HVC-1a","Glut-HVC-2","Glut-NC-2","Glut-NR-4","Glut-LMAN-1","Glut-LMAN-2","Glut-HVC-1"
"Ex_BCL6",0.000811350715830464,0.0540935580692965,0.0526641281309676,0.0236029031309812,0.0431294338510624,0.00150954849824385,0.00541300559750998,0.00169412314995339,0.000439346973704179,0.289945282695935,0.00151949217211102,0.0410202376322174,0.00209309912312702,0.00304641383071269,0.00478954494906698,0.00093844719386474,0,0,0
"Ex_CACNA1H_CPA6",0.0160009842190516,0.826529261231061,0,0,0,0,0,0.0013138529604164,0,0,0.00109646503692401,0.00211770381477705,0,0,0.00279146483473043,0,0,0,0
"Ex_CACNA1H_KIT",0.0151824823644912,0.680226707042611,0,0.0489310894003618,0.00261070568702799,0,0,0,0.000761955914099178,0,0,0.00577132051150868,0,0.00385290047638513,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0943160757156573,0.223121980472153,0,0.404328910851034,0.00651671457835616,0,0,0,0,0.00115926129099549,0,0.00137828163874495,0.00084744059733807,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0322554783154813,0.302735026356519,0.0022961550303915,0.0547924887916084,0.054543889361995,0.00619208934158964,0.00550794080967937,0.000394599217971781,0.00151860946650688,0.0326737225355846,0.00891238968331848,0.0122908200874999,0.00122020207375147,0,0.00273272387878468,0.0041125363159051,0,0,0
"Ex_CACNA1H_PROX1",0.00250953000344973,0.541152631588824,0,0.0893456260896422,0.0199848176077484,0,0,0.000368764218138596,0.0016404980486877,0.0159511988754289,0.000780639706305378,0.00412203787497181,0.00204901408530525,0,0.00501292226487543,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0,0.00563527385634753,0,0.100045195599104,0.0716255310902451,0.00641838487574538,0,0.00397212964419731,0.0208741939909922,0.140765117487808,0.00363763482314269,0.00304582056092935,0,0.0262881325769759,0.0179869245716137,0.0256649590426441,0,0
"Ex_DACH2_CEMIP",0.000740808893007099,0.000565286415928041,0.232034182609447,0,0.00377354922808679,0.00277927450895398,0.00498452671840006,0,0.00203367774503671,0.236801488709295,0,0,0.000543107771393426,0,0.000548047698618187,0.10209539932912,0,0.00168885601206398,0
"Ex_DACH2_GRIK4",0.000434789297086584,0.00126537823754822,0.0003259583136257,0.0107458019545785,0.389303082747022,0.0747128634310958,0,0,0,0.00106008923333548,0.0339065714369637,0.011634775982983,0.00812043892256701,0,0.0305032301743728,0.000508074033381545,0.00156376726431447,0.00039105784453181,0.000928271757857464
"Ex_DACH2_ITGA9",0.00384580080075772,0.00121098991803753,0.0217762195899225,0.00123670967754983,0.0984220837888352,0.0403724156004799,0.0828416076829744,0,0.00371485323451661,0.135774351104128,0.000872507978610373,0.0134352857096804,0.00437567750509239,0.000565537003863667,0.00502212561108752,0.0670836477901681,0.00294831961236814,0,0
