"","Glut-DACH2-3","Glut-DACH2-HVCra-Pre","Glut-DACH2-6","Glut-DACH2-8","Glut-DACH2-2","Glut-CACNA1H-4","Glut-DACH2-LMANco","Glut-DACH2-4","Glut-DACH2-HVCx","Glut-DACH2-7","Glut-DACH2-1","Glut-DACH2-HVCra","Glut-CACNA1H-2","Glut-CACNA1H-3","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-LMANsh"
"Ex_BCL6",0.268052507760493,0.00380531508056146,0.109596034338089,0.00292389052672032,0.0012537966294479,0.040068020125288,0.00114723800332634,0.00693911086262905,0.0297733904201286,0.00123539359655671,0.00566844119658276,0.117571159606035,0.0254897206435427,0.0024429445440937,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0.00193480635055987,0,0,0.00695195223313072,0,0,0,0,0,0,0.855839881172873,0,0.00203346815013037,0.00368497048407062,0,0
"Ex_CACNA1H_KIT",0,0,0,0,0.00733933167358075,0.114135443138416,0,0,0.00123902407201301,0,0,0,0.63185433012375,0,0.0104275573256067,0,0,0
"Ex_CACNA1H_LHX9",0.00596888901542078,0.000830066373205716,0,0,0.00413257146981174,0.546913917710153,0,0,0.00371307201693958,0,0.000966489870311372,0,0.1739594848345,0,0.0690277507176458,0,0,0
"Ex_CACNA1H_MCTP2",0.0356593994554555,0.00940532855531387,0,0.0039214087288792,0.119517898969496,0.0845167272410641,0,0.000703274920784288,0.00505166225403385,0.000546284811715877,0.015377092412848,0,0.196599860972815,0.000542333227635772,0.00390448419541055,0,0.0062707229232784,0.0233348938386369
"Ex_CACNA1H_PROX1",0.00471688961656099,0.000411706891660703,0.000962692690343939,0,0.051849685946736,0.106359926624232,0,0,0,0.000441858537492396,0.00596589929532941,0,0.563937249085714,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.00213925200190104,0,0.0155365739044603,0.00947290962203571,0.0459176121432523,0,0,0.000462439063070564,0,0.149286915360782,0.0269593438459337,0.0008714097570306,0,0,0,0,0.342417326683842,0
"Ex_DACH2_CEMIP",0.113289794145783,0,0.634074816786099,0.0347159808016152,0.00036987670602786,0,0.000625549453712665,0.00462875217974461,0,0.00108960528620426,0.00244634638378408,0,0.000562325624333043,0,0.000472936829511399,0,0,0
"Ex_DACH2_GRIK4",0,0.0014502364868527,0.000925881142836967,0.00206527728145977,0.13974603031845,0.00585815447495101,0,0.00038336524171423,0.00249936255919703,0.132912126823316,0.281309513434651,0.00056303441887053,0.0015688798852166,0.000360139393817648,0.000885835882064146,0,0.0320493833674518,0.000317517717414115
"Ex_DACH2_ITGA9",0.114803654514013,0.00334830817997355,0.0313536783692594,0.168499099192029,0.0280509320743671,0,0.000427608405256224,0.0632715029382096,0.00528672994644313,0.0404816624457266,0.064188303947778,0.00226449090152042,0.00429681576291694,0.000401367499479317,0.00394822779457067,0.000311818688238152,0.00429481123097203,0.0274858481247685
"Ex_DACH2_LHX2",0.00921199142303466,0,0.000447157761925711,0,0.376100654135065,0.00141763250503305,0,0,0.00106229168617452,0.00585201862814307,0.156515132101411,0.000218435403844681,0.00391031492717277,0,0,0,0.0396705755108155,0
"Ex_DACH2_LUZP2",0.0153368057412532,0.0115114098268067,0,0,0.232356813881023,0.050395909639755,0,0,0.000794496970126993,0.000731726506326678,0.261853232851057,0.000710910150704112,0.0057449266578644,0,0.000369792285226299,0,0,0
"Ex_DACH2_MGAT4C",0.000630966236693631,0.0151099978270092,0.00299991074177784,0,0.151242503612644,0.00250435278965666,0,0.00149902563132034,0.000784270371778065,0.0762403550945296,0.301025665322574,0.00461024316031069,0.000592507534503409,0,0.000244927244292689,0,0.0637472819409244,0.000433948523405245
"Ex_DACH2_NR4A3",0,0.00109998314170236,0.00244635500450493,0.000451461653031897,0.0154329798896783,0.00171512012927159,0.000338975939809335,0.0015872110673214,0,0.13405703942947,0.346025948305502,0.00218394454798384,0.00312008714260134,0.000365159770787293,0.00345181491876712,0,0.0486477349747155,0.00408293611848941
"Ex_DACH2_RORB",0.437068146125547,0,0.00257421184307125,0.0200456265298675,0.000513336844590372,0,0.00208724029495574,0.000881079899040658,0.000608244499039659,0.0015601377676948,0.00141174682190728,0.00386647815257727,0.0030709281408542,0.00266789900236503,0,0.00028632393904742,0.00375237818543964,0.0677440566215535
"Ex_DACH2_SLIT2",0.599724017794967,0,0.00686215312705443,0.00116939405091699,0.00907998856626452,0.0951583004045613,0,0.0168249786063929,0,0,0.0795802980203934,0.000812673566817362,0.0008183358085427,0,0,0,0.000608559537012057,0
"Ex_DACH2_TAC1",0.222103424074263,0,0.0104662177468142,0.413985125921513,0.000612659159557636,0,0.000323516233155305,0.00156302946982299,0,0.00708633668566217,0.00254511100466746,0.0031368409884459,0.000336266925238304,0,0,0.000273700852295997,0.000270004568048018,0.00182585523341451
"Ex_DACH2_ZMAT4",0.269805925839811,0,0.0571371334932917,0.355181378594024,0,0.000835510750887403,0.000675327703359943,0.0225618356283846,0,0.00663798511622836,0.0022128831296215,0.000510871939972029,0,0.000269941693142146,0.000314962983416535,0,0.00144972921383976,0.00300314365642681
"Ex_KIAA1217",0,0.0126724500312876,0,0.0601827174164075,0,0.000719058243300541,0.0349170560495391,0.00148256554684575,0.130808867116367,0,0.000301662329571919,0.0265126735315717,0.00107881942435375,0.000636596135881662,0,0.157931549776233,0.0002464885488565,0
"Ex_KIAA1217_BCL6",0,0,0.00340221644647027,0.0216572736823564,0,0.00401782127420595,0,0.0754424392973045,0.0746662310179615,0,0.00219486179022456,0.222940199035024,0.0535293714183584,0.00218604244062193,0.0130632665144578,0.00532470168001215,0,0
"Ex_Pre_KCNH7",0.0109492199530457,0.00415843047378978,0.0563953490049793,0.00336846826675902,0.00273904386011809,0.0137627010604337,0.00985911743848766,0.00166501017722714,0.0877787767016327,0.000316862791881009,0.0673411212551403,0.0339020443595203,0.141613920468758,0.0185861719641427,0,0.000581637431910893,0.00301489600221782,0.00393110896010062
