"","Ex_BCL6","Ex_CACNA1H_MCTP2","Ex_KIAA1217_BCL6","Ex_DACH2_RORB","Ex_CACNA1H_CPA6","Ex_DACH2_ZMAT4","Ex_SATB2_SOX6","Ex_CACNA1H_LHX9","Ex_DACH2_ITGA9","Ex_CACNA1H_PROX1","Ex_KIAA1217","Ex_SATB2_OVOA","Ex_Pre_KCNH7","Ex_CACNA1H_KIT","Ex_DACH2_LHX2","Ex_TSHZ2_NR4A2","Ex_Pre_SATB2","Ex_DACH2_TAC1","Ex_DACH2_NR4A3","Ex_SATB2_FOXP2","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP","Ex_DACH2_SLIT2","Ex_DACH2_MGAT4C","Ex_SATB2_ZNF385B"
"Glut-Arco-1",0.00227473264619275,0.00598570407698199,0.00325489319213913,0.000338673718174296,0.00949491748955376,0.000237936504516004,0.000208318217339115,0.307109725613072,0.00843610111581743,0.00213720329503326,0.0095230873165007,0.00163242253441091,0.00189575337764719,0.0343293746916436,0.000275142394501243,0.0205746510182159,0.000266296419070607,0.000251780308029855,0.0128665708338798,0.00334123743616467,0,0,0,0,0,0,0
"Glut-Arco-2",0.0203375829958386,0.0752787713582572,0.000440236641904503,0,0.00391535236528949,0,0.000231059455838059,0.0323478424578989,0.000504414367346766,0.0779298666267629,0,0.00180579234276319,0.00170201664914565,0.172474553925062,0.00227411925797166,0.00239659292578447,0.00855593566884438,0,0.00555683101314801,0,0.000294237507596824,0.000304143704703819,0,0,0,0,0
"Glut-Arco-3",0.0134459421938038,0.0104504319712827,0.00779683244547766,0,0.00770573711984679,0,0.00247239230302432,0.197962949044273,0.00228101344198914,0,0.0148404367639693,0.00261267590233187,0.00345771005805214,0.0498802571784044,0,0.00602150776284444,0.00475393290261236,0.0015213877294371,0.0232610168771751,0.0047434129900236,0.00135651935118545,0.00094858178886927,0,0,0,0,0
"Glut-Arco-4",0.00116352529290169,0.00188316936149348,0.00655602842871495,0.000914907075169172,0.00188052063100788,0,0.0261503840887052,0.0130953504548067,0.000534787086847547,0.00653330798852931,0.00643395963724327,0.0639111452672445,0.0291301963612081,0.0137687732474887,0.000670137205098096,0.00314451061868433,0.0215797457423165,0.00435099908294002,0.0114678500464862,0,0.00214131442553538,0,0.00337422928809877,0.000534893654936252,0.000710915129787079,0.00189946628184309,0
"Glut-Arco-5",0.00499467074361916,0.00552952980537007,0,0,0,0,0,0.383939563344304,0.00276483412473346,0.0330010956202004,0,0.000805057987592387,0,0.000612256389100567,0,0,0,0,0.00156255980851724,0.00220937135768079,0,0.00309740793191058,0,0,0.00204136290168916,0,0.00156232114406371
"Glut-HVC-1",0.00220960151280903,0,0.0048966596522962,0.0042484327944109,0.00159307684125947,0.00288591778521577,0.0549660916828349,0.00164741424008073,0.0015199213793462,0,0.00323400477594542,0.0139761154842986,0.0408934506617571,0.000219150725873787,0.00386525210422479,0.000321588610700088,0.00540098949235506,0.0130950751224434,0.00795347645493207,0.0066267404572678,0.0131392178079896,0.0108655667030298,0.049519809763489,0,0,0.00635965188397843,0.0432678105876555
"Glut-HVC-1a",0,0.000430645275960472,0,0,0.00344327210048225,0,0.020719652399469,0.000364146487206524,0.00703878227827071,0.00142998528414656,0.00260832032967659,0.0104425886654121,0.00745902003125009,0,0.00590230642446798,0,0.0014251070702072,0.00225788650899098,0.0160018768621543,0.00688946109842692,0.0996505278359449,0.0619781994075661,0.00951289817274152,0,0.000443384413630086,0.0895391102306645,0.0100105386977618
"Glut-HVC-2",0.00267655493852877,0,0.0359715392635364,0,0,0,0.00368876860737193,0,0.0366653086552835,0.00147834243160664,0.105022344585267,0.00708264649277896,0,0.0336895574521217,0.0121454359793716,0,0,0.00757579742289166,0,0.0193620168572044,0.00071638353647717,0.000775030934293721,0,0,0.0013038482463725,0.00378886168480365,0.00246893076664002
"Glut-LMAN-1",0.000980823269851128,0.000961620983763442,0,0.0426739693182949,0,0.0253785205910687,0,0,0.00472771227359655,0.00293332905414032,0,0.0208001227630032,0.0348794590440255,0,0.0326741858858213,0,0.00215283189303202,0.00380921494479787,0.0249702304659405,0.00280941893284046,0.00497167537866439,0.00249793109793714,0.135851821768497,0,0,0.00619624665731639,0.000597022525263793
"Glut-LMAN-2",0,0,0,0.1180899675091,0,0.127674770687227,0.00945208108404065,0,0.000545056001541465,0.000267288937449089,0.0301044254523506,0,0.00324283219070465,0,0,0,0,0.0020838528593425,0,0,0,0.00121039601962139,0,0.108060037526616,0.000263175832509504,0.000269749832554996,0.00323187782360447
"Glut-NC-1",0.000306394499865766,0.000735594712422252,0,0.00071413419098411,0,0.000678850684157726,0.00102133440930659,0,0.0116087878632013,0.00159741607525833,0.000383705717344846,0.00189855992910788,0.00591746627493177,0,0.0380561938123613,0,0.000971789031687224,0.000216343287016393,0.0743460535089591,0,0.109455138317648,0.0796126646093446,0.0153001297796683,0,0.0025177297920953,0.11759098857266,0
"Glut-NC-2",0.000422154000226901,0,0,0.00101910236913084,0,0,0.000700432380058933,0,0.0012863840973647,0.000322257142607663,0.00210290549437196,0.0025862624795339,0.0033673517888428,0,0.117932955788433,0,0,0.000334007218495216,0.0434393244969765,0.00292983276738614,0.0794735619843952,0.0915775306383624,0.0130109588720505,0,0.000624421659445571,0.0439962162740375,0.000482392628918227
"Glut-NC-3",0.00525994820019431,0.00216524729134664,0,0.00442285425810066,0,0.0207070865418597,0,0,0.0171087357204356,0,0,0.000493060102909791,0.00464797279044518,0,0.000465925231663176,0,0,0.0043768478411506,0.00362309676764187,0,0.000510539186282214,0.00111524544834593,0.000548778349230656,0.000296551076274992,0.523172833906706,0.000339014072766238,0
"Glut-NC-4",0.00328010108491303,0.0019478744548715,0.0185919417522376,0,0,0.00455046964043111,0.0103482072920909,0,0.281923255636073,0.000852075662592436,0.00638832063584595,0.0059245654381633,0.00787676321216178,0,0,0,0,0.00491515175637275,0.0104694093750297,0.00454689496301161,0.00143184237769594,0.000741010569842696,0.000777122636669273,0,0.0323215793704391,0.00780874672347411,0
"Glut-NR-1",0.000176860841225397,0,0,0.000873829494744126,0,0,0,0,0.00128313722363671,0.000367105054652636,0,0.00311113684757051,0.00769612287239624,0,0.211545234659388,0,0.000980091840025862,0.00324984706798119,0.0272664280993039,0,0.0263126055019324,0.00423206112405695,0.0923894670941979,0,0,0.0511723397751713,0
"Glut-NR-2",0.0205698219536015,0,0.0022018113691976,0,0,0.0583744009389546,0.00248307241953712,0,0.0552134084948313,0,0.000690095059905943,0.000225567626796836,0,0,0,0,0,0.00870607081101854,0.000924402013223137,0.00270347913265919,0.00209067495448457,0,0.00217556598216838,0.387446883359535,0.000487934531325839,0.000990263982529906,0
"Glut-NR-3",0.00152367600934671,0,0.000261893037199482,0.000743052328960504,0.000229411985636012,0.00416113305576753,0.00263532816718887,0,0.0108817277989486,0,0.00186419123899007,0.0152541005966915,0.00337579922388383,0,0.00658846403222617,0,0.00104544550646436,0.00870697310546703,0.0338376058866315,0.000506310873954112,0.0955131315863191,0.00148128560568951,0.0945595416675892,0.0015423287418125,0.000384024336433011,0.102496068129596,0.000391824426366478
"Glut-NR-4",0.00154369780940847,0.000798227296601812,0,0.00653216286684179,0,0.571131191692146,0,0,0.00762488969205103,0,0.000283378372779696,0,0.00175641460644532,0,0,0,0,0.00397478352819148,0,0.000537629093410327,0.00194220314738047,0,0.00144581023662308,0.0301432008158388,0.000463788562045415,0,0
"Glut-NR-5",0,0,0,0,0,0,0.436646374946504,0,0,0,0.00113401033727694,0.000969872443052517,0.0020328304445088,0,0,0,0.00192064552591313,0,0,0.220281640598265,0.00391775741140379,0,0.000789303888742021,0,0,0,0.113468447098621
"Glut-RA",0.0177814041438124,0.000277247102873817,0.00191723871470062,0.0213279436969608,0.0745020105479311,0,0.000180650233116055,0.00103520050458004,0,0.00298312525144043,0.123743876047119,0,0.0052840194955867,0.0764629287526771,0.000821343592106988,0.000496384929485292,0.000952680318581234,0.00404075563072109,0.000329445804882712,0.0134964908989994,0,0.00205125448275288,0,0,0,0,0.00915319334078697
