gene,hvcra,int
CADPS2,7.241335609166283,3.9974878011352426
ZNF385D,5.141834794017804,2.839436619958244
LOC116183208,5.80460743207375,3.893157609630257
LOC110482821,5.265119352816622,3.174961420685007
GRM1,-7.004759299539365,-2.4838295760653977
LOC110476977,5.262586682266358,2.9023186632808837
KCNQ5,6.828269071113031,4.945810659170023
TENM1,3.7433665228838437,1.793689915078406
FAT3,-5.275037691713606,-1.5734176215923472
CALCR,4.1975320555043005,2.6517692126222157
SOX6,3.538220485329539,1.8280981651024302
UNC5C,-3.905710743530021,-1.6458088806028792
GALNTL6,-5.426232002429251,-1.7767918330403747
CACNA2D2,3.876571801201364,1.4505208752511756
LOC110480370,-3.545513174227124,-1.151496704380652
GRIA4,-4.249981981193203,-0.5770592122491394
LOC110484011,3.610208017301904,2.9861653835725477
LOC110471663,-5.70167075904158,-1.5351717701423047
DIP2A,3.4439746222506047,1.3573485932619638
LOC110469722,-4.889160033812354,-1.688845089547756
DAB1,-6.50197682814318,-2.979156698142928
MPPED1,-2.959876357506813,-0.1384018387060013
ADGRV1,-2.9977556082136765,-0.6403705390810093
MGAT4C,2.15491769922929,1.9605866048749712
MCU,3.420809772562877,1.0062058610750695
CHRM3,-3.714160342834055,-1.7588582135083706
CA10,-2.8957622658700375,-1.4608914232742105
GHR,2.8631282300016805,1.0877763883671787
TMEFF2,-2.9306054034979647,-1.221372149266831
LOC110470011,3.333764510587365,2.893487859154622
CPNE4,-2.981278235800786,-1.5026813970010087
CNTN5,3.0690594758118084,2.539150418889231
LOC110481152,-2.5360379921196743,-1.253481792912998
GRIK4,2.9507527087000507,2.586036421129891
DGKB,-2.683911168431964,-0.9139238831217339
LOC110469084,-2.290983610816375,-0.22918252190155752
GPC1,2.275230438255978,0.7782388187862457
AZ255-gr01,-3.827233649554148,-3.2268638710290474
EPHA6,-2.2026650180695726,-0.3833437758489242
THSD7B,-3.821805474852079,-1.0181566187288391
IGSF11,-3.408140560331476,-1.2421426812117748
nbis-11,-2.6586960833707556,-2.0688388884184983
ADARB1,2.6808631661765485,-0.08692040443041926
LOC110474508,2.8312776754137863,1.2947729283561873
SLC35F1,-4.774002096584731,-2.0171024087232827
IL1RAPL2,-7.898509342251969,-2.000050530619586
NCALD,-2.117324104449242,-0.07613509243381955
SHC3,-3.37399376422541,-0.4696886946573401
LOC110474669,2.8031932597474487,2.83470178611245
CACNA1G,-4.411965779134235,-1.0153773789561262
SATB1,2.18800360893938,1.5106787096804384
DPP10,2.5465623978191463,2.381784931296441
RUNX1T1,1.9820592745734142,1.7905661086058289
DAPK1,2.380239337586691,-0.12576855562702272
COL4A1,3.5529809319789214,1.8295646693960765
ZNF423,-5.619031470124151,-1.674581754198985
