group1,group2,n1,n2,U,p_value,prob_superiority,median_diff,p_adj,rank_biserial
Glut-DACH2-1,Glut-DACH2-HVCra-Int,1846,664,4624,1.264472603e-315,0.996227597279693,0.46968597117275024,1.264472603e-315,0.992455194559386
Glut-DACH2-HVCra-Int,Glut-DACH2-HVCra,664,3017,12991,0,0.9935151610751923,0.5303140288272498,0,0.9870303221503847
Glut-DACH2-1,Glut-DACH2-HVCra,1846,3017,0,0,1,1,0,1
