celltype,n_cells,median,lo,hi,q25,q75,iqr_width
Glut-DACH2-1,1846,0,-0.0062,0.0048,-0.0616,0.0634,0.125
Glut-DACH2-HVCra-Int,664,0.4697,0.4496,0.4866,0.3619,0.598,0.2361
Glut-DACH2-HVCra,3017,1,0.9939,1.0055,0.8901,1.0912,0.2011
