finch_cluster,observed_max_r,null_mean,null_p95,p_value,fdr_bh
Glut-CACNA1H-1,0.3181,0.0815,0.1401,0.0005,0.0006
Glut-CACNA1H-4,0.3359,0.0815,0.1409,0.0005,0.0006
Glut-CACNA1H-2,0.3129,0.082,0.1421,0.0005,0.0006
Glut-DACH2-1,0.3739,0.0813,0.141,0.0005,0.0006
Glut-DACH2-2,0.3922,0.0815,0.1395,0.0005,0.0006
Glut-CACNA1H-3,0.2963,0.0812,0.1402,0.0005,0.0006
Glut-DACH2-HVCra-Pre,0.3221,0.0808,0.1375,0.0005,0.0006
Glut-DACH2-3,0.2757,0.0814,0.1409,0.0005,0.0006
Glut-DACH2-8,0.3737,0.081,0.1381,0.0005,0.0006
Glut-DACH2-6,0.2948,0.0814,0.1398,0.0005,0.0006
Glut-DACH2-7,0.2776,0.0815,0.1415,0.0005,0.0006
Glut-DACH2-5,0.3467,0.0809,0.139,0.0005,0.0006
Glut-DACH2-LMANco,0.2759,0.0808,0.1388,0.0005,0.0006
Glut-DACH2-LMANsh,0.279,0.0822,0.143,0.0005,0.0006
Glut-CACNA1H-RA,0.2189,0.0818,0.1411,0.001,0.0012
Glut-DACH2-4,0.1923,0.0825,0.1425,0.002,0.0023
Glut-DACH2-HVCra,0.1483,0.0818,0.141,0.0375,0.0397
Glut-DACH2-HVCx,0.1212,0.0814,0.1376,0.1119,0.1119
